species,baits
Abudefduf,"CONTROL, FISCHMIX, MACKEREL, MEERSALAT, SARGASSUM"
Acanthuridae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Acanthurus,MACKEREL
Aethaloperca,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Aluterus,CONTROL
Amblyglyphidodon,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Arabian Monocle (Scolopsis ghanam),MACKEREL
Aulostomidae,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Aulostomus,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Axilspot Hogfish (Bodianus axillaris),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Balistapus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Balistidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Balistoides,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Barred (Hemigymnus fasciatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Bicolor (Labroides bicolor),"GLASNUDEL, MACKEREL"
Bird wrasse (Gomphosus caeruleus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Black Saddled Toby (Canthigaster valentini),"CONTROL, MACKEREL, MEERSALAT, SARGASSUM"
Black-backed (Chaetodon melannotus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Black-lipped (Chaetodon kleinii),"FISCHMIX, MACKEREL, MEERSALAT"
Blackeye (Hemigymnus melapterus),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Blenniidae,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Blue-green (Chromis viridis),FISCHMIX
Blue-spotted Ribbontail (Taeniura lymma),CONTROL
Blue-streak (Labroides dimidiatus),"FISCHMIX, MACKEREL"
Bluefin (Caranx melampygus),"CONTROL, FISCHMIX, MACKEREL, MEERSALAT"
Bodianus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Bridled (Scarus frenatus),MACKEREL
