species,baits_count,baits,specificity
Acanthuridae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Amblyglyphidodon,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Aethaloperca,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Balistidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Balistoides,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Axilspot Hogfish (Bodianus axillaris),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Balistapus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Barred (Hemigymnus fasciatus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Bird wrasse (Gomphosus caeruleus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Black-backed (Chaetodon melannotus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Cheilinus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Ctenochaetus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Eclipse (Chaetodon bennetti),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Cirrhitidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Chlorurus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Chaetodon,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Chaetodontidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Cephalopholis,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Centropyge,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Brown Pigmy (Centropyge multispinis),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Brown Tang (Zebrasoma scopas),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Bullethead (Chlorurus sordidus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Bodianus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Oxymonacanthus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Paracirrhites,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Peacock (Cephalopholis argus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Parupeneus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Pomacanthidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Raccoon (Chaetodon lunula),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Pycnochromis,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Pomacentridae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Moon (Thalassoma lunare),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Mullidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Naso,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Orange-lined (Balistapus undulatus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Monotaxis,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Lutjanus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Lutjanidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
