site,bait,files_count,total_species,sample_observations,file_details
MILIMANI,CONTROL,3,128,699,20241111-milimani-control.csv; 20241114-milimani-control-c8.csv; 20241115-milimani-control.csv
MILIMANI,FISCHMIX,1,98,459,20241210-milimani-fischmix.csv
MILIMANI,GLASNUDEL,3,119,481,20241026-milimani-glasnudel-c8.csv; 20241029-milimani-glasnudel-c8.csv; 20241030-milimani-glasnudel-c10.csv
MILIMANI,MACKEREL,3,149,1214,15052024-milimani-mackerel.csv; 20241025-milimani-mackerel-c10.csv; 20241124-milimani-mackerel.csv
MILIMANI,MEERSALAT,4,130,827,20241027-milimani-meersalat-c8.csv; 20241105-milimani-meersalat-c10.csv; 20241110-milimani-meersalat.csv; 20241112-milimani-meersalat.csv
MILIMANI,SARGASSUM,3,126,980,20241127-milimani-sargassum-c10.csv; 20241128-milimani-sargassum.csv; 20241129-milimani-sargassum.csv
UTUMBI,CONTROL,4,154,1107,20241105-utumbi-control-c8.csv; 20241111-utumbi-control.csv; 20241114-utumbi-control-c10.csv; 20241115-utumbi-control.csv
UTUMBI,FISCHMIX,2,134,759,20241209-utumbi-fischmix.csv; 20241210-utumbi-fischmix.csv
UTUMBI,GLASNUDEL,3,147,851,20241029-utumbi-glasnudel-c10.csv; 20241030-utumbi-glasnudel-c8.csv; 20241112-utumbi-glasnudel.csv
UTUMBI,MACKEREL,3,144,1293,20240516-utumbi-mackerel.csv; 20241026-utumbi-mackerel-c10.csv; 20241124-utumbi-mackerel.csv
UTUMBI,MEERSALAT,3,143,1299,20241025-utumbi-meersalat-c8.csv; 20241027-utumbi-meersalat-c10.csv; 20241110-utumbi-meersalat.csv
UTUMBI,SARGASSUM,3,153,854,20241127-utumbi-sargassum-c8.csv; 20241128-utumbi-sargassum.csv; 20241129-utumbi-sargassum.csv
