species,baits
Abudefduf,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM"
Acanthuridae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Acanthurus,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Aethaloperca,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Aluterus,"MACKEREL, SARGASSUM"
Amblyglyphidodon,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Anampses,"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM"
Apolemichthys,CONTROL
Arabian Monocle (Scolopsis ghanam),"CONTROL, GLASNUDEL, MEERSALAT"
Aulostomidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Aulostomus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Axilspot Hogfish (Bodianus axillaris),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Balistapus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Balistidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Barred (Hemigymnus fasciatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Bicolor (Labroides bicolor),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Bird wrasse (Gomphosus caeruleus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Black Saddled Toby (Canthigaster valentini),"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM"
Black-backed (Chaetodon melannotus),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Black-lipped (Chaetodon kleinii),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Blackeye (Hemigymnus melapterus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Blacktip (Epinephelus fasciatus),"FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT"
Blenniidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Blue-green (Chromis viridis),"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Blue-streak (Labroides dimidiatus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM"
Bluefin (Caranx melampygus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Bodianus,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Brassy Trevally (Caranx papuensis),MACKEREL
Brown Pigmy (Centropyge multispinis),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Brown Tang (Zebrasoma scopas),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Bullethead (Chlorurus sordidus),"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Caesionidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Calotomus,"FISCHMIX, GLASNUDEL, MACKEREL, SARGASSUM"
Cantherhines,"CONTROL, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Canthigaster,"CONTROL, FISCHMIX, GLASNUDEL, MEERSALAT, SARGASSUM"
Carangidae,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Caranx,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Centropyge,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Cephalopholis,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM"
Cetoscarus,"GLASNUDEL, MEERSALAT"
