species,baits_count,baits,specificity
Acanthuridae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Amblyglyphidodon,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Aethaloperca,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Eclipse (Chaetodon bennetti),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Disappearing (Pseudocheilinus evanidus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Aulostomidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Aulostomus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Barred (Hemigymnus fasciatus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Balistidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Balistapus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Axilspot Hogfish (Bodianus axillaris),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Bicolor (Labroides bicolor),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Bird wrasse (Gomphosus caeruleus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Bullethead (Chlorurus sordidus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Bluefin (Caranx melampygus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Bodianus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Blenniidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Blackeye (Hemigymnus melapterus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Black-lipped (Chaetodon kleinii),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Caesionidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Brown Pigmy (Centropyge multispinis),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Brown Tang (Zebrasoma scopas),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Elegant Unicorn (Naso elegans),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Five-saddle (Scarus saber),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Freckled (Paracirrhites forsteri),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Chlorurus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Cirrhitidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Cheilinus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Checkerboard (Halichoeres hortulanus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Chaetodontidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Chaetodon,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Cephalopholis,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Centropyge,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Caranx,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Carangidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Ctenochaetus,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Longbarbel (Parupeneus macronemus),6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
Lutjanidae,6,"CONTROL, FISCHMIX, GLASNUDEL, MACKEREL, MEERSALAT, SARGASSUM",ubiquitous
