analysis_block,site,target,n_algae,n_fish,mean_diff_algae_minus_fish,median_diff_algae_minus_fish,cliffs_delta,p_value_mwu_one_sided,ci_mean_diff_low,ci_mean_diff_high,ci_median_diff_low,ci_median_diff_high,ci_cliffs_delta_low,ci_cliffs_delta_high,q_bh,q_holm
herbivore_feeding_responsiveness,nursery,herbivore_core_feeding_rate,6,4,0.2037569744644844,0.19375713741910927,1.0,0.005708610743955862,0.15227916893403012,0.2574939513187953,0.1317720699330887,0.2857417160412552,1.0,1.0,0.017125832231867585,0.017125832231867585
herbivore_feeding_responsiveness,utumbi,herbivore_core_feeding_rate,9,5,0.003003003003003003,0.0,0.1111111111111111,0.2754924937925467,0.0,0.009009009009009009,0.0,0.0,0.0,0.3333333333333333,0.31762814799862416,0.5509849875850934
herbivore_feeding_responsiveness,milimani,herbivore_core_feeding_rate,10,4,0.002857142857142857,0.0,0.1,0.31762814799862416,0.0,0.008571428571428572,0.0,0.0,0.0,0.3,0.31762814799862416,0.5509849875850934
herbivore_maxn_apriori,nursery,acanthuridae,6,4,17.833333333333332,17.5,1.0,0.006960956664071987,11.666666666666668,25.333333333333332,10.0,27.0,1.0,1.0,0.08353147996886386,0.08353147996886384
herbivore_maxn_apriori,nursery,siganidae,6,4,2.25,3.0,0.5,0.11241961790395649,-0.25,4.5,-1.0,4.5,-0.3333333333333333,1.0,0.674517707423739,1.0
herbivore_maxn_apriori,utumbi,scaridae,9,5,9.977777777777778,4.0,0.3333333333333333,0.17426018598551823,-1.9555555555555557,27.977777777777778,-5.0,11.0,-0.3333333333333333,0.9111111111111111,0.6970407439420729,1.0
herbivore_maxn_apriori,utumbi,siganidae,9,5,0.8666666666666667,1.0,0.2,0.284497648076765,-0.5333333333333333,2.488888888888889,-1.0,2.0,-0.4,0.7333333333333333,0.853492944230295,1.0
herbivore_maxn_apriori,milimani,blenniidae,10,4,0.0,0.5,0.1,0.41169055512535724,-1.45,1.15,-2.0,1.5,-0.65,0.8,0.9760292728307393,1.0
herbivore_maxn_apriori,nursery,scaridae,6,4,-0.08333333333333304,-1.5,0.0,0.5428367073514132,-4.916666666666667,4.918749999999969,-8.0,7.5,-0.7083333333333334,0.7083333333333334,0.9760292728307393,1.0
herbivore_maxn_apriori,milimani,siganidae,10,4,-0.10000000000000009,0.0,-0.05,0.6065800168216238,-1.0,1.0,-2.0,2.0,-0.5,0.5,0.9760292728307393,1.0
herbivore_maxn_apriori,milimani,scaridae,10,4,0.15000000000000036,-1.0,-0.15,0.6910492790095024,-6.3,6.699999999999999,-11.0,4.5,-0.8,0.5,0.9760292728307393,1.0
herbivore_maxn_apriori,utumbi,acanthuridae,9,5,-2.111111111111111,0.0,-0.3111111111111111,0.8542271115420151,-5.733333333333334,0.3999999999999999,-9.0,1.0,-0.8444444444444444,0.3333333333333333,0.9760292728307393,1.0
herbivore_maxn_apriori,utumbi,blenniidae,9,5,-0.5333333333333333,0.0,-0.4,0.922779991342866,-1.2444444444444445,0.2666666666666666,-2.0,1.0,-0.8888888888888888,0.26666666666666666,0.9760292728307393,1.0
herbivore_maxn_apriori,milimani,acanthuridae,10,4,-23.75,-17.5,-0.475,0.9271298774200044,-48.0,0.40249999999996394,-62.0,2.0,-1.0,0.4506249999999909,0.9760292728307393,1.0
herbivore_maxn_apriori,nursery,blenniidae,6,4,-0.75,-0.5,-0.5,0.9760292728307393,-1.5,0.0,-2.0,0.0,-1.0,0.0,0.9760292728307393,1.0
