site,feature_type,feature,bait_a,bait_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,cliffs_delta,p_value_holm_within_feature,p_value_bh_within_feature,significant_holm_within_feature,significant_bh_within_feature
milimani,composite_group,algae_oriented_diet_mode,control,fischmix,3,1,84.33333333333333,56.0,2.5,0.6373518882339371,0.6666666666666666,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,control,mackerel,3,3,84.33333333333333,75.66666666666667,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,control,sargassum,3,3,84.33333333333333,114.0,3.0,0.7,-0.3333333333333333,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,control,ulva_gutweed,3,3,84.33333333333333,37.333333333333336,7.0,0.4,0.5555555555555556,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,control,ulva_salad,3,4,84.33333333333333,82.25,7.0,0.8571428571428571,0.16666666666666666,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,fischmix,mackerel,1,3,56.0,75.66666666666667,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,fischmix,sargassum,1,3,56.0,114.0,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,fischmix,ulva_gutweed,1,3,56.0,37.333333333333336,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,fischmix,ulva_salad,1,4,56.0,82.25,2.0,1.0,0.0,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,mackerel,sargassum,3,3,75.66666666666667,114.0,2.0,0.4,-0.5555555555555556,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,mackerel,ulva_gutweed,3,3,75.66666666666667,37.333333333333336,8.0,0.2,0.7777777777777778,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,mackerel,ulva_salad,3,4,75.66666666666667,82.25,7.0,0.8571428571428571,0.16666666666666666,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,sargassum,ulva_gutweed,3,3,114.0,37.333333333333336,8.0,0.2,0.7777777777777778,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,sargassum,ulva_salad,3,4,114.0,82.25,8.0,0.6285714285714286,0.3333333333333333,1.0,1.0,False,False
milimani,composite_group,algae_oriented_diet_mode,ulva_gutweed,ulva_salad,3,4,37.333333333333336,82.25,4.0,0.6285714285714286,-0.3333333333333333,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,control,fischmix,3,1,2.6666666666666665,6.0,0.0,0.5,-1.0,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,control,mackerel,3,3,2.6666666666666665,8.333333333333334,1.5,0.26828588367711736,-0.6666666666666666,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,control,sargassum,3,3,2.6666666666666665,12.0,0.5,0.12118327283746319,-0.8888888888888888,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,control,ulva_gutweed,3,3,2.6666666666666665,5.666666666666667,1.5,0.26828588367711736,-0.6666666666666666,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,control,ulva_salad,3,4,2.6666666666666665,6.75,2.5,0.2845026979112075,-0.5833333333333334,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,fischmix,mackerel,1,3,6.0,8.333333333333334,1.5,1.0,0.0,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,fischmix,sargassum,1,3,6.0,12.0,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,fischmix,ulva_gutweed,1,3,6.0,5.666666666666667,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,fischmix,ulva_salad,1,4,6.0,6.75,2.0,1.0,0.0,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,mackerel,sargassum,3,3,8.333333333333334,12.0,4.0,1.0,-0.1111111111111111,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,mackerel,ulva_gutweed,3,3,8.333333333333334,5.666666666666667,5.5,0.8247780950825133,0.2222222222222222,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,mackerel,ulva_salad,3,4,8.333333333333334,6.75,7.0,0.8571428571428571,0.16666666666666666,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,sargassum,ulva_gutweed,3,3,12.0,5.666666666666667,5.5,0.8247780950825133,0.2222222222222222,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,sargassum,ulva_salad,3,4,12.0,6.75,7.5,0.7212766990291557,0.25,1.0,1.0,False,False
milimani,composite_group,bioeroder_set,ulva_gutweed,ulva_salad,3,4,5.666666666666667,6.75,5.5,1.0,-0.08333333333333333,1.0,1.0,False,False
milimani,composite_group,fish_oriented_diet_mode,control,fischmix,3,1,4.333333333333333,8.0,0.5,0.6373518882339371,-0.6666666666666666,1.0,0.8163688936652275,False,False
milimani,composite_group,fish_oriented_diet_mode,control,mackerel,3,3,4.333333333333333,3.6666666666666665,4.0,1.0,-0.1111111111111111,1.0,1.0,False,False
milimani,composite_group,fish_oriented_diet_mode,control,sargassum,3,3,4.333333333333333,9.333333333333334,1.0,0.2,-0.7777777777777778,1.0,0.75,False,False
milimani,composite_group,fish_oriented_diet_mode,control,ulva_gutweed,3,3,4.333333333333333,3.3333333333333335,6.0,0.6428348264908044,0.3333333333333333,1.0,0.8163688936652275,False,False
milimani,composite_group,fish_oriented_diet_mode,control,ulva_salad,3,4,4.333333333333333,3.0,8.0,0.5891544654500582,0.3333333333333333,1.0,0.8163688936652275,False,False
milimani,composite_group,fish_oriented_diet_mode,fischmix,mackerel,1,3,8.0,3.6666666666666665,3.0,0.3457785861511603,1.0,1.0,0.8163688936652275,False,False
milimani,composite_group,fish_oriented_diet_mode,fischmix,sargassum,1,3,8.0,9.333333333333334,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,composite_group,fish_oriented_diet_mode,fischmix,ulva_gutweed,1,3,8.0,3.3333333333333335,3.0,0.3457785861511603,1.0,1.0,0.8163688936652275,False,False
milimani,composite_group,fish_oriented_diet_mode,fischmix,ulva_salad,1,4,8.0,3.0,4.0,0.4,1.0,1.0,0.8163688936652275,False,False
milimani,composite_group,fish_oriented_diet_mode,mackerel,sargassum,3,3,3.6666666666666665,9.333333333333334,1.0,0.1840386271964254,-0.7777777777777778,1.0,0.75,False,False
