filename,site,bait,bait_type,algae_oriented_diet_mode,bioeroder_set,fish_oriented_diet_mode,herbivore_core_families,herbivore_extended_with_damselfishes,invertebrate_oriented_diet_mode,invertivore_benthic_core,invertivore_general,nocturnal_predator_mixture,omnivore_box_puffer_file,piscivore_active_hunters,piscivore_core_families,plankton_oriented_diet_mode,predator_reef_core,snappers_groupers_combo,wrasses_trigger_combo
20240515-milimani-mackerel.csv,milimani,mackerel,fish,105.0,16.0,5.0,16.0,105.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,105.0,1.0,1.0,4.0
20241025-milimani-mackerel.csv,milimani,mackerel,fish,82.0,3.0,3.0,67.0,82.0,5.0,2.0,2.0,3.0,0.0,3.0,3.0,82.0,3.0,3.0,5.0
20241026-milimani-ulva_gutweed.csv,milimani,ulva_gutweed,algae,21.0,3.0,2.0,5.0,21.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,21.0,1.0,1.0,2.0
20241027-milimani-ulva_salad.csv,milimani,ulva_salad,algae,12.0,12.0,2.0,12.0,12.0,3.0,3.0,3.0,0.0,2.0,1.0,1.0,10.0,1.0,1.0,2.0
20241029-milimani-ulva_gutweed.csv,milimani,ulva_gutweed,algae,18.0,9.0,6.0,9.0,18.0,6.0,6.0,6.0,1.0,2.0,1.0,1.0,18.0,1.0,1.0,2.0
20241030-milimani-ulva_gutweed.csv,milimani,ulva_gutweed,algae,73.0,5.0,2.0,5.0,73.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,73.0,1.0,1.0,2.0
20241105-milimani-ulva_salad.csv,milimani,ulva_salad,algae,38.0,2.0,1.0,5.0,38.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,38.0,1.0,1.0,2.0
20241110-milimani-ulva_salad.csv,milimani,ulva_salad,algae,99.0,4.0,6.0,10.0,99.0,6.0,6.0,6.0,1.0,3.0,1.0,1.0,99.0,1.0,1.0,2.0
20241111-milimani-control.csv,milimani,control,control,125.0,3.0,3.0,4.0,125.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,125.0,1.0,1.0,2.0
20241112-milimani-ulva_salad.csv,milimani,ulva_salad,algae,180.0,9.0,3.0,9.0,180.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0,180.0,3.0,3.0,2.0
20241114-milimani-control.csv,milimani,control,control,72.0,4.0,8.0,5.0,72.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,72.0,1.0,1.0,2.0
20241115-milimani-control.csv,milimani,control,control,56.0,1.0,2.0,4.0,56.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,56.0,2.0,2.0,4.0
20241124-milimani-mackerel.csv,milimani,mackerel,fish,40.0,6.0,3.0,38.0,40.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,40.0,2.0,2.0,3.0
20241127-milimani-sargassum.csv,milimani,sargassum,algae,42.0,4.0,15.0,5.0,42.0,15.0,15.0,15.0,2.0,3.0,2.0,2.0,42.0,2.0,2.0,2.0
20241128-milimani-sargassum.csv,milimani,sargassum,algae,171.0,27.0,4.0,27.0,171.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,171.0,2.0,2.0,2.0
20241129-milimani-sargassum.csv,milimani,sargassum,algae,129.0,5.0,9.0,5.0,129.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0,129.0,2.0,2.0,3.0
20241210-milimani-fischmix.csv,milimani,fischmix,fish,56.0,6.0,8.0,6.0,56.0,8.0,3.0,3.0,8.0,1.0,8.0,8.0,56.0,8.0,8.0,6.0
