site,feature_type,feature,bait_a,bait_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,cliffs_delta,p_value_holm_within_feature,p_value_bh_within_feature,significant_holm_within_feature,significant_bh_within_feature
milimani,diet,algae,control,fischmix,3,1,84.33333333333333,56.0,2.5,0.6373518882339371,0.6666666666666666,1.0,1.0,False,False
milimani,diet,algae,control,mackerel,3,3,84.33333333333333,75.66666666666667,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
milimani,diet,algae,control,sargassum,3,3,84.33333333333333,114.0,3.0,0.7,-0.3333333333333333,1.0,1.0,False,False
milimani,diet,algae,control,ulva_gutweed,3,3,84.33333333333333,37.333333333333336,7.0,0.4,0.5555555555555556,1.0,1.0,False,False
milimani,diet,algae,control,ulva_salad,3,4,84.33333333333333,82.25,7.0,0.8571428571428571,0.16666666666666666,1.0,1.0,False,False
milimani,diet,algae,fischmix,mackerel,1,3,56.0,75.66666666666667,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,diet,algae,fischmix,sargassum,1,3,56.0,114.0,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,diet,algae,fischmix,ulva_gutweed,1,3,56.0,37.333333333333336,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
milimani,diet,algae,fischmix,ulva_salad,1,4,56.0,82.25,2.0,1.0,0.0,1.0,1.0,False,False
milimani,diet,algae,mackerel,sargassum,3,3,75.66666666666667,114.0,2.0,0.4,-0.5555555555555556,1.0,1.0,False,False
milimani,diet,algae,mackerel,ulva_gutweed,3,3,75.66666666666667,37.333333333333336,8.0,0.2,0.7777777777777778,1.0,1.0,False,False
milimani,diet,algae,mackerel,ulva_salad,3,4,75.66666666666667,82.25,7.0,0.8571428571428571,0.16666666666666666,1.0,1.0,False,False
milimani,diet,algae,sargassum,ulva_gutweed,3,3,114.0,37.333333333333336,8.0,0.2,0.7777777777777778,1.0,1.0,False,False
milimani,diet,algae,sargassum,ulva_salad,3,4,114.0,82.25,8.0,0.6285714285714286,0.3333333333333333,1.0,1.0,False,False
milimani,diet,algae,ulva_gutweed,ulva_salad,3,4,37.333333333333336,82.25,4.0,0.6285714285714286,-0.3333333333333333,1.0,1.0,False,False
milimani,diet,fish,control,fischmix,3,1,4.333333333333333,8.0,0.5,0.6373518882339371,-0.6666666666666666,1.0,0.8163688936652275,False,False
milimani,diet,fish,control,mackerel,3,3,4.333333333333333,3.6666666666666665,4.0,1.0,-0.1111111111111111,1.0,1.0,False,False
milimani,diet,fish,control,sargassum,3,3,4.333333333333333,9.333333333333334,1.0,0.2,-0.7777777777777778,1.0,0.75,False,False
milimani,diet,fish,control,ulva_gutweed,3,3,4.333333333333333,3.3333333333333335,6.0,0.6428348264908044,0.3333333333333333,1.0,0.8163688936652275,False,False
milimani,diet,fish,control,ulva_salad,3,4,4.333333333333333,3.0,8.0,0.5891544654500582,0.3333333333333333,1.0,0.8163688936652275,False,False
milimani,diet,fish,fischmix,mackerel,1,3,8.0,3.6666666666666665,3.0,0.3457785861511603,1.0,1.0,0.8163688936652275,False,False
milimani,diet,fish,fischmix,sargassum,1,3,8.0,9.333333333333334,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,diet,fish,fischmix,ulva_gutweed,1,3,8.0,3.3333333333333335,3.0,0.3457785861511603,1.0,1.0,0.8163688936652275,False,False
milimani,diet,fish,fischmix,ulva_salad,1,4,8.0,3.0,4.0,0.4,1.0,1.0,0.8163688936652275,False,False
milimani,diet,fish,mackerel,sargassum,3,3,3.6666666666666665,9.333333333333334,1.0,0.1840386271964254,-0.7777777777777778,1.0,0.75,False,False
milimani,diet,fish,mackerel,ulva_gutweed,3,3,3.6666666666666665,3.3333333333333335,6.0,0.653095114932182,0.3333333333333333,1.0,0.8163688936652275,False,False
milimani,diet,fish,mackerel,ulva_salad,3,4,3.6666666666666665,3.0,8.0,0.5820796519295022,0.3333333333333333,1.0,0.8163688936652275,False,False
milimani,diet,fish,sargassum,ulva_gutweed,3,3,9.333333333333334,3.3333333333333335,8.0,0.1840386271964254,0.7777777777777778,1.0,0.75,False,False
milimani,diet,fish,sargassum,ulva_salad,3,4,9.333333333333334,3.0,11.0,0.11428571428571428,0.8333333333333334,1.0,0.75,False,False
milimani,diet,fish,ulva_gutweed,ulva_salad,3,4,3.3333333333333335,3.0,6.5,1.0,0.08333333333333333,1.0,1.0,False,False
milimani,diet,invertebrates,control,fischmix,3,1,5.0,8.0,0.5,0.6373518882339371,-0.6666666666666666,1.0,0.869116211228096,False,False
milimani,diet,invertebrates,control,mackerel,3,3,5.0,4.333333333333333,4.5,1.0,0.0,1.0,1.0,False,False
milimani,diet,invertebrates,control,sargassum,3,3,5.0,10.0,1.0,0.2,-0.7777777777777778,1.0,0.75,False,False
milimani,diet,invertebrates,control,ulva_gutweed,3,3,5.0,3.6666666666666665,6.5,0.5065551690490403,0.4444444444444444,1.0,0.8442586150817338,False,False
milimani,diet,invertebrates,control,ulva_salad,3,4,5.0,3.5,9.0,0.3590120537864294,0.5,1.0,0.769311543828063,False,False
milimani,diet,invertebrates,fischmix,mackerel,1,3,8.0,4.333333333333333,3.0,0.3457785861511603,1.0,1.0,0.769311543828063,False,False
milimani,diet,invertebrates,fischmix,sargassum,1,3,8.0,10.0,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,diet,invertebrates,fischmix,ulva_gutweed,1,3,8.0,3.6666666666666665,3.0,0.5,1.0,1.0,0.8442586150817338,False,False
milimani,diet,invertebrates,fischmix,ulva_salad,1,4,8.0,3.5,4.0,0.27650048008343264,1.0,1.0,0.769311543828063,False,False
milimani,diet,invertebrates,mackerel,sargassum,3,3,4.333333333333333,10.0,0.0,0.07652250047505922,-1.0,1.0,0.5739187535629442,False,False
milimani,diet,invertebrates,mackerel,ulva_gutweed,3,3,4.333333333333333,3.6666666666666665,5.5,0.8221867672380183,0.2222222222222222,1.0,1.0,False,False
milimani,diet,invertebrates,mackerel,ulva_salad,3,4,4.333333333333333,3.5,8.0,0.578403013496116,0.3333333333333333,1.0,0.867604520244174,False,False
milimani,diet,invertebrates,sargassum,ulva_gutweed,3,3,10.0,3.6666666666666665,8.5,0.12118327283746319,0.8888888888888888,1.0,0.605916364187316,False,False
milimani,diet,invertebrates,sargassum,ulva_salad,3,4,10.0,3.5,11.5,0.07182815632096821,0.9166666666666666,1.0,0.5739187535629442,False,False
milimani,diet,invertebrates,ulva_gutweed,ulva_salad,3,4,3.6666666666666665,3.5,6.0,1.0,0.0,1.0,1.0,False,False
milimani,diet,plankton,control,fischmix,3,1,84.33333333333333,56.0,2.5,0.6373518882339371,0.6666666666666666,1.0,1.0,False,False
milimani,diet,plankton,control,mackerel,3,3,84.33333333333333,75.66666666666667,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
milimani,diet,plankton,control,sargassum,3,3,84.33333333333333,114.0,3.0,0.7,-0.3333333333333333,1.0,1.0,False,False
milimani,diet,plankton,control,ulva_gutweed,3,3,84.33333333333333,37.333333333333336,7.0,0.4,0.5555555555555556,1.0,1.0,False,False
milimani,diet,plankton,control,ulva_salad,3,4,84.33333333333333,81.75,7.0,0.8571428571428571,0.16666666666666666,1.0,1.0,False,False
milimani,diet,plankton,fischmix,mackerel,1,3,56.0,75.66666666666667,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,diet,plankton,fischmix,sargassum,1,3,56.0,114.0,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,diet,plankton,fischmix,ulva_gutweed,1,3,56.0,37.333333333333336,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
milimani,diet,plankton,fischmix,ulva_salad,1,4,56.0,81.75,2.0,1.0,0.0,1.0,1.0,False,False
milimani,diet,plankton,mackerel,sargassum,3,3,75.66666666666667,114.0,2.0,0.4,-0.5555555555555556,1.0,1.0,False,False
milimani,diet,plankton,mackerel,ulva_gutweed,3,3,75.66666666666667,37.333333333333336,8.0,0.2,0.7777777777777778,1.0,1.0,False,False
milimani,diet,plankton,mackerel,ulva_salad,3,4,75.66666666666667,81.75,7.0,0.8571428571428571,0.16666666666666666,1.0,1.0,False,False
milimani,diet,plankton,sargassum,ulva_gutweed,3,3,114.0,37.333333333333336,8.0,0.2,0.7777777777777778,1.0,1.0,False,False
milimani,diet,plankton,sargassum,ulva_salad,3,4,114.0,81.75,8.0,0.6285714285714286,0.3333333333333333,1.0,1.0,False,False
milimani,diet,plankton,ulva_gutweed,ulva_salad,3,4,37.333333333333336,81.75,4.0,0.6285714285714286,-0.3333333333333333,1.0,1.0,False,False
