site,feature_type,feature,n_fish,n_algae,mean_fish,mean_algae,median_fish,median_algae,u_stat,p_value,cliffs_delta_fish_minus_algae,higher_side,p_value_holm,p_value_bh,significant_holm,significant_bh
milimani,family,labridae,4,10,4.5,2.1,4.5,2.0,39.5,0.0017116376594705583,0.975,fish,0.037656028508352285,0.037656028508352285,True,True
milimani,family,zanclidae,4,10,2.0,0.5,2.0,0.0,36.5,0.016602337989206427,0.825,fish,0.34864909777333497,0.1826257178812707,False,False
milimani,family,balistidae,4,10,2.0,1.3,2.0,1.0,34.0,0.02788434031570047,0.7,fish,0.5576868063140094,0.20448516231513678,False,False
milimani,family,lutjanidae,4,10,3.5,1.0,2.5,1.0,33.5,0.05596935100099164,0.675,fish,1.0,0.30783143050545403,False,False
milimani,family,tetraodontidae,4,10,0.5,1.5,0.0,1.5,8.5,0.10333823252365865,-0.575,algae,1.0,0.422892133276046,False,False
milimani,family,carangidae,4,10,2.5,0.5,1.5,0.0,30.5,0.11533421816619437,0.525,fish,1.0,0.422892133276046,False,False
milimani,family,serranidae,4,10,2.5,1.4,2.0,1.0,29.5,0.15302563021260568,0.475,fish,1.0,0.4655277046376083,False,False
milimani,family,holocentridae,4,10,0.0,0.4,0.0,0.0,12.0,0.1763491717539154,-0.4,algae,1.0,0.4655277046376083,False,False
milimani,family,acanthuridae,4,10,28.75,5.0,22.5,5.0,29.5,0.1904431518972034,0.475,fish,1.0,0.4655277046376083,False,False
milimani,family,pinguipedidae,4,10,1.0,0.5,1.0,0.0,27.5,0.2774314084913646,0.375,fish,1.0,0.6103490986810021,False,False
milimani,family,aulostomidae,4,10,0.5,0.8,0.5,1.0,14.0,0.32142850989854477,-0.3,algae,1.0,0.6428570197970895,False,False
milimani,family,scombridae,4,10,0.0,0.2,0.0,0.0,16.0,0.4153123792455601,-0.2,algae,1.0,0.7614060286168601,False,False
milimani,family,chaetodontidae,4,10,2.75,2.5,3.0,2.0,25.0,0.4923935898413322,0.25,fish,1.0,0.8332814597314852,False,False
milimani,family,pomacanthidae,4,10,2.25,2.6,2.0,2.5,15.5,0.5517126719905745,-0.225,algae,1.0,0.8669770559851885,False,False
milimani,family,monacanthidae,4,10,1.0,1.4,1.0,1.5,16.0,0.6081260910299372,-0.2,algae,1.0,0.8919182668439078,False,False
milimani,family,lethrinidae,4,10,2.5,4.4,2.5,2.0,17.0,0.719199114890989,-0.15,algae,1.0,0.97165991902834,False,False
milimani,family,scaridae,4,10,7.75,8.0,6.0,5.0,22.5,0.7760964108781581,0.125,algae,1.0,0.97165991902834,False,False
milimani,family,blenniidae,4,10,1.0,1.0,0.5,1.0,18.0,0.8233811102507145,-0.1,algae,1.0,0.97165991902834,False,False
milimani,family,pomacentridae,4,10,70.75,78.1,69.0,57.5,22.0,0.8391608391608392,0.1,algae,1.0,0.97165991902834,False,False
milimani,family,siganidae,4,10,1.5,1.4,2.0,2.0,21.0,0.9281769311514955,0.05,fish,1.0,0.986873129297034,False,False
milimani,family,mullidae,4,10,2.5,3.5,2.5,2.5,21.0,0.9420152597835325,0.05,algae,1.0,0.986873129297034,False,False
milimani,family,cirrhitidae,4,10,0.5,0.5,0.5,0.5,20.0,1.0,0.0,algae,1.0,1.0,False,False
