site,feature_type,feature,bait_a,bait_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,cliffs_delta,p_value_holm_within_feature,p_value_bh_within_feature,significant_holm_within_feature,significant_bh_within_feature
milimani,family,acanthuridae,control,fischmix,3,1,4.333333333333333,3.0,3.0,0.3457785861511603,1.0,1.0,0.5762976435852671,False,False
milimani,family,acanthuridae,control,mackerel,3,3,4.333333333333333,37.333333333333336,0.0,0.07652250047505922,-1.0,1.0,0.38261250237529615,False,False
milimani,family,acanthuridae,control,sargassum,3,3,4.333333333333333,4.333333333333333,4.0,1.0,-0.1111111111111111,1.0,1.0,False,False
milimani,family,acanthuridae,control,ulva_gutweed,3,3,4.333333333333333,4.333333333333333,4.5,1.0,0.0,1.0,1.0,False,False
milimani,family,acanthuridae,control,ulva_salad,3,4,4.333333333333333,6.0,3.0,0.3397277758660979,-0.5,1.0,0.5762976435852671,False,False
milimani,family,acanthuridae,fischmix,mackerel,1,3,3.0,37.333333333333336,0.0,0.5,-1.0,1.0,0.75,False,False
milimani,family,acanthuridae,fischmix,sargassum,1,3,3.0,4.333333333333333,0.5,0.6170750774519738,-0.6666666666666666,1.0,0.7713438468149673,False,False
milimani,family,acanthuridae,fischmix,ulva_gutweed,1,3,3.0,4.333333333333333,0.0,0.3457785861511603,-1.0,1.0,0.5762976435852671,False,False
milimani,family,acanthuridae,fischmix,ulva_salad,1,4,3.0,6.0,0.0,0.27650048008343264,-1.0,1.0,0.5762976435852671,False,False
milimani,family,acanthuridae,mackerel,sargassum,3,3,37.333333333333336,4.333333333333333,9.0,0.07652250047505922,1.0,1.0,0.38261250237529615,False,False
milimani,family,acanthuridae,mackerel,ulva_gutweed,3,3,37.333333333333336,4.333333333333333,9.0,0.07652250047505922,1.0,1.0,0.38261250237529615,False,False
milimani,family,acanthuridae,mackerel,ulva_salad,3,4,37.333333333333336,6.0,11.0,0.10840829998146513,0.8333333333333334,1.0,0.40653112493049426,False,False
milimani,family,acanthuridae,sargassum,ulva_gutweed,3,3,4.333333333333333,4.333333333333333,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
milimani,family,acanthuridae,sargassum,ulva_salad,3,4,4.333333333333333,6.0,4.0,0.5584521572831558,-0.3333333333333333,1.0,0.7615256690224851,False,False
milimani,family,acanthuridae,ulva_gutweed,ulva_salad,3,4,4.333333333333333,6.0,3.0,0.3397277758660979,-0.5,1.0,0.5762976435852671,False,False
milimani,family,aulostomidae,control,fischmix,3,1,1.0,0.0,3.0,0.24821307898992362,1.0,1.0,0.8414660147072369,False,False
milimani,family,aulostomidae,control,mackerel,3,3,1.0,0.6666666666666666,6.0,0.5049850750938458,0.3333333333333333,1.0,0.8414660147072369,False,False
milimani,family,aulostomidae,control,sargassum,3,3,1.0,1.0,4.5,1.0,0.0,1.0,1.0,False,False
milimani,family,aulostomidae,control,ulva_gutweed,3,3,1.0,0.6666666666666666,6.0,0.5049850750938458,0.3333333333333333,1.0,0.8414660147072369,False,False
milimani,family,aulostomidae,control,ulva_salad,3,4,1.0,0.75,7.5,0.5637028616507731,0.25,1.0,0.8414660147072369,False,False
milimani,family,aulostomidae,fischmix,mackerel,1,3,0.0,0.6666666666666666,0.5,0.6170750774519738,-0.6666666666666666,1.0,0.8414660147072369,False,False
milimani,family,aulostomidae,fischmix,sargassum,1,3,0.0,1.0,0.0,0.24821307898992362,-1.0,1.0,0.8414660147072369,False,False
milimani,family,aulostomidae,fischmix,ulva_gutweed,1,3,0.0,0.6666666666666666,0.5,0.6170750774519738,-0.6666666666666666,1.0,0.8414660147072369,False,False
milimani,family,aulostomidae,fischmix,ulva_salad,1,4,0.0,0.75,0.5,0.4142161782425252,-0.75,1.0,0.8414660147072369,False,False
milimani,family,aulostomidae,mackerel,sargassum,3,3,0.6666666666666666,1.0,3.0,0.5049850750938458,-0.3333333333333333,1.0,0.8414660147072369,False,False
milimani,family,aulostomidae,mackerel,ulva_gutweed,3,3,0.6666666666666666,0.6666666666666666,4.5,1.0,0.0,1.0,1.0,False,False
milimani,family,aulostomidae,mackerel,ulva_salad,3,4,0.6666666666666666,0.75,5.5,1.0,-0.08333333333333333,1.0,1.0,False,False
milimani,family,aulostomidae,sargassum,ulva_gutweed,3,3,1.0,0.6666666666666666,6.0,0.5049850750938458,0.3333333333333333,1.0,0.8414660147072369,False,False
