filename,site,bait,bait_type,acanthuridae,aulostomidae,balistidae,blenniidae,carangidae,chaetodontidae,cirrhitidae,holocentridae,labridae,lethrinidae,lutjanidae,monacanthidae,mullidae,pinguipedidae,pomacanthidae,pomacentridae,scaridae,scombridae,serranidae,siganidae,tetraodontidae,zanclidae
20240515-milimani-mackerel.csv,milimani,mackerel,fish,7.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,4.0,5.0,1.0,1.0,3.0,2.0,4.0,105.0,16.0,0.0,1.0,2.0,2.0,2.0
20241025-milimani-mackerel.csv,milimani,mackerel,fish,67.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,2.0,82.0,3.0,0.0,2.0,0.0,0.0,3.0
20241026-milimani-ulva_gutweed.csv,milimani,ulva_gutweed,algae,5.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,21.0,3.0,0.0,1.0,2.0,2.0,2.0
20241027-milimani-ulva_salad.csv,milimani,ulva_salad,algae,5.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,3.0,10.0,12.0,1.0,1.0,2.0,2.0,0.0
20241029-milimani-ulva_gutweed.csv,milimani,ulva_gutweed,algae,4.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,6.0,1.0,0.0,6.0,0.0,3.0,18.0,9.0,1.0,1.0,2.0,2.0,1.0
20241030-milimani-ulva_gutweed.csv,milimani,ulva_gutweed,algae,4.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,3.0,73.0,5.0,0.0,1.0,2.0,1.0,1.0
20241105-milimani-ulva_salad.csv,milimani,ulva_salad,algae,5.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,38.0,2.0,0.0,1.0,0.0,1.0,0.0
20241110-milimani-ulva_salad.csv,milimani,ulva_salad,algae,10.0,1.0,2.0,1.0,1.0,4.0,1.0,0.0,2.0,6.0,1.0,3.0,2.0,1.0,4.0,99.0,4.0,0.0,1.0,2.0,2.0,0.0
20241111-milimani-control.csv,milimani,control,control,4.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,125.0,3.0,0.0,1.0,2.0,0.0,0.0
20241112-milimani-ulva_salad.csv,milimani,ulva_salad,algae,4.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,180.0,9.0,0.0,3.0,2.0,1.0,0.0
20241114-milimani-control.csv,milimani,control,control,5.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,8.0,1.0,0.0,1.0,0.0,1.0,72.0,4.0,1.0,1.0,2.0,0.0,0.0
20241115-milimani-control.csv,milimani,control,control,4.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,3.0,2.0,0.0,2.0,56.0,1.0,0.0,2.0,0.0,1.0,0.0
20241124-milimani-mackerel.csv,milimani,mackerel,fish,38.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,40.0,6.0,0.0,2.0,2.0,0.0,2.0
20241127-milimani-sargassum.csv,milimani,sargassum,algae,5.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,15.0,2.0,0.0,11.0,0.0,2.0,42.0,4.0,0.0,2.0,2.0,3.0,0.0
20241128-milimani-sargassum.csv,milimani,sargassum,algae,3.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,2.0,2.0,6.0,1.0,2.0,171.0,27.0,0.0,2.0,0.0,0.0,1.0
20241129-milimani-sargassum.csv,milimani,sargassum,algae,5.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,3.0,9.0,2.0,2.0,1.0,0.0,4.0,129.0,5.0,0.0,1.0,0.0,1.0,0.0
20241210-milimani-fischmix.csv,milimani,fischmix,fish,3.0,0.0,2.0,0.0,7.0,3.0,1.0,0.0,6.0,3.0,8.0,1.0,3.0,1.0,2.0,56.0,6.0,0.0,5.0,2.0,0.0,1.0
