site,feature_type,feature,n_fish,n_algae,mean_fish,mean_algae,median_fish,median_algae,u_stat,p_value,cliffs_delta_fish_minus_algae,higher_side,p_value_holm,p_value_bh,significant_holm,significant_bh
milimani,genus,chromis,4,10,36.25,0.0,31.5,0.0,35.0,0.004326119577722466,0.75,fish,0.2033276201529559,0.2033276201529559,False,False
milimani,genus,caranx,4,10,2.5,0.1,1.5,0.0,34.0,0.016595374872101634,0.7,fish,0.7633872441166751,0.2477858506955258,False,False
milimani,genus,zanclus,4,10,2.0,0.5,2.0,0.0,36.5,0.016602337989206427,0.825,fish,0.7633872441166751,0.2477858506955258,False,False
milimani,genus,zebrasoma,4,10,28.0,2.3,21.0,2.0,36.0,0.025640126291639757,0.8,fish,1.0,0.2477858506955258,False,False
milimani,genus,balistapus,4,10,2.0,1.3,2.0,1.0,34.0,0.02788434031570047,0.7,fish,1.0,0.2477858506955258,False,False
milimani,genus,abudefduf,4,10,3.0,0.3,3.5,0.0,33.5,0.03163223625900329,0.675,fish,1.0,0.2477858506955258,False,False
milimani,genus,gomphosus,4,10,2.0,1.2,2.0,1.0,32.0,0.0543147280662664,0.6,fish,1.0,0.30506576006901553,False,False
milimani,genus,lutjanus,4,10,3.5,1.0,2.5,1.0,33.5,0.05596935100099164,0.675,fish,1.0,0.30506576006901553,False,False
milimani,genus,balistoides,4,10,1.0,0.4,1.0,0.0,32.0,0.058416847672790206,0.6,fish,1.0,0.30506576006901553,False,False
milimani,genus,aethaloperca,4,10,1.75,1.2,2.0,1.0,31.0,0.07431699733035149,0.55,fish,1.0,0.3367921349482036,False,False
milimani,genus,thalassoma,4,10,3.75,1.7,4.0,2.0,31.5,0.09248430444102285,0.575,fish,1.0,0.3367921349482036,False,False
milimani,genus,lethrinus,4,10,0.0,0.5,0.0,0.5,10.0,0.1063779497840453,-0.5,algae,1.0,0.3367921349482036,False,False
milimani,genus,cephalopholis,4,10,1.25,0.7,1.0,1.0,29.5,0.10840829998146513,0.475,fish,1.0,0.3367921349482036,False,False
milimani,genus,epibulus,4,10,0.0,0.6,0.0,0.5,10.0,0.11191280643517744,-0.5,algae,1.0,0.3367921349482036,False,False
milimani,genus,genus naso,4,10,0.0,0.6,0.0,0.5,10.0,0.11191280643517744,-0.5,algae,1.0,0.3367921349482036,False,False
milimani,genus,hipposcarus,4,10,3.5,0.2,1.0,0.0,28.5,0.11465264168449484,0.425,fish,1.0,0.3367921349482036,False,False
milimani,genus,labroides,4,10,0.75,0.2,0.5,0.0,27.5,0.16745779160655272,0.375,fish,1.0,0.43623216170705387,False,False
milimani,genus,oxycheilinus,4,10,0.0,0.4,0.0,0.0,12.0,0.1763491717539154,-0.4,algae,1.0,0.43623216170705387,False,False
milimani,genus,genus soldier,4,10,0.0,0.4,0.0,0.0,12.0,0.1763491717539154,-0.4,algae,1.0,0.43623216170705387,False,False
milimani,genus,naso,4,10,2.5,1.3,2.0,1.0,29.0,0.2075972479470185,0.45,fish,1.0,0.4878535326754935,False,False
milimani,genus,heniochus,4,10,1.0,0.3,1.0,0.0,27.0,0.24627388139920292,0.35,fish,1.0,0.5261305648073881,False,False
milimani,genus,hemigymnus,4,10,1.75,1.2,1.5,1.0,27.0,0.24627388139920292,0.35,fish,1.0,0.5261305648073881,False,False
milimani,genus,cheilinus,4,10,1.0,0.7,1.0,1.0,26.0,0.27499362750814604,0.3,fish,1.0,0.5433031749622557,False,False
