site,feature_type,feature,bait_a,bait_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,cliffs_delta,p_value_holm_within_feature,p_value_bh_within_feature,significant_holm_within_feature,significant_bh_within_feature
milimani,genus,abudefduf,control,fischmix,3,1,1.0,5.0,0.0,0.5,-1.0,1.0,0.75357128646021,False,False
milimani,genus,abudefduf,control,mackerel,3,3,1.0,2.3333333333333335,3.0,0.653095114932182,-0.3333333333333333,1.0,0.75357128646021,False,False
milimani,genus,abudefduf,control,sargassum,3,3,1.0,0.6666666666666666,5.5,0.8136637157667919,0.2222222222222222,1.0,0.8254979107046321,False,False
milimani,genus,abudefduf,control,ulva_gutweed,3,3,1.0,0.0,7.5,0.19670560245894686,0.6666666666666666,1.0,0.7409541131810577,False,False
milimani,genus,abudefduf,control,ulva_salad,3,4,1.0,0.25,9.0,0.32412658775761904,0.5,1.0,0.7409541131810577,False,False
milimani,genus,abudefduf,fischmix,mackerel,1,3,5.0,2.3333333333333335,2.5,0.6373518882339371,0.6666666666666666,1.0,0.75357128646021,False,False
milimani,genus,abudefduf,fischmix,sargassum,1,3,5.0,0.6666666666666666,3.0,0.3457785861511603,1.0,1.0,0.7409541131810577,False,False
milimani,genus,abudefduf,fischmix,ulva_gutweed,1,3,5.0,0.0,3.0,0.24821307898992362,1.0,1.0,0.7409541131810577,False,False
milimani,genus,abudefduf,fischmix,ulva_salad,1,4,5.0,0.25,4.0,0.2356799134290376,1.0,1.0,0.7409541131810577,False,False
milimani,genus,abudefduf,mackerel,sargassum,3,3,2.3333333333333335,0.6666666666666666,6.5,0.47950012218695337,0.4444444444444444,1.0,0.75357128646021,False,False
milimani,genus,abudefduf,mackerel,ulva_gutweed,3,3,2.3333333333333335,0.0,7.5,0.19670560245894686,0.6666666666666666,1.0,0.7409541131810577,False,False
milimani,genus,abudefduf,mackerel,ulva_salad,3,4,2.3333333333333335,0.25,9.5,0.24188659940883073,0.5833333333333334,1.0,0.7409541131810577,False,False
milimani,genus,abudefduf,sargassum,ulva_gutweed,3,3,0.6666666666666666,0.0,6.0,0.5049850750938458,0.3333333333333333,1.0,0.75357128646021,False,False
milimani,genus,abudefduf,sargassum,ulva_salad,3,4,0.6666666666666666,0.25,7.0,0.8254979107046321,0.16666666666666666,1.0,0.8254979107046321,False,False
milimani,genus,abudefduf,ulva_gutweed,ulva_salad,3,4,0.0,0.25,4.5,0.5637028616507731,-0.25,1.0,0.75357128646021,False,False
milimani,genus,aethaloperca,control,fischmix,3,1,1.3333333333333333,2.0,0.5,0.6170750774519738,-0.6666666666666666,1.0,0.8444410284229938,False,False
milimani,genus,aethaloperca,control,mackerel,3,3,1.3333333333333333,1.6666666666666667,3.0,0.6192567541768621,-0.3333333333333333,1.0,0.8444410284229938,False,False
milimani,genus,aethaloperca,control,sargassum,3,3,1.3333333333333333,1.6666666666666667,3.0,0.6192567541768621,-0.3333333333333333,1.0,0.8444410284229938,False,False
milimani,genus,aethaloperca,control,ulva_gutweed,3,3,1.3333333333333333,1.0,6.0,0.5049850750938458,0.3333333333333333,1.0,0.8444410284229938,False,False
milimani,genus,aethaloperca,control,ulva_salad,3,4,1.3333333333333333,1.0,8.0,0.3864762307712327,0.3333333333333333,1.0,0.8281633516526415,False,False
milimani,genus,aethaloperca,fischmix,mackerel,1,3,2.0,1.6666666666666667,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
milimani,genus,aethaloperca,fischmix,sargassum,1,3,2.0,1.6666666666666667,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
milimani,genus,aethaloperca,fischmix,ulva_gutweed,1,3,2.0,1.0,3.0,0.24821307898992362,1.0,1.0,0.620532697474809,False,False
milimani,genus,aethaloperca,fischmix,ulva_salad,1,4,2.0,1.0,4.0,0.13361440253771614,1.0,1.0,0.562896989984653,False,False
milimani,genus,aethaloperca,mackerel,sargassum,3,3,1.6666666666666667,1.6666666666666667,4.5,1.0,0.0,1.0,1.0,False,False
milimani,genus,aethaloperca,mackerel,ulva_gutweed,3,3,1.6666666666666667,1.0,7.5,0.18763232999488433,0.6666666666666666,1.0,0.562896989984653,False,False
milimani,genus,aethaloperca,mackerel,ulva_salad,3,4,1.6666666666666667,1.0,10.0,0.11752486809663916,0.6666666666666666,1.0,0.562896989984653,False,False
milimani,genus,aethaloperca,sargassum,ulva_gutweed,3,3,1.6666666666666667,1.0,7.5,0.18763232999488433,0.6666666666666666,1.0,0.562896989984653,False,False
milimani,genus,aethaloperca,sargassum,ulva_salad,3,4,1.6666666666666667,1.0,10.0,0.11752486809663916,0.6666666666666666,1.0,0.562896989984653,False,False
milimani,genus,aethaloperca,ulva_gutweed,ulva_salad,3,4,1.0,1.0,6.0,1.0,0.0,1.0,1.0,False,False
milimani,genus,amblyglyphidodon,control,fischmix,3,1,1.0,16.0,0.0,0.24821307898992362,-1.0,1.0,0.46539952310610677,False,False
milimani,genus,amblyglyphidodon,control,mackerel,3,3,1.0,4.0,1.5,0.19670560245894686,-0.6666666666666666,1.0,0.4215120052691718,False,False
milimani,genus,amblyglyphidodon,control,sargassum,3,3,1.0,6.333333333333333,0.0,0.06360256962075367,-1.0,0.8268334050697976,0.23850963607782627,False,False
milimani,genus,amblyglyphidodon,control,ulva_gutweed,3,3,1.0,4.0,0.0,0.06360256962075367,-1.0,0.8268334050697976,0.23850963607782627,False,False
milimani,genus,amblyglyphidodon,control,ulva_salad,3,4,1.0,1.0,6.0,1.0,0.0,1.0,1.0,False,False
milimani,genus,amblyglyphidodon,fischmix,mackerel,1,3,16.0,4.0,3.0,0.5,1.0,1.0,0.5769230769230769,False,False
milimani,genus,amblyglyphidodon,fischmix,sargassum,1,3,16.0,6.333333333333333,3.0,0.5,1.0,1.0,0.5769230769230769,False,False
milimani,genus,amblyglyphidodon,fischmix,ulva_gutweed,1,3,16.0,4.0,3.0,0.5,1.0,1.0,0.5769230769230769,False,False
milimani,genus,amblyglyphidodon,fischmix,ulva_salad,1,4,16.0,1.0,4.0,0.13361440253771614,1.0,1.0,0.33403600634429037,False,False
milimani,genus,amblyglyphidodon,mackerel,sargassum,3,3,4.0,6.333333333333333,2.0,0.4,-0.5555555555555556,1.0,0.5769230769230769,False,False
milimani,genus,amblyglyphidodon,mackerel,ulva_gutweed,3,3,4.0,4.0,4.5,1.0,0.0,1.0,1.0,False,False
milimani,genus,amblyglyphidodon,mackerel,ulva_salad,3,4,4.0,1.0,10.0,0.12274468232592091,0.6666666666666666,1.0,0.33403600634429037,False,False
milimani,genus,amblyglyphidodon,sargassum,ulva_gutweed,3,3,6.333333333333333,4.0,7.0,0.4,0.5555555555555556,1.0,0.5769230769230769,False,False
milimani,genus,amblyglyphidodon,sargassum,ulva_salad,3,4,6.333333333333333,1.0,12.0,0.03191120476963876,1.0,0.4786680715445814,0.23850963607782627,False,False
milimani,genus,amblyglyphidodon,ulva_gutweed,ulva_salad,3,4,4.0,1.0,12.0,0.03191120476963876,1.0,0.4786680715445814,0.23850963607782627,False,False
milimani,genus,aulostomus,control,fischmix,3,1,1.0,0.0,3.0,0.24821307898992362,1.0,1.0,0.8414660147072369,False,False
milimani,genus,aulostomus,control,mackerel,3,3,1.0,0.6666666666666666,6.0,0.5049850750938458,0.3333333333333333,1.0,0.8414660147072369,False,False
milimani,genus,aulostomus,control,sargassum,3,3,1.0,1.0,4.5,1.0,0.0,1.0,1.0,False,False
milimani,genus,aulostomus,control,ulva_gutweed,3,3,1.0,0.6666666666666666,6.0,0.5049850750938458,0.3333333333333333,1.0,0.8414660147072369,False,False
milimani,genus,aulostomus,control,ulva_salad,3,4,1.0,0.75,7.5,0.5637028616507731,0.25,1.0,0.8414660147072369,False,False
milimani,genus,aulostomus,fischmix,mackerel,1,3,0.0,0.6666666666666666,0.5,0.6170750774519738,-0.6666666666666666,1.0,0.8414660147072369,False,False
milimani,genus,aulostomus,fischmix,sargassum,1,3,0.0,1.0,0.0,0.24821307898992362,-1.0,1.0,0.8414660147072369,False,False
milimani,genus,aulostomus,fischmix,ulva_gutweed,1,3,0.0,0.6666666666666666,0.5,0.6170750774519738,-0.6666666666666666,1.0,0.8414660147072369,False,False
milimani,genus,aulostomus,fischmix,ulva_salad,1,4,0.0,0.75,0.5,0.4142161782425252,-0.75,1.0,0.8414660147072369,False,False
milimani,genus,aulostomus,mackerel,sargassum,3,3,0.6666666666666666,1.0,3.0,0.5049850750938458,-0.3333333333333333,1.0,0.8414660147072369,False,False
milimani,genus,aulostomus,mackerel,ulva_gutweed,3,3,0.6666666666666666,0.6666666666666666,4.5,1.0,0.0,1.0,1.0,False,False
milimani,genus,aulostomus,mackerel,ulva_salad,3,4,0.6666666666666666,0.75,5.5,1.0,-0.08333333333333333,1.0,1.0,False,False
milimani,genus,aulostomus,sargassum,ulva_gutweed,3,3,1.0,0.6666666666666666,6.0,0.5049850750938458,0.3333333333333333,1.0,0.8414660147072369,False,False
milimani,genus,aulostomus,sargassum,ulva_salad,3,4,1.0,0.75,7.5,0.5637028616507731,0.25,1.0,0.8414660147072369,False,False
milimani,genus,aulostomus,ulva_gutweed,ulva_salad,3,4,0.6666666666666666,0.75,5.5,1.0,-0.08333333333333333,1.0,1.0,False,False
milimani,genus,balistapus,control,fischmix,3,1,1.0,2.0,0.0,0.24821307898992362,-1.0,1.0,0.531885169264122,False,False
milimani,genus,balistapus,control,mackerel,3,3,1.0,2.0,0.0,0.04685417760387376,-1.0,0.7028126640581064,0.3514063320290532,False,False
milimani,genus,balistapus,control,sargassum,3,3,1.0,1.6666666666666667,1.5,0.18763232999488433,-0.6666666666666666,1.0,0.531885169264122,False,False
milimani,genus,balistapus,control,ulva_gutweed,3,3,1.0,1.0,4.5,1.0,0.0,1.0,1.0,False,False
milimani,genus,balistapus,control,ulva_salad,3,4,1.0,1.25,4.5,0.5637028616507731,-0.25,1.0,0.7046285770634664,False,False
milimani,genus,balistapus,fischmix,mackerel,1,3,2.0,2.0,1.5,1.0,0.0,1.0,1.0,False,False
milimani,genus,balistapus,fischmix,sargassum,1,3,2.0,1.6666666666666667,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
milimani,genus,balistapus,fischmix,ulva_gutweed,1,3,2.0,1.0,3.0,0.24821307898992362,1.0,1.0,0.531885169264122,False,False
milimani,genus,balistapus,fischmix,ulva_salad,1,4,2.0,1.25,3.5,0.4142161782425252,0.75,1.0,0.6903602970708753,False,False
milimani,genus,balistapus,mackerel,sargassum,3,3,2.0,1.6666666666666667,6.0,0.5049850750938458,0.3333333333333333,1.0,0.7046285770634664,False,False
milimani,genus,balistapus,mackerel,ulva_gutweed,3,3,2.0,1.0,9.0,0.04685417760387376,1.0,0.7028126640581064,0.3514063320290532,False,False
milimani,genus,balistapus,mackerel,ulva_salad,3,4,2.0,1.25,10.5,0.10247043485974937,0.75,1.0,0.5123521742987468,False,False
milimani,genus,balistapus,sargassum,ulva_gutweed,3,3,1.6666666666666667,1.0,7.5,0.18763232999488433,0.6666666666666666,1.0,0.531885169264122,False,False
milimani,genus,balistapus,sargassum,ulva_salad,3,4,1.6666666666666667,1.25,8.5,0.4142161782425252,0.4166666666666667,1.0,0.6903602970708753,False,False
milimani,genus,balistapus,ulva_gutweed,ulva_salad,3,4,1.0,1.25,4.5,0.5637028616507731,-0.25,1.0,0.7046285770634664,False,False
milimani,genus,balistoides,control,fischmix,3,1,0.6666666666666666,1.0,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,genus,balistoides,control,mackerel,3,3,0.6666666666666666,1.0,3.0,0.5049850750938458,-0.3333333333333333,1.0,0.9288851312652933,False,False
milimani,genus,balistoides,control,sargassum,3,3,0.6666666666666666,0.6666666666666666,4.5,1.0,0.0,1.0,1.0,False,False
milimani,genus,balistoides,control,ulva_gutweed,3,3,0.6666666666666666,0.3333333333333333,6.0,0.6192567541768621,0.3333333333333333,1.0,0.9288851312652933,False,False
milimani,genus,balistoides,control,ulva_salad,3,4,0.6666666666666666,0.25,8.5,0.4142161782425252,0.4166666666666667,1.0,0.9288851312652933,False,False
milimani,genus,balistoides,fischmix,mackerel,1,3,1.0,1.0,1.5,1.0,0.0,1.0,1.0,False,False
milimani,genus,balistoides,fischmix,sargassum,1,3,1.0,0.6666666666666666,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
milimani,genus,balistoides,fischmix,ulva_gutweed,1,3,1.0,0.3333333333333333,2.5,0.6170750774519738,0.6666666666666666,1.0,0.9288851312652933,False,False
milimani,genus,balistoides,fischmix,ulva_salad,1,4,1.0,0.25,3.5,0.4142161782425252,0.75,1.0,0.9288851312652933,False,False
milimani,genus,balistoides,mackerel,sargassum,3,3,1.0,0.6666666666666666,6.0,0.5049850750938458,0.3333333333333333,1.0,0.9288851312652933,False,False
milimani,genus,balistoides,mackerel,ulva_gutweed,3,3,1.0,0.3333333333333333,7.5,0.18763232999488433,0.6666666666666666,1.0,0.9288851312652933,False,False
milimani,genus,balistoides,mackerel,ulva_salad,3,4,1.0,0.25,10.5,0.10247043485974937,0.75,1.0,0.9288851312652933,False,False
milimani,genus,balistoides,sargassum,ulva_gutweed,3,3,0.6666666666666666,0.3333333333333333,6.0,0.6192567541768621,0.3333333333333333,1.0,0.9288851312652933,False,False
milimani,genus,balistoides,sargassum,ulva_salad,3,4,0.6666666666666666,0.25,8.5,0.4142161782425252,0.4166666666666667,1.0,0.9288851312652933,False,False
