filename,site,bait,bait_type,abudefduf,aethaloperca,amblyglyphidodon,aulostomus,balistapus,balistoides,bodianus,cantherhines,canthigaster,caranx,centropyge,cephalopholis,chaetodon,cheilinus,chlorurus,chromis,ctenochaetus,epibulus,forcipiger,genus chromis,genus naso,genus soldier,gomphosus,halichoeres,hemigymnus,heniochus,hipposcarus,labrichthys,labroides,lethrinus,lutjanus,meiacanthus,monotaxis,naso,oxycheilinus,oxymonacanthus,paracirrhites,parapercis,parupeneus,pseudocheilinus,pycnochromis,pygoplites,scarus,siganus,thalassoma,zanclus,zebrasoma
20240515-milimani-mackerel.csv,milimani,mackerel,fish,0.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,7.0,0.0,0.0,87.0,0.0,0.0,3.0,1.0,3.0,2.0,12.0,0.0,0.0,0.0,1.0,3.0,5.0,2.0,0.0,0.0,1.0,2.0,3.0,4.0,105.0,2.0,1.0,2.0,1.0,2.0,4.0
20241025-milimani-mackerel.csv,milimani,mackerel,fish,5.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,82.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,5.0,3.0,67.0
20241026-milimani-ulva_gutweed.csv,milimani,ulva_gutweed,algae,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,5.0,0.0,0.0,21.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,2.0,1.0,2.0,4.0
20241027-milimani-ulva_salad.csv,milimani,ulva_salad,algae,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,10.0,2.0,1.0,2.0,2.0,0.0,4.0
20241029-milimani-ulva_gutweed.csv,milimani,ulva_gutweed,algae,0.0,1.0,7.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,6.0,1.0,18.0,2.0,1.0,2.0,2.0,1.0,2.0
20241030-milimani-ulva_gutweed.csv,milimani,ulva_gutweed,algae,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,1.0,73.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,15.0,1.0,1.0,2.0,2.0,1.0,3.0
20241105-milimani-ulva_salad.csv,milimani,ulva_salad,algae,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,38.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,2.0,1.0,2.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0
20241110-milimani-ulva_salad.csv,milimani,ulva_salad,algae,1.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,4.0,1.0,4.0,0.0,3.0,0.0,3.0,1.0,0.0,84.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,99.0,1.0,1.0,2.0,2.0,0.0,2.0
20241111-milimani-control.csv,milimani,control,control,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,3.0,2.0,3.0,0.0,4.0,1.0,0.0,118.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,125.0,2.0,0.0,2.0,1.0,0.0,3.0
20241112-milimani-ulva_salad.csv,milimani,ulva_salad,algae,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,57.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,123.0,1.0,0.0,2.0,1.0,0.0,2.0
20241114-milimani-control.csv,milimani,control,control,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,1.0,72.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,1.0,0.0,2.0,1.0,0.0,2.0
20241115-milimani-control.csv,milimani,control,control,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,24.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,56.0,1.0,1.0,0.0,1.0,0.0,1.0
20241124-milimani-mackerel.csv,milimani,mackerel,fish,2.0,2.0,8.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,6.0,40.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,0.0,2.0,0.0,1.0,2.0,0.0,30.0,1.0,1.0,2.0,3.0,2.0,38.0
20241127-milimani-sargassum.csv,milimani,sargassum,algae,0.0,2.0,9.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,5.0,0.0,0.0,42.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,1.0,1.0,2.0,2.0,0.0,1.0
20241128-milimani-sargassum.csv,milimani,sargassum,algae,0.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,3.0,2.0,0.0,171.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,6.0,0.0,76.0,1.0,1.0,0.0,2.0,1.0,1.0
20241129-milimani-sargassum.csv,milimani,sargassum,algae,2.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,0.0,5.0,1.0,0.0,129.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,9.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,66.0,2.0,1.0,0.0,2.0,0.0,3.0
20241210-milimani-fischmix.csv,milimani,fischmix,fish,5.0,2.0,16.0,0.0,2.0,1.0,2.0,0.0,0.0,7.0,2.0,2.0,3.0,1.0,2.0,23.0,3.0,0.0,0.0,55.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,8.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,56.0,1.0,0.0,2.0,6.0,1.0,3.0
