filename,date,site,bait,bait_type,maxn_by_type
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,fish,"{'family': {'labridae': 4, 'acanthuridae': 7, 'pomacentridae': 105, 'pinguipedidae': 2, 'scaridae': 16, 'pomacanthidae': 4, 'balistidae': 2, 'chaetodontidae': 3, 'tetraodontidae': 2, 'mullidae': 3, 'blenniidae': 3, 'monacanthidae': 1, 'serranidae': 1, 'cirrhitidae': 1, 'zanclidae': 2, 'lutjanidae': 1, 'siganidae': 2, 'lethrinidae': 5, 'fistulariidae': 1, 'aulostomidae': 1}, 'genus': {'thalassoma': 1, 'zebrasoma': 4, 'pycnochromis': 105, 'parapercis': 2, 'hipposcarus': 12, 'gomphosus': 3, 'ctenochaetus': 7, 'scarus': 1, 'centropyge': 4, 'chlorurus': 1, 'balistapus': 2, 'chaetodon': 3, 'amblyglyphidodon': 3, 'naso': 2, 'genus chromis': 87, 'parupeneus': 3, 'canthigaster': 2, 'pseudocheilinus': 4, 'meiacanthus': 3, 'pygoplites': 2, 'cantherhines': 1, 'aethaloperca': 1, 'cephalopholis': 1, 'paracirrhites': 1, 'cheilinus': 1, 'zanclus': 2, 'lutjanus': 1, 'hemigymnus': 3, 'epinephelus': 1, 'bodianus': 1, 'siganus': 2, 'monotaxis': 5, 'balistoides': 1, 'halichoeres': 1, 'heniochus': 2, 'aulostomus': 1}, 'unspecific': {'wrasses': 4, 'large ovals': 7, 'small ovals - damselfishes': 105, 'elongate sand & burrow dwellers': 2, 'parrotfishes': 16, 'disk-shaped/colourful': 4, 'odd-shaped swimmers': 3, 'blennies': 3, 'heavy bodies/large lips': 1, 'sloping heads': 5}, 'word_group': {'wrasses': 4, 'surgeonfishes': 7, 'small_ovals_damselfishes': 105, 'elongate_sand_burrow_dwellers': 2, 'parrotfishes': 16, 'angelfishes': 4, 'triggerfishes': 2, 'butterflyfishes': 3, 'puffers': 2, 'goatfishes': 3, 'blennies': 3, 'filefishes': 1, 'groupers_large': 1, 'hawkfishes': 1, 'moorish_idol': 2, 'snappers': 1, 'rabbitfishes': 2, 'emperors': 5, 'cornetfishes': 1, 'trumpetfishes': 1}, 'diet': {'invertebrates': 5, 'plankton': 105, 'algae': 105, 'fish': 5}, 'composite_group': {'wrasses_trigger_combo': 4, 'invertebrate_oriented_diet_mode': 5, 'plankton_oriented_diet_mode': 105, 'herbivore_core_families': 16, 'herbivore_extended_with_damselfishes': 105, 'algae_oriented_diet_mode': 105, 'bioeroder_set': 16, 'invertivore_benthic_core': 5, 'invertivore_general': 5, 'fish_oriented_diet_mode': 5, 'omnivore_box_puffer_file': 2, 'piscivore_core_families': 1, 'piscivore_active_hunters': 1, 'snappers_groupers_combo': 1, 'predator_reef_core': 1, 'nocturnal_predator_mixture': 1}}"
20241025-milimani-mackerel.csv,20241025,milimani,mackerel,fish,"{'family': {'muraenidae': 1, 'labridae': 5, 'pomacentridae': 82, 'mullidae': 2, 'acanthuridae': 67, 'chaetodontidae': 2, 'pomacanthidae': 2, 'carangidae': 2, 'scaridae': 3, 'serranidae': 2, 'balistidae': 2, 'aulostomidae': 1, 'lutjanidae': 3, 'zanclidae': 3}, 'genus': {'gymnothorax': 1, 'thalassoma': 5, 'abudefduf': 5, 'amblyglyphidodon': 1, 'parupeneus': 2, 'chromis': 82, 'ctenochaetus': 4, 'chaetodon': 2, 'pygoplites': 2, 'caranx': 2, 'hipposcarus': 2, 'gomphosus': 2, 'zebrasoma': 67, 'cephalopholis': 1, 'balistapus': 2, 'aulostomus': 1, 'lutjanus': 3, 'naso': 2, 'halichoeres': 1, 'zanclus': 3, 'balistoides': 1, 'cheilinus': 1, 'hemigymnus': 1, 'labroides': 1, 'aethaloperca': 2, 'pycnochromis': 1}, 'unspecific': {'eels': 1, 'wrasses': 5, 'small ovals - damselfishes': 82, 'odd-shaped swimmers': 2, 'large ovals': 67, 'disk-shaped/colourful': 2, 'silvery': 2, 'parrotfishes': 3, 'heavy bodies/large lips': 2, 'sloping heads': 3}, 'word_group': {'eels': 1, 'wrasses': 5, 'small_ovals_damselfishes': 82, 'goatfishes': 2, 'surgeonfishes': 67, 'butterflyfishes': 2, 'angelfishes': 2, 'parrotfishes': 3, 'groupers_large': 2, 'triggerfishes': 2, 'trumpetfishes': 1, 'snappers': 3, 'moorish_idol': 3}, 'diet': {'fish': 3, 'invertebrates': 5, 'plankton': 82, 'algae': 82}, 'composite_group': {'piscivore_core_families': 3, 'piscivore_active_hunters': 3, 'predator_reef_core': 3, 'nocturnal_predator_mixture': 3, 'fish_oriented_diet_mode': 3, 'wrasses_trigger_combo': 5, 'invertebrate_oriented_diet_mode': 5, 'plankton_oriented_diet_mode': 82, 'herbivore_extended_with_damselfishes': 82, 'algae_oriented_diet_mode': 82, 'invertivore_benthic_core': 2, 'invertivore_general': 2, 'herbivore_core_families': 67, 'bioeroder_set': 3, 'snappers_groupers_combo': 3}}"
20241026-milimani-ulva_gutweed.csv,20241026,milimani,ulva_gutweed,algae,"{'family': {'pomacentridae': 21, 'mullidae': 1, 'acanthuridae': 5, 'labridae': 2, 'balistidae': 1, 'scaridae': 3, 'serranidae': 1, 'chaetodontidae': 2, 'lethrinidae': 1, 'pomacanthidae': 1, 'siganidae': 2, 'lutjanidae': 1, 'aulostomidae': 1, 'tetraodontidae': 2, 'zanclidae': 2, 'monacanthidae': 1, 'cirrhitidae': 1}, 'genus': {'amblyglyphidodon': 2, 'parupeneus': 1, 'zebrasoma': 4, 'thalassoma': 1, 'genus chromis': 21, 'hemigymnus': 1, 'ctenochaetus': 5, 'bodianus': 1, 'balistapus': 1, 'chlorurus': 3, 'halichoeres': 1, 'cheilinus': 1, 'naso': 1, 'pycnochromis': 7, 'aethaloperca': 1, 'chaetodon': 2, 'monotaxis': 1, 'pygoplites': 1, 'gomphosus': 2, 'siganus': 2, 'lutjanus': 1, 'lethrinus': 1, 'aulostomus': 1, 'centropyge': 1, 'genus naso': 2, 'zanclus': 2, 'cantherhines': 1, 'oxycheilinus': 1, 'genus acanthurus': 1, 'paracirrhites': 1}, 'unspecific': {'small ovals - damselfishes': 21, 'odd-shaped swimmers': 2, 'large ovals': 5, 'wrasses': 2, 'parrotfishes': 3, 'heavy bodies/large lips': 1, 'disk-shaped/colourful': 2, 'sloping heads': 1}, 'word_group': {'small_ovals_damselfishes': 21, 'goatfishes': 1, 'surgeonfishes': 5, 'wrasses': 2, 'triggerfishes': 1, 'parrotfishes': 3, 'groupers_large': 1, 'butterflyfishes': 2, 'emperors': 1, 'angelfishes': 1, 'rabbitfishes': 2, 'snappers': 1, 'trumpetfishes': 1, 'puffers': 2, 'moorish_idol': 2, 'filefishes': 1, 'hawkfishes': 1}, 'diet': {'algae': 21, 'plankton': 21, 'invertebrates': 2, 'fish': 2}, 'composite_group': {'herbivore_extended_with_damselfishes': 21, 'algae_oriented_diet_mode': 21, 'plankton_oriented_diet_mode': 21, 'invertivore_benthic_core': 1, 'invertivore_general': 1, 'invertebrate_oriented_diet_mode': 2, 'herbivore_core_families': 5, 'wrasses_trigger_combo': 2, 'bioeroder_set': 3, 'piscivore_core_families': 1, 'piscivore_active_hunters': 1, 'snappers_groupers_combo': 1, 'predator_reef_core': 1, 'fish_oriented_diet_mode': 2, 'nocturnal_predator_mixture': 1, 'omnivore_box_puffer_file': 2}}"
20241027-milimani-ulva_salad.csv,20241027,milimani,ulva_salad,algae,"{'family': {'labridae': 2, 'acanthuridae': 5, 'scaridae': 12, 'pomacentridae': 10, 'pomacanthidae': 3, 'mullidae': 3, 'chaetodontidae': 2, 'balistidae': 1, 'tetraodontidae': 2, 'carangidae': 1, 'serranidae': 1, 'blenniidae': 2, 'siganidae': 2, 'lethrinidae': 2, 'aulostomidae': 1, 'monacanthidae': 2, 'scombridae': 1}, 'genus': {'gomphosus': 1, 'zebrasoma': 4, 'ctenochaetus': 5, 'chlorurus': 4, 'amblyglyphidodon': 1, 'halichoeres': 1, 'centropyge': 3, 'thalassoma': 2, 'hemigymnus': 1, 'parupeneus': 3, 'pygoplites': 2, 'chaetodon': 2, 'pycnochromis': 10, 'balistapus': 1, 'genus naso': 1, 'aethaloperca': 1, 'meiacanthus': 2, 'scarus': 1, 'siganus': 2, 'cheilinus': 1, 'monotaxis': 2, 'bodianus': 1, 'heniochus': 1, 'lethrinus': 1, 'aulostomus': 1, 'oxycheilinus': 1, 'oxymonacanthus': 2}, 'unspecific': {'wrasses': 2, 'large ovals': 5, 'parrotfishes': 12, 'small ovals - damselfishes': 10, 'disk-shaped/colourful': 3, 'odd-shaped swimmers': 3, 'silvery': 1, 'heavy bodies/large lips': 1, 'blennies': 2, 'sloping heads': 2}, 'word_group': {'wrasses': 2, 'surgeonfishes': 5, 'parrotfishes': 12, 'small_ovals_damselfishes': 10, 'angelfishes': 3, 'goatfishes': 3, 'butterflyfishes': 2, 'triggerfishes': 1, 'puffers': 2, 'groupers_large': 1, 'blennies': 2, 'rabbitfishes': 2, 'emperors': 2, 'trumpetfishes': 1, 'filefishes': 2}, 'diet': {'invertebrates': 3, 'plankton': 10, 'algae': 12, 'fish': 2}, 'composite_group': {'wrasses_trigger_combo': 2, 'invertebrate_oriented_diet_mode': 3, 'plankton_oriented_diet_mode': 10, 'herbivore_core_families': 12, 'herbivore_extended_with_damselfishes': 12, 'algae_oriented_diet_mode': 12, 'bioeroder_set': 12, 'invertivore_benthic_core': 3, 'invertivore_general': 3, 'fish_oriented_diet_mode': 2, 'omnivore_box_puffer_file': 2, 'piscivore_core_families': 1, 'piscivore_active_hunters': 1, 'snappers_groupers_combo': 1, 'predator_reef_core': 1}}"
20241029-milimani-ulva_gutweed.csv,20241029,milimani,ulva_gutweed,algae,"{'family': {'pomacentridae': 18, 'labridae': 2, 'acanthuridae': 4, 'pomacanthidae': 3, 'scaridae': 9, 'chaetodontidae': 2, 'tetraodontidae': 2, 'serranidae': 1, 'lutjanidae': 1, 'holocentridae': 1, 'lethrinidae': 6, 'balistidae': 1, 'blenniidae': 1, 'siganidae': 2, 'mullidae': 6, 'zanclidae': 1, 'aulostomidae': 1, 'scombridae': 1}, 'genus': {'pycnochromis': 18, 'amblyglyphidodon': 7, 'halichoeres': 1, 'thalassoma': 2, 'ctenochaetus': 4, 'zebrasoma': 2, 'centropyge': 3, 'chaetodon': 2, 'gomphosus': 1, 'pygoplites': 2, 'cephalopholis': 1, 'chlorurus': 4, 'lutjanus': 1, 'genus squirrel': 1, 'hemigymnus': 1, 'monotaxis': 6, 'balistapus': 1, 'meiacanthus': 1, 'aethaloperca': 1, 'lethrinus': 1, 'genus soldier': 1, 'canthigaster': 2, 'genus naso': 1, 'siganus': 2, 'naso': 2, 'parupeneus': 6, 'cheilinus': 1, 'scarus': 1, 'pseudocheilinus': 1, 'labroides': 2, 'bodianus': 1, 'zanclus': 1, 'aulostomus': 1, 'oxycheilinus': 1}, 'unspecific': {'small ovals - damselfishes': 18, 'wrasses': 2, 'large ovals': 4, 'disk-shaped/colourful': 3, 'parrotfishes': 9, 'odd-shaped swimmers': 6, 'heavy bodies/large lips': 1, 'sloping heads': 6, 'reddish/big eyes': 1, 'blennies': 1, 'stomatapoda': 1, 'silvery': 1}, 'word_group': {'small_ovals_damselfishes': 18, 'wrasses': 2, 'surgeonfishes': 4, 'angelfishes': 3, 'parrotfishes': 9, 'butterflyfishes': 2, 'puffers': 2, 'groupers_large': 1, 'snappers': 1, 'emperors': 6, 'triggerfishes': 1, 'blennies': 1, 'rabbitfishes': 2, 'goatfishes': 6, 'moorish_idol': 1, 'trumpetfishes': 1}, 'diet': {'algae': 18, 'plankton': 18, 'invertebrates': 6, 'fish': 6}, 'composite_group': {'herbivore_extended_with_damselfishes': 18, 'algae_oriented_diet_mode': 18, 'plankton_oriented_diet_mode': 18, 'wrasses_trigger_combo': 2, 'invertebrate_oriented_diet_mode': 6, 'herbivore_core_families': 9, 'bioeroder_set': 9, 'fish_oriented_diet_mode': 6, 'omnivore_box_puffer_file': 2, 'piscivore_core_families': 1, 'piscivore_active_hunters': 1, 'snappers_groupers_combo': 1, 'predator_reef_core': 1, 'nocturnal_predator_mixture': 1, 'invertivore_benthic_core': 6, 'invertivore_general': 6}}"
20241030-milimani-ulva_gutweed.csv,20241030,milimani,ulva_gutweed,algae,"{'family': {'acanthuridae': 4, 'pomacentridae': 73, 'chaetodontidae': 2, 'pomacanthidae': 3, 'mullidae': 3, 'scaridae': 5, 'labridae': 2, 'balistidae': 1, 'lethrinidae': 1, 'serranidae': 1, 'tetraodontidae': 1, 'carangidae': 3, 'zanclidae': 1, 'lutjanidae': 1, 'siganidae': 2, 'holocentridae': 1, 'cirrhitidae': 1}, 'genus': {'ctenochaetus': 4, 'pycnochromis': 15, 'chaetodon': 2, 'zebrasoma': 3, 'pygoplites': 1, 'genus chromis': 73, 'parupeneus': 3, 'thalassoma': 2, 'balistapus': 1, 'amblyglyphidodon': 3, 'halichoeres': 1, 'gomphosus': 1, 'centropyge': 3, 'chlorurus': 2, 'monotaxis': 1, 'hemigymnus': 1, 'scarus': 1, 'balistoides': 1, 'pseudocheilinus': 1, 'canthigaster': 1, 'genus naso': 1, 'zanclus': 1, 'lutjanus': 1, 'cheilinus': 1, 'siganus': 2, 'naso': 1, 'epibulus': 1, 'genus squirrel': 1, 'genus soldier': 1, 'cephalopholis': 1, 'paracirrhites': 1, 'aethaloperca': 1, 'forcipiger': 1}, 'unspecific': {'large ovals': 4, 'small ovals - damselfishes': 73, 'disk-shaped/colourful': 3, 'odd-shaped swimmers': 3, 'parrotfishes': 5, 'wrasses': 2, 'sloping heads': 1, 'heavy bodies/large lips': 1, 'silvery': 3, 'reddish/big eyes': 1}, 'word_group': {'surgeonfishes': 4, 'small_ovals_damselfishes': 73, 'butterflyfishes': 2, 'angelfishes': 3, 'goatfishes': 3, 'parrotfishes': 5, 'wrasses': 2, 'triggerfishes': 1, 'emperors': 1, 'groupers_large': 1, 'puffers': 1, 'moorish_idol': 1, 'snappers': 1, 'rabbitfishes': 2, 'hawkfishes': 1}, 'diet': {'algae': 73, 'plankton': 73, 'invertebrates': 3, 'fish': 2}, 'composite_group': {'herbivore_core_families': 5, 'herbivore_extended_with_damselfishes': 73, 'algae_oriented_diet_mode': 73, 'plankton_oriented_diet_mode': 73, 'fish_oriented_diet_mode': 2, 'invertebrate_oriented_diet_mode': 3, 'invertivore_benthic_core': 3, 'invertivore_general': 3, 'bioeroder_set': 5, 'wrasses_trigger_combo': 2, 'piscivore_core_families': 1, 'piscivore_active_hunters': 1, 'snappers_groupers_combo': 1, 'predator_reef_core': 1, 'omnivore_box_puffer_file': 1, 'nocturnal_predator_mixture': 1}}"
20241105-milimani-ulva_salad.csv,20241105,milimani,ulva_salad,algae,"{'family': {'pomacentridae': 38, 'scaridae': 2, 'acanthuridae': 5, 'labridae': 2, 'balistidae': 1, 'mullidae': 1, 'pomacanthidae': 2, 'lethrinidae': 1, 'chaetodontidae': 1, 'tetraodontidae': 1, 'monacanthidae': 3, 'blenniidae': 2, 'serranidae': 1, 'pinguipedidae': 2}, 'genus': {'amblyglyphidodon': 1, 'ctenochaetus': 4, 'pycnochromis': 6, 'bodianus': 1, 'balistapus': 1, 'zebrasoma': 1, 'parupeneus': 1, 'chlorurus': 1, 'centropyge': 1, 'halichoeres': 1, 'thalassoma': 1, 'hemigymnus': 1, 'monotaxis': 1, 'chaetodon': 1, 'genus naso': 1, 'oxymonacanthus': 3, 'meiacanthus': 2, 'naso': 2, 'pseudocheilinus': 2, 'cephalopholis': 1, 'aethaloperca': 1, 'parapercis': 2, 'epibulus': 1, 'gomphosus': 1, 'pygoplites': 2, 'genus chromis': 38}, 'unspecific': {'small ovals - damselfishes': 38, 'parrotfishes': 2, 'large ovals': 5, 'wrasses': 2, 'odd-shaped swimmers': 3, 'disk-shaped/colourful': 2, 'sloping heads': 1, 'blennies': 2, 'heavy bodies/large lips': 1, 'elongate sand & burrow dwellers': 2}, 'word_group': {'small_ovals_damselfishes': 38, 'parrotfishes': 2, 'surgeonfishes': 5, 'wrasses': 2, 'triggerfishes': 1, 'goatfishes': 1, 'angelfishes': 2, 'emperors': 1, 'butterflyfishes': 1, 'puffers': 1, 'filefishes': 3, 'blennies': 2, 'groupers_large': 1, 'elongate_sand_burrow_dwellers': 2}, 'diet': {'algae': 38, 'plankton': 38, 'invertebrates': 3, 'fish': 1}, 'composite_group': {'herbivore_extended_with_damselfishes': 38, 'algae_oriented_diet_mode': 38, 'plankton_oriented_diet_mode': 38, 'herbivore_core_families': 5, 'bioeroder_set': 2, 'wrasses_trigger_combo': 2, 'invertebrate_oriented_diet_mode': 3, 'invertivore_benthic_core': 1, 'invertivore_general': 1, 'fish_oriented_diet_mode': 1, 'omnivore_box_puffer_file': 3, 'piscivore_core_families': 1, 'piscivore_active_hunters': 1, 'snappers_groupers_combo': 1, 'predator_reef_core': 1}}"
20241110-milimani-ulva_salad.csv,20241110,milimani,ulva_salad,algae,"{'family': {'labridae': 2, 'pomacentridae': 99, 'pomacanthidae': 4, 'lutjanidae': 1, 'acanthuridae': 10, 'balistidae': 2, 'scaridae': 4, 'lethrinidae': 6, 'serranidae': 1, 'aulostomidae': 1, 'chaetodontidae': 4, 'mullidae': 2, 'siganidae': 2, 'blenniidae': 1, 'tetraodontidae': 2, 'pinguipedidae': 1, 'carangidae': 1, 'cirrhitidae': 1, 'monacanthidae': 3}, 'genus': {'thalassoma': 2, 'pycnochromis': 99, 'pygoplites': 1, 'bodianus': 1, 'lutjanus': 1, 'ctenochaetus': 3, 'amblyglyphidodon': 1, 'zebrasoma': 2, 'centropyge': 4, 'gomphosus': 1, 'hipposcarus': 2, 'genus chromis': 84, 'monotaxis': 6, 'aethaloperca': 1, 'aulostomus': 1, 'balistapus': 2, 'chaetodon': 4, 'parupeneus': 2, 'siganus': 2, 'cephalopholis': 1, 'meiacanthus': 1, 'hemigymnus': 2, 'chlorurus': 3, 'scarus': 1, 'parapercis': 1, 'canthigaster': 2, 'caranx': 1, 'novaculichthys': 1, 'naso': 1, 'epibulus': 1, 'hemitaurichthys': 1, 'paracirrhites': 1, 'oxycheilinus': 1, 'heniochus': 2, 'abudefduf': 1, 'cantherhines': 3, 'labrichthys': 1, 'genus siganus': 1}, 'unspecific': {'wrasses': 2, 'small ovals - damselfishes': 99, 'disk-shaped/colourful': 4, 'sloping heads': 6, 'large ovals': 10, 'odd-shaped swimmers': 3, 'parrotfishes': 4, 'heavy bodies/large lips': 1, 'blennies': 1, 'elongate sand & burrow dwellers': 1, 'silvery': 1}, 'word_group': {'wrasses': 2, 'small_ovals_damselfishes': 99, 'angelfishes': 4, 'snappers': 1, 'surgeonfishes': 10, 'triggerfishes': 2, 'parrotfishes': 4, 'emperors': 6, 'groupers_large': 1, 'trumpetfishes': 1, 'butterflyfishes': 4, 'goatfishes': 2, 'rabbitfishes': 2, 'blennies': 1, 'puffers': 2, 'elongate_sand_burrow_dwellers': 1, 'hawkfishes': 1, 'filefishes': 3}, 'diet': {'invertebrates': 6, 'plankton': 99, 'algae': 99, 'fish': 6}, 'composite_group': {'wrasses_trigger_combo': 2, 'invertebrate_oriented_diet_mode': 6, 'plankton_oriented_diet_mode': 99, 'herbivore_extended_with_damselfishes': 99, 'algae_oriented_diet_mode': 99, 'piscivore_core_families': 1, 'piscivore_active_hunters': 1, 'snappers_groupers_combo': 1, 'predator_reef_core': 1, 'nocturnal_predator_mixture': 1, 'fish_oriented_diet_mode': 6, 'herbivore_core_families': 10, 'invertivore_benthic_core': 6, 'invertivore_general': 6, 'bioeroder_set': 4, 'omnivore_box_puffer_file': 3}}"
20241111-milimani-control.csv,20241111,milimani,control,control,"{'family': {'pomacentridae': 125, 'acanthuridae': 4, 'labridae': 2, 'chaetodontidae': 3, 'scaridae': 3, 'pomacanthidae': 3, 'siganidae': 2, 'serranidae': 1, 'mullidae': 2, 'lutjanidae': 1, 'balistidae': 1, 'aulostomidae': 1, 'monacanthidae': 2, 'holocentridae': 1, 'pinguipedidae': 1, 'lethrinidae': 1, 'blenniidae': 2}, 'genus': {'genus chromis': 118, 'pycnochromis': 125, 'zebrasoma': 3, 'ctenochaetus': 4, 'amblyglyphidodon': 1, 'gomphosus': 2, 'chaetodon': 3, 'centropyge': 3, 'siganus': 2, 'chlorurus': 3, 'parupeneus': 2, 'lutjanus': 1, 'cephalopholis': 1, 'balistapus': 1, 'aethaloperca': 1, 'bodianus': 1, 'pseudocheilinus': 1, 'hemigymnus': 1, 'aulostomus': 1, 'pygoplites': 2, 'cantherhines': 2, 'thalassoma': 1, 'genus soldier': 1, 'cheilinus': 2, 'parapercis': 1, 'monotaxis': 1, 'naso': 1, 'halichoeres': 1, 'aluterus': 2, 'meiacanthus': 2, 'epibulus': 1, 'oxymonacanthus': 1, 'labrichthys': 1}, 'unspecific': {'small ovals - damselfishes': 125, 'large ovals': 4, 'wrasses': 2, 'disk-shaped/colourful': 3, 'parrotfishes': 3, 'heavy bodies/large lips': 1, 'odd-shaped swimmers': 2, 'sloping heads': 1, 'reddish/big eyes': 1, 'elongate sand & burrow dwellers': 1, 'blennies': 2}, 'word_group': {'small_ovals_damselfishes': 125, 'surgeonfishes': 4, 'wrasses': 2, 'butterflyfishes': 3, 'parrotfishes': 3, 'angelfishes': 3, 'rabbitfishes': 2, 'groupers_large': 1, 'goatfishes': 2, 'snappers': 1, 'triggerfishes': 1, 'trumpetfishes': 1, 'filefishes': 2, 'elongate_sand_burrow_dwellers': 1, 'emperors': 1, 'blennies': 2}, 'diet': {'algae': 125, 'plankton': 125, 'invertebrates': 3, 'fish': 3}, 'composite_group': {'herbivore_extended_with_damselfishes': 125, 'algae_oriented_diet_mode': 125, 'plankton_oriented_diet_mode': 125, 'herbivore_core_families': 4, 'wrasses_trigger_combo': 2, 'invertebrate_oriented_diet_mode': 3, 'fish_oriented_diet_mode': 3, 'bioeroder_set': 3, 'piscivore_core_families': 1, 'piscivore_active_hunters': 1, 'snappers_groupers_combo': 1, 'predator_reef_core': 1, 'invertivore_benthic_core': 2, 'invertivore_general': 2, 'nocturnal_predator_mixture': 1, 'omnivore_box_puffer_file': 2}}"
20241112-milimani-ulva_salad.csv,20241112,milimani,ulva_salad,algae,"{'family': {'pomacentridae': 180, 'acanthuridae': 4, 'labridae': 2, 'scaridae': 9, 'chaetodontidae': 2, 'pinguipedidae': 1, 'mullidae': 1, 'pomacanthidae': 2, 'serranidae': 3, 'balistidae': 1, 'blenniidae': 2, 'tetraodontidae': 1, 'monacanthidae': 1, 'lethrinidae': 2, 'siganidae': 2, 'cirrhitidae': 1, 'aulostomidae': 1}, 'genus': {'pycnochromis': 123, 'genus chromis': 57, 'zebrasoma': 2, 'thalassoma': 1, 'ctenochaetus': 4, 'chaetodon': 2, 'bodianus': 1, 'parapercis': 1, 'parupeneus': 1, 'centropyge': 2, 'pseudocheilinus': 2, 'balistapus': 1, 'cephalopholis': 1, 'gomphosus': 1, 'meiacanthus': 2, 'cantherhines': 1, 'canthigaster': 1, 'monotaxis': 2, 'siganus': 2, 'paracirrhites': 1, 'aethaloperca': 1, 'hemigymnus': 1, 'chlorurus': 2, 'pygoplites': 1, 'aulostomus': 1, 'halichoeres': 1, 'balistoides': 1, 'amblyglyphidodon': 1, 'lethrinus': 1, 'oxymonacanthus': 1}, 'unspecific': {'small ovals - damselfishes': 180, 'large ovals': 4, 'wrasses': 2, 'parrotfishes': 9, 'disk-shaped/colourful': 2, 'elongate sand & burrow dwellers': 1, 'odd-shaped swimmers': 2, 'heavy bodies/large lips': 3, 'blennies': 2, 'sloping heads': 2}, 'word_group': {'small_ovals_damselfishes': 180, 'surgeonfishes': 4, 'wrasses': 2, 'parrotfishes': 9, 'butterflyfishes': 2, 'elongate_sand_burrow_dwellers': 1, 'goatfishes': 1, 'angelfishes': 2, 'groupers_large': 3, 'triggerfishes': 1, 'blennies': 2, 'puffers': 1, 'filefishes': 1, 'emperors': 2, 'rabbitfishes': 2, 'hawkfishes': 1, 'trumpetfishes': 1}, 'diet': {'algae': 180, 'plankton': 180, 'invertebrates': 2, 'fish': 3}, 'composite_group': {'herbivore_extended_with_damselfishes': 180, 'algae_oriented_diet_mode': 180, 'plankton_oriented_diet_mode': 180, 'herbivore_core_families': 9, 'wrasses_trigger_combo': 2, 'invertebrate_oriented_diet_mode': 2, 'bioeroder_set': 9, 'fish_oriented_diet_mode': 3, 'invertivore_benthic_core': 2, 'invertivore_general': 2, 'piscivore_core_families': 3, 'piscivore_active_hunters': 3, 'snappers_groupers_combo': 3, 'predator_reef_core': 3, 'omnivore_box_puffer_file': 2}}"
