site,feature_type,feature,n_fish,n_algae,mean_fish,mean_algae,median_fish,median_algae,u_stat,p_value,cliffs_delta_fish_minus_algae,higher_side,p_value_holm,p_value_bh,significant_holm,significant_bh
milimani,word_group,wrasses,4,10,4.5,2.1,4.5,2.0,39.5,0.0017116376594705583,0.975,fish,0.03252111552994061,0.03252111552994061,True,True
milimani,word_group,moorish_idol,4,10,2.0,0.5,2.0,0.0,36.5,0.016602337989206427,0.825,fish,0.2988420838057157,0.15772221089746105,False,False
milimani,word_group,triggerfishes,4,10,2.0,1.3,2.0,1.0,34.0,0.02788434031570047,0.7,fish,0.474033785366908,0.1766008219994363,False,False
milimani,word_group,snappers,4,10,3.5,1.0,2.5,1.0,33.5,0.05596935100099164,0.675,fish,0.8955096160158662,0.26585441725471026,False,False
milimani,word_group,puffers,4,10,0.5,1.5,0.0,1.5,8.5,0.10333823252365865,-0.575,algae,1.0,0.39268528358990284,False,False
milimani,word_group,groupers_large,4,10,2.5,1.4,2.0,1.0,29.5,0.15302563021260568,0.475,fish,1.0,0.48458116233991794,False,False
milimani,word_group,surgeonfishes,4,10,28.75,5.0,22.5,5.0,29.5,0.1904431518972034,0.475,fish,1.0,0.5169171265781235,False,False
milimani,word_group,elongate_sand_burrow_dwellers,4,10,1.0,0.5,1.0,0.0,27.5,0.2774314084913646,0.375,fish,1.0,0.6588995951669909,False,False
milimani,word_group,trumpetfishes,4,10,0.5,0.8,0.5,1.0,14.0,0.32142850989854477,-0.3,algae,1.0,0.6785712986747057,False,False
milimani,word_group,butterflyfishes,4,10,2.75,2.5,3.0,2.0,25.0,0.4923935898413322,0.25,fish,1.0,0.9355478206985313,False,False
milimani,word_group,angelfishes,4,10,2.25,2.6,2.0,2.5,15.5,0.5517126719905745,-0.225,algae,1.0,0.9529582516200832,False,False
milimani,word_group,filefishes,4,10,1.0,1.4,1.0,1.5,16.0,0.6081260910299372,-0.2,algae,1.0,0.9628663107974006,False,False
milimani,word_group,emperors,4,10,2.5,4.4,2.5,2.0,17.0,0.719199114890989,-0.15,algae,1.0,0.9943494408826177,False,False
milimani,word_group,parrotfishes,4,10,7.75,8.0,6.0,5.0,22.5,0.7760964108781581,0.125,algae,1.0,0.9943494408826177,False,False
milimani,word_group,blennies,4,10,1.0,1.0,0.5,1.0,18.0,0.8233811102507145,-0.1,algae,1.0,0.9943494408826177,False,False
milimani,word_group,small_ovals_damselfishes,4,10,70.75,78.1,69.0,57.5,22.0,0.8391608391608392,0.1,algae,1.0,0.9943494408826177,False,False
milimani,word_group,rabbitfishes,4,10,1.5,1.4,2.0,2.0,21.0,0.9281769311514955,0.05,fish,1.0,0.9943494408826177,False,False
milimani,word_group,goatfishes,4,10,2.5,3.5,2.5,2.5,21.0,0.9420152597835325,0.05,algae,1.0,0.9943494408826177,False,False
milimani,word_group,hawkfishes,4,10,0.5,0.5,0.5,0.5,20.0,1.0,0.0,algae,1.0,1.0,False,False
