site,feature_type,feature,bait_a,bait_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,cliffs_delta,p_value_holm_within_feature,p_value_bh_within_feature,significant_holm_within_feature,significant_bh_within_feature
milimani,word_group,angelfishes,control,fischmix,3,1,2.0,2.0,1.5,1.0,0.0,1.0,1.0,False,False
milimani,word_group,angelfishes,control,mackerel,3,3,2.0,2.3333333333333335,4.0,1.0,-0.1111111111111111,1.0,1.0,False,False
milimani,word_group,angelfishes,control,sargassum,3,3,2.0,2.6666666666666665,3.0,0.6428348264908044,-0.3333333333333333,1.0,1.0,False,False
milimani,word_group,angelfishes,control,ulva_gutweed,3,3,2.0,2.3333333333333335,3.5,0.8136637157667919,-0.2222222222222222,1.0,1.0,False,False
milimani,word_group,angelfishes,control,ulva_salad,3,4,2.0,2.75,3.5,0.4587185587250222,-0.4166666666666667,1.0,1.0,False,False
milimani,word_group,angelfishes,fischmix,mackerel,1,3,2.0,2.3333333333333335,1.5,1.0,0.0,1.0,1.0,False,False
milimani,word_group,angelfishes,fischmix,sargassum,1,3,2.0,2.6666666666666665,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,word_group,angelfishes,fischmix,ulva_gutweed,1,3,2.0,2.3333333333333335,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
milimani,word_group,angelfishes,fischmix,ulva_salad,1,4,2.0,2.75,1.0,0.6926327840419602,-0.5,1.0,1.0,False,False
milimani,word_group,angelfishes,mackerel,sargassum,3,3,2.3333333333333335,2.6666666666666665,3.5,0.8136637157667919,-0.2222222222222222,1.0,1.0,False,False
milimani,word_group,angelfishes,mackerel,ulva_gutweed,3,3,2.3333333333333335,2.3333333333333335,4.5,1.0,0.0,1.0,1.0,False,False
milimani,word_group,angelfishes,mackerel,ulva_salad,3,4,2.3333333333333335,2.75,4.5,0.7110254070787286,-0.25,1.0,1.0,False,False
milimani,word_group,angelfishes,sargassum,ulva_gutweed,3,3,2.6666666666666665,2.3333333333333335,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
milimani,word_group,angelfishes,sargassum,ulva_salad,3,4,2.6666666666666665,2.75,5.5,1.0,-0.08333333333333333,1.0,1.0,False,False
milimani,word_group,angelfishes,ulva_gutweed,ulva_salad,3,4,2.3333333333333335,2.75,5.0,0.853041076171313,-0.16666666666666666,1.0,1.0,False,False
milimani,word_group,blennies,control,fischmix,3,1,1.3333333333333333,0.0,3.0,0.3457785861511603,1.0,1.0,0.8644464653779007,False,False
milimani,word_group,blennies,control,mackerel,3,3,1.3333333333333333,1.3333333333333333,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
milimani,word_group,blennies,control,sargassum,3,3,1.3333333333333333,0.6666666666666666,7.0,0.3016995824783478,0.5555555555555556,1.0,0.8644464653779007,False,False
milimani,word_group,blennies,control,ulva_gutweed,3,3,1.3333333333333333,0.3333333333333333,8.0,0.15729920705028502,0.7777777777777778,1.0,0.7864960352514251,False,False
milimani,word_group,blennies,control,ulva_salad,3,4,1.3333333333333333,1.75,3.5,0.4142161782425252,-0.4166666666666667,1.0,0.869116211228096,False,False
milimani,word_group,blennies,fischmix,mackerel,1,3,0.0,1.3333333333333333,0.5,0.6373518882339371,-0.6666666666666666,1.0,0.869116211228096,False,False
milimani,word_group,blennies,fischmix,sargassum,1,3,0.0,0.6666666666666666,0.5,0.6170750774519738,-0.6666666666666666,1.0,0.869116211228096,False,False
