site,feature_type,feature,n_fish,n_algae,mean_fish,mean_algae,median_fish,median_algae,u_stat,p_value,cliffs_delta_fish_minus_algae,higher_side,p_value_holm,p_value_bh,significant_holm,significant_bh
nursery,composite_group,herbivore_core_families,4,6,7.75,25.5,8.5,23.0,0.0,0.013632489904161065,-1.0,algae,0.23175232837073811,0.0841195473838652,False,False
nursery,composite_group,invertivore_general,4,6,4.0,11.333333333333334,3.0,10.0,1.0,0.02258075978231052,-0.9166666666666666,algae,0.36129215651696833,0.0841195473838652,False,False
nursery,composite_group,invertivore_benthic_core,4,6,4.0,11.333333333333334,3.0,10.0,1.0,0.02258075978231052,-0.9166666666666666,algae,0.36129215651696833,0.0841195473838652,False,False
nursery,composite_group,algae_oriented_diet_mode,4,6,12.5,25.5,12.0,23.0,1.0,0.024741043348195647,-0.9166666666666666,algae,0.36129215651696833,0.0841195473838652,False,False
nursery,composite_group,herbivore_extended_with_damselfishes,4,6,12.5,25.5,12.0,23.0,1.0,0.024741043348195647,-0.9166666666666666,algae,0.36129215651696833,0.0841195473838652,False,False
nursery,composite_group,planktivore_core,4,6,2.25,6.333333333333333,1.0,7.0,4.0,0.10441900560441834,-0.6666666666666666,algae,1.0,0.21514391517855663,False,False
nursery,composite_group,invertebrate_oriented_diet_mode,4,6,15.25,27.0,13.0,20.5,5.0,0.16452181748948447,-0.5833333333333334,algae,1.0,0.21514391517855663,False,False
nursery,composite_group,fish_oriented_diet_mode,4,6,15.25,27.0,13.0,20.5,5.0,0.16452181748948447,-0.5833333333333334,algae,1.0,0.21514391517855663,False,False
nursery,composite_group,snappers_groupers_combo,4,6,15.25,27.0,13.0,20.5,5.0,0.16452181748948447,-0.5833333333333334,algae,1.0,0.21514391517855663,False,False
nursery,composite_group,nocturnal_predator_mixture,4,6,15.25,27.0,13.0,20.5,5.0,0.16452181748948447,-0.5833333333333334,algae,1.0,0.21514391517855663,False,False
nursery,composite_group,piscivore_core_families,4,6,15.25,27.0,13.0,20.5,5.0,0.16452181748948447,-0.5833333333333334,algae,1.0,0.21514391517855663,False,False
nursery,composite_group,piscivore_active_hunters,4,6,15.25,27.0,13.0,20.5,5.0,0.16452181748948447,-0.5833333333333334,algae,1.0,0.21514391517855663,False,False
nursery,composite_group,predator_reef_core,4,6,15.25,27.0,13.0,20.5,5.0,0.16452181748948447,-0.5833333333333334,algae,1.0,0.21514391517855663,False,False
nursery,composite_group,omnivore_box_puffer_file,4,6,1.25,1.0,1.5,1.0,14.5,0.6434288435636205,0.20833333333333334,fish,1.0,0.7476367448647483,False,False
nursery,composite_group,wrasses_trigger_combo,4,6,4.5,2.8333333333333335,3.0,2.5,14.0,0.7445914305172062,0.16666666666666666,fish,1.0,0.7476367448647483,False,False
nursery,composite_group,bioeroder_set,4,6,7.75,8.5,8.5,7.0,10.0,0.7453630787479556,-0.16666666666666666,algae,1.0,0.7476367448647483,False,False
nursery,composite_group,plankton_oriented_diet_mode,4,6,11.25,8.5,10.0,8.5,14.0,0.7476367448647483,0.16666666666666666,fish,1.0,0.7476367448647483,False,False
