site,feature_type,feature,bait_a,bait_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,cliffs_delta,p_value_holm_within_feature,p_value_bh_within_feature,significant_holm_within_feature,significant_bh_within_feature
nursery,composite_group,algae_oriented_diet_mode,algae_strings,algaemix,3,3,20.0,31.0,2.0,0.37582508748869836,-0.5555555555555556,1.0,0.5637376312330475,False,False
nursery,composite_group,algae_oriented_diet_mode,algae_strings,control,3,1,20.0,8.0,3.0,0.3457785861511603,1.0,1.0,0.5637376312330475,False,False
nursery,composite_group,algae_oriented_diet_mode,algae_strings,mackerel,3,4,20.0,12.5,11.0,0.10840829998146513,0.8333333333333334,0.5420414999073256,0.3252248999443954,False,False
nursery,composite_group,algae_oriented_diet_mode,algaemix,control,3,1,31.0,8.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,composite_group,algae_oriented_diet_mode,algaemix,mackerel,3,4,31.0,12.5,12.0,0.05714285714285714,1.0,0.34285714285714286,0.3252248999443954,False,False
nursery,composite_group,algae_oriented_diet_mode,control,mackerel,1,4,8.0,12.5,1.0,0.8,-0.5,1.0,0.8000000000000002,False,False
nursery,composite_group,bioeroder_set,algae_strings,algaemix,3,3,11.0,6.0,7.5,0.26828588367711736,0.6666666666666666,1.0,0.5601744216229949,False,False
nursery,composite_group,bioeroder_set,algae_strings,control,3,1,11.0,1.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,composite_group,bioeroder_set,algae_strings,mackerel,3,4,11.0,7.75,9.5,0.28008721081149746,0.5833333333333334,1.0,0.5601744216229949,False,False
nursery,composite_group,bioeroder_set,algaemix,control,3,1,6.0,1.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,composite_group,bioeroder_set,algaemix,mackerel,3,4,6.0,7.75,4.5,0.7188163610152827,-0.25,1.0,0.7188163610152826,False,False
nursery,composite_group,bioeroder_set,control,mackerel,1,4,1.0,7.75,0.0,0.27650048008343264,-1.0,1.0,0.5601744216229949,False,False
nursery,composite_group,fish_oriented_diet_mode,algae_strings,algaemix,3,3,18.0,36.0,1.5,0.26828588367711736,-0.6666666666666666,1.0,0.75,False,False
nursery,composite_group,fish_oriented_diet_mode,algae_strings,control,3,1,18.0,6.0,3.0,0.5,1.0,1.0,0.75,False,False
nursery,composite_group,fish_oriented_diet_mode,algae_strings,mackerel,3,4,18.0,15.25,8.0,0.6285714285714286,0.3333333333333333,1.0,0.7542857142857142,False,False
nursery,composite_group,fish_oriented_diet_mode,algaemix,control,3,1,36.0,6.0,3.0,0.5,1.0,1.0,0.75,False,False
nursery,composite_group,fish_oriented_diet_mode,algaemix,mackerel,3,4,36.0,15.25,11.0,0.11428571428571428,0.8333333333333334,0.6857142857142857,0.6857142857142857,False,False
nursery,composite_group,fish_oriented_diet_mode,control,mackerel,1,4,6.0,15.25,1.0,0.8,-0.5,1.0,0.8000000000000002,False,False
nursery,composite_group,herbivore_core_families,algae_strings,algaemix,3,3,20.0,31.0,2.0,0.37582508748869836,-0.5555555555555556,1.0,0.5637376312330475,False,False
nursery,composite_group,herbivore_core_families,algae_strings,control,3,1,20.0,8.0,3.0,0.3457785861511603,1.0,1.0,0.5637376312330475,False,False
nursery,composite_group,herbivore_core_families,algae_strings,mackerel,3,4,20.0,7.75,12.0,0.04767810313602185,1.0,0.2860686188161311,0.149237972164509,False,False
nursery,composite_group,herbivore_core_families,algaemix,control,3,1,31.0,8.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,composite_group,herbivore_core_families,algaemix,mackerel,3,4,31.0,7.75,12.0,0.04974599072150299,1.0,0.2860686188161311,0.149237972164509,False,False
nursery,composite_group,herbivore_core_families,control,mackerel,1,4,8.0,7.75,2.0,1.0,0.0,1.0,1.0,False,False
nursery,composite_group,herbivore_extended_with_damselfishes,algae_strings,algaemix,3,3,20.0,31.0,2.0,0.37582508748869836,-0.5555555555555556,1.0,0.5637376312330475,False,False
nursery,composite_group,herbivore_extended_with_damselfishes,algae_strings,control,3,1,20.0,8.0,3.0,0.3457785861511603,1.0,1.0,0.5637376312330475,False,False
nursery,composite_group,herbivore_extended_with_damselfishes,algae_strings,mackerel,3,4,20.0,12.5,11.0,0.10840829998146513,0.8333333333333334,0.5420414999073256,0.3252248999443954,False,False
