site,feature_type,feature,bait_a,bait_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,cliffs_delta,p_value_holm_within_feature,p_value_bh_within_feature,significant_holm_within_feature,significant_bh_within_feature
nursery,diet,algae,algae_strings,algaemix,3,3,20.0,31.0,2.0,0.37582508748869836,-0.5555555555555556,1.0,0.5637376312330475,False,False
nursery,diet,algae,algae_strings,control,3,1,20.0,8.0,3.0,0.3457785861511603,1.0,1.0,0.5637376312330475,False,False
nursery,diet,algae,algae_strings,mackerel,3,4,20.0,12.5,11.0,0.10840829998146513,0.8333333333333334,0.5420414999073256,0.3252248999443954,False,False
nursery,diet,algae,algaemix,control,3,1,31.0,8.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,diet,algae,algaemix,mackerel,3,4,31.0,12.5,12.0,0.05714285714285714,1.0,0.34285714285714286,0.3252248999443954,False,False
nursery,diet,algae,control,mackerel,1,4,8.0,12.5,1.0,0.8,-0.5,1.0,0.8000000000000002,False,False
nursery,diet,fish,algae_strings,algaemix,3,3,18.0,36.0,1.5,0.26828588367711736,-0.6666666666666666,1.0,0.75,False,False
nursery,diet,fish,algae_strings,control,3,1,18.0,6.0,3.0,0.5,1.0,1.0,0.75,False,False
nursery,diet,fish,algae_strings,mackerel,3,4,18.0,15.25,8.0,0.6285714285714286,0.3333333333333333,1.0,0.7542857142857142,False,False
nursery,diet,fish,algaemix,control,3,1,36.0,6.0,3.0,0.5,1.0,1.0,0.75,False,False
nursery,diet,fish,algaemix,mackerel,3,4,36.0,15.25,11.0,0.11428571428571428,0.8333333333333334,0.6857142857142857,0.6857142857142857,False,False
nursery,diet,fish,control,mackerel,1,4,6.0,15.25,1.0,0.8,-0.5,1.0,0.8000000000000002,False,False
nursery,diet,invertebrates,algae_strings,algaemix,3,3,18.0,36.0,1.5,0.26828588367711736,-0.6666666666666666,1.0,0.6,False,False
nursery,diet,invertebrates,algae_strings,control,3,1,18.0,2.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,diet,invertebrates,algae_strings,mackerel,3,4,18.0,15.25,8.0,0.6285714285714286,0.3333333333333333,1.0,0.6285714285714286,False,False
nursery,diet,invertebrates,algaemix,control,3,1,36.0,2.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,diet,invertebrates,algaemix,mackerel,3,4,36.0,15.25,11.0,0.11428571428571428,0.8333333333333334,0.6857142857142857,0.6,False,False
nursery,diet,invertebrates,control,mackerel,1,4,2.0,15.25,0.0,0.4,-1.0,1.0,0.6,False,False
nursery,diet,plankton,algae_strings,algaemix,3,3,8.666666666666666,8.333333333333334,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
nursery,diet,plankton,algae_strings,control,3,1,8.666666666666666,2.0,3.0,0.5,1.0,1.0,1.0,False,False
nursery,diet,plankton,algae_strings,mackerel,3,4,8.666666666666666,11.25,5.5,1.0,-0.08333333333333333,1.0,1.0,False,False
nursery,diet,plankton,algaemix,control,3,1,8.333333333333334,2.0,3.0,0.5,1.0,1.0,1.0,False,False
nursery,diet,plankton,algaemix,mackerel,3,4,8.333333333333334,11.25,4.5,0.7212766990291557,-0.25,1.0,1.0,False,False
nursery,diet,plankton,control,mackerel,1,4,2.0,11.25,0.0,0.4,-1.0,1.0,1.0,False,False
