filename,site,bait,bait_type,algae,fish,invertebrates,plankton
20240106-nursery-mackerel.csv,nursery,mackerel,fish,6.0,5.0,5.0,5.0
20240108-nursery-control.csv,nursery,control,control,8.0,6.0,2.0,2.0
20240223-nursery-mackerel.csv,nursery,mackerel,fish,13.0,18.0,18.0,13.0
20241126-nursery-mackerel.csv,nursery,mackerel,fish,20.0,30.0,30.0,20.0
20241204-nursery-algae_strings.csv,nursery,algae_strings,algae,23.0,21.0,21.0,10.0
20241205-nursery-algae_strings.csv,nursery,algae_strings,algae,14.0,13.0,13.0,9.0
20241206-nursery-algae_strings.csv,nursery,algae_strings,algae,23.0,20.0,20.0,7.0
20241208-nursery-algaemix.csv,nursery,algaemix,algae,40.0,43.0,43.0,13.0
20241209-nursery-algaemix.csv,nursery,algaemix,algae,32.0,45.0,45.0,8.0
20241210-nursery-algaemix.csv,nursery,algaemix,algae,21.0,20.0,20.0,4.0
20251212-nursery-mackerel.csv,nursery,mackerel,fish,11.0,8.0,8.0,7.0
