site,feature_type,feature,n_fish,n_algae,mean_fish,mean_algae,median_fish,median_algae,u_stat,p_value,cliffs_delta_fish_minus_algae,higher_side,p_value_holm,p_value_bh,significant_holm,significant_bh
nursery,family,nemipteridae,4,6,2.0,11.333333333333334,1.0,10.0,0.0,0.013345792583692584,-1.0,algae,0.32029902200862204,0.16706295993772768,False,False
nursery,family,acanthuridae,4,6,5.5,25.5,4.5,23.0,0.0,0.013921913328143975,-1.0,algae,0.32029902200862204,0.16706295993772768,False,False
nursery,family,muraenidae,4,6,0.0,1.1666666666666667,0.0,1.0,2.0,0.027890529120246504,-0.8333333333333334,algae,0.6135916406454232,0.22312423296197204,False,False
nursery,family,pinguipedidae,4,6,2.25,0.5,2.0,0.5,21.0,0.04995152987720942,0.75,fish,1.0,0.2997091792632565,False,False
nursery,family,blenniidae,4,6,0.75,0.0,0.5,0.0,18.0,0.09420988683387367,0.5,fish,1.0,0.38970129721773894,False,False
nursery,family,caesionidae,4,6,2.25,6.333333333333333,1.0,7.0,4.0,0.10441900560441834,-0.6666666666666666,algae,1.0,0.38970129721773894,False,False
nursery,family,balistidae,4,6,1.0,2.8333333333333335,1.0,2.5,4.5,0.12239804644933015,-0.625,algae,1.0,0.38970129721773894,False,False
nursery,family,labridae,4,6,4.5,1.3333333333333333,3.0,1.0,19.0,0.13384426438062583,0.5833333333333334,fish,1.0,0.38970129721773894,False,False
nursery,family,lethrinidae,4,6,1.5,0.5,2.0,0.0,18.5,0.15729920705028502,0.5416666666666666,fish,1.0,0.38970129721773894,False,False
nursery,family,lutjanidae,4,6,15.25,27.0,13.0,20.5,5.0,0.16452181748948447,-0.5833333333333334,algae,1.0,0.38970129721773894,False,False
nursery,family,siganidae,4,6,1.75,4.166666666666667,1.0,4.0,5.5,0.1840386271964254,-0.5416666666666666,algae,1.0,0.38970129721773894,False,False
nursery,family,serranidae,4,6,1.25,0.3333333333333333,1.0,0.0,18.0,0.19485064860886947,0.5,fish,1.0,0.38970129721773894,False,False
nursery,family,zanclidae,4,6,2.25,2.8333333333333335,0.5,2.0,7.0,0.3284020708731862,-0.4166666666666667,algae,1.0,0.6062807462274207,False,False
nursery,family,mullidae,4,6,3.75,5.0,3.0,5.0,7.5,0.3908820638257585,-0.375,algae,1.0,0.6700835379870147,False,False
nursery,family,pomacentridae,4,6,11.25,7.5,10.0,7.0,16.0,0.45279320612018226,0.3333333333333333,fish,1.0,0.6963214691565474,False,False
nursery,family,aulostomidae,4,6,0.25,0.6666666666666666,0.0,0.5,8.5,0.46421431277103153,-0.2916666666666667,algae,1.0,0.6963214691565474,False,False
nursery,family,tetraodontidae,4,6,1.25,0.8333333333333334,1.5,1.0,15.5,0.4980057317354828,0.2916666666666667,fish,1.0,0.7030669153912698,False,False
nursery,family,monacanthidae,4,6,0.25,0.5,0.0,0.5,9.0,0.5319710580974011,-0.25,algae,1.0,0.7092947441298681,False,False
nursery,family,carangidae,4,6,3.5,1.5,3.5,1.5,13.5,0.8236404621038199,0.125,fish,1.0,1.0,False,False
nursery,family,diodontidae,4,6,0.25,0.3333333333333333,0.0,0.0,11.0,0.8936946693232326,-0.08333333333333333,algae,1.0,1.0,False,False
nursery,family,fistulariidae,4,6,1.75,1.3333333333333333,0.5,1.0,11.0,0.9112733306055524,-0.08333333333333333,fish,1.0,1.0,False,False
nursery,family,chaetodontidae,4,6,3.75,4.833333333333333,4.5,3.5,11.5,1.0,-0.041666666666666664,algae,1.0,1.0,False,False
nursery,family,scaridae,4,6,7.75,7.833333333333333,8.5,7.0,11.5,1.0,-0.041666666666666664,algae,1.0,1.0,False,False
nursery,family,pomacanthidae,4,6,0.75,0.6666666666666666,0.5,0.5,12.5,1.0,0.041666666666666664,fish,1.0,1.0,False,False
