site,feature_type,feature,n_total,n_baits,h_stat,p_value,eta_sq,dominant_bait,weakest_bait,mean_diff_max_minus_min,p_value_holm,p_value_bh,significant_holm,significant_bh
nursery,family,nemipteridae,11,4,8.586789554531489,0.03532043469093436,0.7981127935044984,algaemix,control,13.0,0.8476904325824247,0.4838206093917487,False,False
nursery,family,acanthuridae,11,4,8.028919330289193,0.04541779601801822,0.7184170471841705,algaemix,mackerel,25.5,1.0,0.4838206093917487,False,False
nursery,family,balistidae,11,4,6.848827470686768,0.07687546971555657,0.5498324958123953,algaemix,control,3.333333333333333,1.0,0.4838206093917487,False,False
nursery,family,muraenidae,11,4,6.740740740740741,0.08063676823195812,0.5343915343915345,algae_strings,control,1.3333333333333333,1.0,0.4838206093917487,False,False
nursery,family,pinguipedidae,11,4,5.705782312925165,0.12683571223570292,0.3865403304178807,mackerel,algae_strings,1.9166666666666667,1.0,0.4923026371243137,False,False
nursery,family,lutjanidae,11,4,5.608828006088283,0.13227246932982287,0.37268971515546895,algaemix,control,35.0,1.0,0.4923026371243137,False,False
nursery,family,scaridae,11,4,5.418613707165111,0.14358826916125816,0.34551624388073016,algae_strings,control,10.0,1.0,0.4923026371243137,False,False
nursery,family,blenniidae,11,4,4.93518518518519,0.17660519338548056,0.27645502645502706,control,algae_strings,1.0,1.0,0.5195956678909213,False,False
nursery,family,serranidae,11,4,4.702380952380954,0.19493327509887437,0.2431972789115649,mackerel,algae_strings,1.25,1.0,0.5195956678909213,False,False
nursery,family,siganidae,11,4,4.453252032520331,0.2164981949545505,0.2076074332171902,algaemix,control,5.0,1.0,0.5195956678909213,False,False
nursery,family,caesionidae,11,4,3.9875389408099724,0.26281284687036843,0.14107699154428177,algae_strings,control,6.0,1.0,0.5734098477171675,False,False
nursery,family,lethrinidae,11,4,3.666666666666667,0.2997805885957126,0.09523809523809527,control,algaemix,1.6666666666666667,1.0,0.5849554388184047,False,False
nursery,family,labridae,11,4,3.349447513812157,0.3408195543317189,0.049921073401736696,mackerel,control,3.5,1.0,0.5849554388184047,False,False
nursery,family,pomacentridae,11,4,3.1957186544342484,0.36242235229076153,0.0279598077763212,mackerel,control,9.25,1.0,0.5849554388184047,False,False
nursery,family,zanclidae,11,4,3.1595576619273382,0.36767270979886185,0.02279395170390546,algaemix,control,4.0,1.0,0.5849554388184047,False,False
nursery,family,mullidae,11,4,3.010752688172049,0.38997029254560317,0.0015360983102927456,algae_strings,control,3.666666666666667,1.0,0.5849554388184047,False,False
nursery,family,monacanthidae,11,4,2.3611111111111143,0.5009148271792812,0.0,control,mackerel,0.75,1.0,0.6205068184409673,False,False
nursery,family,aulostomidae,11,4,2.3229166666666643,0.5081449038469021,0.0,algaemix,control,1.0,1.0,0.6205068184409673,False,False
nursery,family,tetraodontidae,11,4,2.293792517006798,0.5137111389120501,0.0,control,algae_strings,1.3333333333333335,1.0,0.6205068184409673,False,False
nursery,family,chaetodontidae,11,4,2.2762345679012412,0.5170890153674728,0.0,algaemix,control,4.0,1.0,0.6205068184409673,False,False
nursery,family,carangidae,11,4,1.747967479674793,0.6263227039728072,0.0,control,algaemix,4.666666666666667,1.0,0.7157973759689226,False,False
nursery,family,fistulariidae,11,4,1.496598639455785,0.6830555848153854,0.0,algaemix,control,2.0,1.0,0.7451515470713296,False,False
nursery,family,pomacanthidae,11,4,0.8495370370370373,0.8375853554350028,0.0,mackerel,control,0.75,1.0,0.8740021100191333,False,False
nursery,family,diodontidae,11,4,0.451388888888881,0.929433639001757,0.0,algae_strings,control,0.3333333333333333,1.0,0.9294336390017571,False,False
