site,feature_type,feature,n_fish,n_algae,mean_fish,mean_algae,median_fish,median_algae,u_stat,p_value,cliffs_delta_fish_minus_algae,higher_side,p_value_holm,p_value_bh,significant_holm,significant_bh
nursery,genus,zebrasoma,4,6,0.5,3.3333333333333335,0.5,3.5,0.0,0.012226738434456236,-1.0,algae,0.4401625836404245,0.15202913221903636,False,False
nursery,genus,scolopsis,4,6,2.0,11.333333333333334,1.0,10.0,0.0,0.013345792583692584,-1.0,algae,0.46710274042924044,0.15202913221903636,False,False
nursery,genus,naso,4,6,3.25,25.5,1.5,23.0,0.0,0.013921913328143975,-1.0,algae,0.4733450531568951,0.15202913221903636,False,False
nursery,genus,scarus,4,6,0.25,3.0,0.0,3.0,0.5,0.01689212580211515,-0.9583333333333334,algae,0.5574401514698,0.15202913221903636,False,False
nursery,genus,monotaxis,4,6,1.25,0.0,1.5,0.0,21.0,0.025094384904137543,0.75,fish,0.8030203169324014,0.167343174721479,False,False
nursery,genus,gymnothorax,4,6,0.0,1.1666666666666667,0.0,1.0,2.0,0.027890529120246504,-0.8333333333333334,algae,0.8646064027276417,0.167343174721479,False,False
nursery,genus,parapercis,4,6,2.25,0.5,2.0,0.5,21.0,0.04995152987720942,0.75,fish,1.0,0.2148998512971864,False,False
nursery,genus,thalassoma,4,6,4.5,1.0,3.0,1.0,20.5,0.06788915486182899,0.7083333333333334,fish,1.0,0.2148998512971864,False,False
nursery,genus,canthigaster,4,6,1.25,0.16666666666666666,1.5,0.0,20.0,0.06945310280353438,0.6666666666666666,fish,1.0,0.2148998512971864,False,False
nursery,genus,caranx,4,6,3.5,0.16666666666666666,3.5,0.0,20.0,0.07054262201250476,0.6666666666666666,fish,1.0,0.2148998512971864,False,False
nursery,genus,mulloidichthys,4,6,0.0,3.0,0.0,3.5,4.0,0.0716332837657288,-0.6666666666666666,algae,1.0,0.2148998512971864,False,False
nursery,genus,genus siganus,4,6,0.0,2.1666666666666665,0.0,1.5,4.0,0.0716332837657288,-0.6666666666666666,algae,1.0,0.2148998512971864,False,False
nursery,genus,cheilinus,4,6,0.25,1.0,0.0,1.0,4.5,0.09896015401940574,-0.625,algae,1.0,0.2678465798497004,False,False
nursery,genus,labroides,4,6,0.75,0.16666666666666666,1.0,0.0,19.0,0.10416255883043905,0.5833333333333334,fish,1.0,0.2678465798497004,False,False
nursery,genus,sufflamen,4,6,0.0,0.5,0.0,0.5,6.0,0.14157886335524383,-0.5,algae,1.0,0.294464510727331,False,False
nursery,genus,chlorurus,4,6,0.0,1.0,0.0,0.5,6.0,0.1472322553636655,-0.5,algae,1.0,0.294464510727331,False,False
nursery,genus,arothron,4,6,0.0,0.6666666666666666,0.0,0.5,6.0,0.1472322553636655,-0.5,algae,1.0,0.294464510727331,False,False
nursery,genus,aulostomus,4,6,0.0,0.6666666666666666,0.0,0.5,6.0,0.1472322553636655,-0.5,algae,1.0,0.294464510727331,False,False
nursery,genus,lutjanus,4,6,15.25,27.0,13.0,20.5,5.0,0.16452181748948447,-0.5833333333333334,algae,1.0,0.31172554892744425,False,False
nursery,genus,chromis,4,6,0.25,1.3333333333333333,0.0,1.0,6.0,0.20462644184356282,-0.5,algae,1.0,0.3683275953184131,False,False
nursery,genus,lethrinus,4,6,1.25,0.5,1.5,0.0,17.5,0.24715997321190708,0.4583333333333333,fish,1.0,0.4126574084690921,False,False
nursery,genus,siganus,4,6,1.75,3.6666666666666665,1.0,4.0,6.5,0.2521795273977785,-0.4583333333333333,algae,1.0,0.4126574084690921,False,False
nursery,genus,zanclus,4,6,2.25,2.8333333333333335,0.5,2.0,7.0,0.3284020708731862,-0.4166666666666667,algae,1.0,0.514020632671074,False,False
nursery,genus,ctenochaetus,4,6,2.75,1.5,3.0,2.0,16.5,0.372682124090149,0.375,fish,1.0,0.5590231861352235,False,False
nursery,genus,parupeneus,4,6,3.5,4.166666666666667,2.5,4.5,8.5,0.5173091896977361,-0.2916666666666667,algae,1.0,0.6946603387809683,False,False
nursery,genus,coris,4,6,0.25,0.5,0.0,0.5,9.0,0.5319710580974011,-0.25,algae,1.0,0.6946603387809683,False,False
nursery,genus,aluterus,4,6,0.25,0.5,0.0,0.5,9.0,0.5319710580974011,-0.25,algae,1.0,0.6946603387809683,False,False
nursery,genus,macolor,4,6,1.0,0.8333333333333334,1.0,1.0,14.0,0.5402913746074198,0.16666666666666666,fish,1.0,0.6946603387809683,False,False
nursery,genus,dascyllus,4,6,10.5,7.5,10.0,7.0,14.5,0.6688699420790933,0.20833333333333334,fish,1.0,0.822606974717569,False,False
nursery,genus,acanthurus,4,6,2.0,2.3333333333333335,2.0,2.0,10.0,0.693974373462473,-0.16666666666666666,algae,1.0,0.822606974717569,False,False
nursery,genus,pomacanthus,4,6,0.75,0.5,0.5,0.0,14.0,0.7165360195361465,0.16666666666666666,fish,1.0,0.822606974717569,False,False
nursery,genus,balistoides,4,6,1.0,1.5,1.0,1.0,10.0,0.7312061997489503,-0.16666666666666666,algae,1.0,0.822606974717569,False,False
nursery,genus,abudefduf,4,6,1.5,2.0,1.5,1.5,10.5,0.8275285827009192,-0.125,algae,1.0,0.9027584538555483,False,False
