site,feature_type,feature,n_total,n_baits,h_stat,p_value,eta_sq,dominant_bait,weakest_bait,mean_diff_max_minus_min,p_value_holm,p_value_bh,significant_holm,significant_bh
nursery,genus,chlorurus,11,4,9.666666666666668,0.021622837607703317,0.9523809523809526,algae_strings,algaemix,2.0,0.7784221538773194,0.3557423051370223,False,False
nursery,genus,scarus,11,4,8.613782051282048,0.03489200089964974,0.801968864468864,algae_strings,control,4.0,1.0,0.3557423051370223,False,False
nursery,genus,scolopsis,11,4,8.586789554531489,0.03532043469093436,0.7981127935044984,algaemix,control,13.0,1.0,0.3557423051370223,False,False
nursery,genus,naso,11,4,8.209097859327215,0.04188228056934278,0.7441568370467451,algaemix,control,31.0,1.0,0.3557423051370223,False,False
nursery,genus,zebrasoma,11,4,7.841269841269848,0.0494086534912531,0.691609977324264,algae_strings,mackerel,3.1666666666666665,1.0,0.3557423051370223,False,False
nursery,genus,monotaxis,11,4,7.0000000000000036,0.07189777249646499,0.571428571428572,control,algae_strings,2.0,1.0,0.39224869088438263,False,False
nursery,genus,gymnothorax,11,4,6.740740740740741,0.08063676823195812,0.5343915343915345,algae_strings,control,1.3333333333333333,1.0,0.39224869088438263,False,False
nursery,genus,mulloidichthys,11,4,6.50406504065041,0.08950232661948546,0.5005807200929157,algaemix,control,4.333333333333333,1.0,0.39224869088438263,False,False
nursery,genus,chromis,11,4,6.296052631578947,0.09806217272109566,0.47086466165413526,algae_strings,mackerel,2.0833333333333335,1.0,0.39224869088438263,False,False
nursery,genus,parapercis,11,4,5.705782312925165,0.12683571223570292,0.3865403304178807,mackerel,algae_strings,1.9166666666666667,1.0,0.41356029594820354,False,False
nursery,genus,lutjanus,11,4,5.608828006088283,0.13227246932982287,0.37268971515546895,algaemix,control,35.0,1.0,0.41356029594820354,False,False
nursery,genus,genus chromis,11,4,5.4776422764227615,0.13998198904734724,0.35394889663182305,algaemix,control,3.3333333333333335,1.0,0.41356029594820354,False,False
nursery,genus,thalassoma,11,4,5.289855072463765,0.15176203627807797,0.32712215320910926,mackerel,algae_strings,3.8333333333333335,1.0,0.41356029594820354,False,False
nursery,genus,cheilinus,11,4,5.019047619047619,0.1704076856304709,0.28843537414965986,algae_strings,mackerel,1.0833333333333333,1.0,0.41356029594820354,False,False
nursery,genus,canthigaster,11,4,4.853395061728401,0.18285247121545212,0.2647707231040573,mackerel,algae_strings,1.25,1.0,0.41356029594820354,False,False
nursery,genus,caranx,11,4,4.841160220994476,0.18380457597697936,0.2630228887134966,mackerel,algae_strings,3.5,1.0,0.41356029594820354,False,False
nursery,genus,genus siganus,11,4,4.471544715447157,0.21484252065971807,0.2102206736353082,algaemix,control,2.6666666666666665,1.0,0.4364109988487911,False,False
nursery,genus,labroides,11,4,4.434523809523807,0.21820549942439554,0.20493197278911524,mackerel,algae_strings,0.75,1.0,0.4364109988487911,False,False
nursery,genus,aulostomus,11,4,4.098765432098766,0.25099485023924584,0.1569664902998237,algaemix,control,1.0,1.0,0.45814684025371033,False,False
nursery,genus,acanthurus,11,4,4.065040650406514,0.2545260223631724,0.15214866434378774,control,algaemix,6.0,1.0,0.45814684025371033,False,False
nursery,genus,sufflamen,11,4,3.888888888888893,0.27371478158358803,0.12698412698412756,algae_strings,control,0.6666666666666666,1.0,0.46922533985757947,False,False
nursery,genus,siganus,11,4,3.604700854700863,0.30743449353208857,0.0863858363858376,algaemix,control,4.0,1.0,0.4857039474475552,False,False
nursery,genus,parupeneus,11,4,3.5817683881064175,0.3103108553137158,0.08310976972948822,algae_strings,control,3.666666666666667,1.0,0.4857039474475552,False,False
nursery,genus,arothron,11,4,3.3580246913580276,0.3396479945026112,0.051146384479718233,algae_strings,control,0.6666666666666666,1.0,0.5094719917539168,False,False
nursery,genus,zanclus,11,4,3.1595576619273382,0.36767270979886185,0.02279395170390546,algaemix,control,4.0,1.0,0.529448702110361,False,False
nursery,genus,dascyllus,11,4,2.84436834094368,0.4162480822693543,0.0,mackerel,control,9.5,1.0,0.5763434985267982,False,False
nursery,genus,macolor,11,4,2.666666666666657,0.44592169836312434,0.0,algae_strings,algaemix,0.33333333333333337,1.0,0.5797022585222503,False,False
nursery,genus,ctenochaetus,11,4,2.6016260162601603,0.45720455653362047,0.0,control,algae_strings,2.666666666666667,1.0,0.5797022585222503,False,False
nursery,genus,lethrinus,11,4,2.5462962962962905,0.4669823749207017,0.0,mackerel,control,1.25,1.0,0.5797022585222503,False,False
nursery,genus,chaetodon,11,4,2.2762345679012412,0.5170890153674728,0.0,algaemix,control,4.0,1.0,0.6205068184409673,False,False
nursery,genus,abudefduf,11,4,2.0317460317460374,0.5658439108364997,0.0,algae_strings,control,2.0,1.0,0.6571090577456125,False,False
nursery,genus,coris,11,4,1.815476190476194,0.6115729482343488,0.0,algaemix,control,0.6666666666666666,1.0,0.667170488982926,False,False
nursery,genus,aluterus,11,4,1.815476190476194,0.6115729482343488,0.0,algaemix,control,0.6666666666666666,1.0,0.667170488982926,False,False
nursery,genus,pomacanthus,11,4,0.8744855967078149,0.8315802430265465,0.0,mackerel,control,0.75,1.0,0.880496727910461,False,False
nursery,genus,diodon,11,4,0.451388888888881,0.929433639001757,0.0,algae_strings,control,0.3333333333333333,1.0,0.947514660462822,False,False
nursery,genus,balistoides,11,4,0.36429872495446447,0.9475146604628221,0.0,algaemix,control,0.6666666666666667,1.0,0.947514660462822,False,False
