site,feature_type,feature,bait_a,bait_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,cliffs_delta,p_value_holm_within_feature,p_value_bh_within_feature,significant_holm_within_feature,significant_bh_within_feature
nursery,genus,abudefduf,algae_strings,algaemix,3,3,2.0,2.0,3.5,0.8247780950825133,-0.2222222222222222,1.0,0.989733714099016,False,False
nursery,genus,abudefduf,algae_strings,control,3,1,2.0,0.0,2.5,0.6373518882339371,0.6666666666666666,1.0,0.989733714099016,False,False
nursery,genus,abudefduf,algae_strings,mackerel,3,4,2.0,1.5,6.0,1.0,0.0,1.0,1.0,False,False
nursery,genus,abudefduf,algaemix,control,3,1,2.0,0.0,3.0,0.5,1.0,1.0,0.989733714099016,False,False
nursery,genus,abudefduf,algaemix,mackerel,3,4,2.0,1.5,7.5,0.7162897505408428,0.25,1.0,0.989733714099016,False,False
nursery,genus,abudefduf,control,mackerel,1,4,0.0,1.5,0.5,0.468159909854428,-0.75,1.0,0.989733714099016,False,False
nursery,genus,acanthurus,algae_strings,algaemix,3,3,2.6666666666666665,2.0,6.0,0.5049850750938458,0.3333333333333333,1.0,0.6701425887397869,False,False
nursery,genus,acanthurus,algae_strings,control,3,1,2.6666666666666665,8.0,0.0,0.3457785861511603,-1.0,1.0,0.6701425887397869,False,False
nursery,genus,acanthurus,algae_strings,mackerel,3,4,2.6666666666666665,2.0,8.0,0.5584521572831558,0.3333333333333333,1.0,0.6701425887397869,False,False
nursery,genus,acanthurus,algaemix,control,3,1,2.0,8.0,0.0,0.24821307898992362,-1.0,1.0,0.6701425887397869,False,False
nursery,genus,acanthurus,algaemix,mackerel,3,4,2.0,2.0,6.0,1.0,0.0,1.0,1.0,False,False
nursery,genus,acanthurus,control,mackerel,1,4,8.0,2.0,4.0,0.27650048008343264,1.0,1.0,0.6701425887397869,False,False
nursery,genus,aluterus,algae_strings,algaemix,3,3,0.3333333333333333,0.6666666666666666,3.0,0.6192567541768621,-0.3333333333333333,1.0,1.0,False,False
nursery,genus,aluterus,algae_strings,control,3,1,0.3333333333333333,0.0,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
nursery,genus,aluterus,algae_strings,mackerel,3,4,0.3333333333333333,0.25,6.5,1.0,0.08333333333333333,1.0,1.0,False,False
nursery,genus,aluterus,algaemix,control,3,1,0.6666666666666666,0.0,2.5,0.6170750774519738,0.6666666666666666,1.0,1.0,False,False
nursery,genus,aluterus,algaemix,mackerel,3,4,0.6666666666666666,0.25,8.5,0.4142161782425252,0.4166666666666667,1.0,1.0,False,False
nursery,genus,aluterus,control,mackerel,1,4,0.0,0.25,1.5,1.0,-0.25,1.0,1.0,False,False
nursery,genus,arothron,algae_strings,algaemix,3,3,0.6666666666666666,0.6666666666666666,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
nursery,genus,arothron,algae_strings,control,3,1,0.6666666666666666,0.0,2.5,0.6170750774519738,0.6666666666666666,1.0,1.0,False,False
