site,feature_type,feature,bait_a,bait_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,cliffs_delta,p_value_holm_within_feature,p_value_bh_within_feature,significant_holm_within_feature,significant_bh_within_feature
nursery,unspecific,blennies,algae_strings,algaemix,3,3,0.0,0.0,4.5,1.0,0.0,1.0,1.0,False,False
nursery,unspecific,blennies,algae_strings,control,3,1,0.0,1.0,0.0,0.24821307898992362,-1.0,1.0,0.4054340772025479,False,False
nursery,unspecific,blennies,algae_strings,mackerel,3,4,0.0,0.75,3.0,0.2702893848016986,-0.5,1.0,0.4054340772025479,False,False
nursery,unspecific,blennies,algaemix,control,3,1,0.0,1.0,0.0,0.24821307898992362,-1.0,1.0,0.4054340772025479,False,False
nursery,unspecific,blennies,algaemix,mackerel,3,4,0.0,0.75,3.0,0.2702893848016986,-0.5,1.0,0.4054340772025479,False,False
nursery,unspecific,blennies,control,mackerel,1,4,1.0,0.75,2.5,1.0,0.25,1.0,1.0,False,False
nursery,unspecific,disk-shaped/colourful,algae_strings,algaemix,3,3,4.666666666666667,5.0,3.0,0.6579050194284821,-0.3333333333333333,1.0,0.9868575291427232,False,False
nursery,unspecific,disk-shaped/colourful,algae_strings,control,3,1,4.666666666666667,1.0,3.0,0.3457785861511603,1.0,1.0,0.9868575291427232,False,False
nursery,unspecific,disk-shaped/colourful,algae_strings,mackerel,3,4,4.666666666666667,4.0,5.0,0.853041076171313,-0.16666666666666666,1.0,1.0,False,False
nursery,unspecific,disk-shaped/colourful,algaemix,control,3,1,5.0,1.0,3.0,0.5,1.0,1.0,0.9868575291427232,False,False
nursery,unspecific,disk-shaped/colourful,algaemix,mackerel,3,4,5.0,4.0,6.5,1.0,0.08333333333333333,1.0,1.0,False,False
nursery,unspecific,disk-shaped/colourful,control,mackerel,1,4,1.0,4.0,0.0,0.27650048008343264,-1.0,1.0,0.9868575291427232,False,False
nursery,unspecific,eels,algae_strings,algaemix,3,3,1.3333333333333333,1.0,5.5,0.8136637157667919,0.2222222222222222,1.0,0.9763964589201504,False,False
nursery,unspecific,eels,algae_strings,control,3,1,1.3333333333333333,0.0,3.0,0.3457785861511603,1.0,1.0,0.6915571723023207,False,False
nursery,unspecific,eels,algae_strings,mackerel,3,4,1.3333333333333333,0.0,12.0,0.030065283228311607,1.0,0.18039169936986965,0.18039169936986965,False,False
nursery,unspecific,eels,algaemix,control,3,1,1.0,0.0,2.5,0.6373518882339371,0.6666666666666666,1.0,0.9560278323509056,False,False
nursery,unspecific,eels,algaemix,mackerel,3,4,1.0,0.0,10.0,0.12274468232592091,0.6666666666666666,0.6137234116296045,0.36823404697776274,False,False
nursery,unspecific,eels,control,mackerel,1,4,0.0,0.0,2.0,1.0,0.0,1.0,1.0,False,False
nursery,unspecific,elongate sand & burrow dwellers,algae_strings,algaemix,3,3,0.3333333333333333,0.6666666666666666,3.0,0.6192567541768621,-0.3333333333333333,1.0,0.7431081050122346,False,False
nursery,unspecific,elongate sand & burrow dwellers,algae_strings,control,3,1,0.3333333333333333,2.0,0.0,0.3457785861511603,-1.0,1.0,0.5186678792267405,False,False
nursery,unspecific,elongate sand & burrow dwellers,algae_strings,mackerel,3,4,0.3333333333333333,2.25,1.0,0.0954832320975473,-0.8333333333333334,0.5728993925852839,0.5164465344733854,False,False
nursery,unspecific,elongate sand & burrow dwellers,algaemix,control,3,1,0.6666666666666666,2.0,0.0,0.3457785861511603,-1.0,1.0,0.5186678792267405,False,False
nursery,unspecific,elongate sand & burrow dwellers,algaemix,mackerel,3,4,0.6666666666666666,2.25,2.0,0.1721488448244618,-0.6666666666666666,0.860744224122309,0.5164465344733854,False,False
nursery,unspecific,elongate sand & burrow dwellers,control,mackerel,1,4,2.0,2.25,2.0,1.0,0.0,1.0,1.0,False,False
nursery,unspecific,heavy bodies/large lips,algae_strings,algaemix,3,3,0.0,0.6666666666666666,1.5,0.18763232999488433,-0.6666666666666666,0.9381616499744216,0.562896989984653,False,False
nursery,unspecific,heavy bodies/large lips,algae_strings,control,3,1,0.0,0.0,1.5,1.0,0.0,1.0,1.0,False,False
nursery,unspecific,heavy bodies/large lips,algae_strings,mackerel,3,4,0.0,1.25,1.5,0.11465264168449484,-0.75,0.687915850106969,0.562896989984653,False,False
nursery,unspecific,heavy bodies/large lips,algaemix,control,3,1,0.6666666666666666,0.0,2.5,0.6170750774519738,0.6666666666666666,1.0,0.8319381810053773,False,False
nursery,unspecific,heavy bodies/large lips,algaemix,mackerel,3,4,0.6666666666666666,1.25,4.5,0.693281817504481,-0.25,1.0,0.8319381810053773,False,False
nursery,unspecific,heavy bodies/large lips,control,mackerel,1,4,0.0,1.25,0.5,0.456056540250256,-0.75,1.0,0.8319381810053773,False,False
nursery,unspecific,large ovals,algae_strings,algaemix,3,3,20.0,31.0,2.0,0.37582508748869836,-0.5555555555555556,1.0,0.5637376312330475,False,False
nursery,unspecific,large ovals,algae_strings,control,3,1,20.0,8.0,3.0,0.3457785861511603,1.0,1.0,0.5637376312330475,False,False
nursery,unspecific,large ovals,algae_strings,mackerel,3,4,20.0,5.5,12.0,0.04974599072150299,1.0,0.298475944329018,0.17142857142857143,False,False
nursery,unspecific,large ovals,algaemix,control,3,1,31.0,8.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,unspecific,large ovals,algaemix,mackerel,3,4,31.0,5.5,12.0,0.05714285714285714,1.0,0.298475944329018,0.17142857142857143,False,False
nursery,unspecific,large ovals,control,mackerel,1,4,8.0,5.5,3.0,0.8,0.5,1.0,0.8000000000000002,False,False
nursery,unspecific,odd-shaped swimmers,algae_strings,algaemix,3,3,5.666666666666667,5.0,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
nursery,unspecific,odd-shaped swimmers,algae_strings,control,3,1,5.666666666666667,2.0,3.0,0.3457785861511603,1.0,1.0,1.0,False,False
nursery,unspecific,odd-shaped swimmers,algae_strings,mackerel,3,4,5.666666666666667,4.5,7.0,0.8571364155923,0.16666666666666666,1.0,1.0,False,False
nursery,unspecific,odd-shaped swimmers,algaemix,control,3,1,5.0,2.0,3.0,0.3457785861511603,1.0,1.0,1.0,False,False
nursery,unspecific,odd-shaped swimmers,algaemix,mackerel,3,4,5.0,4.5,7.0,0.853041076171313,0.16666666666666666,1.0,1.0,False,False
nursery,unspecific,odd-shaped swimmers,control,mackerel,1,4,2.0,4.5,1.0,0.6926327840419602,-0.5,1.0,1.0,False,False
nursery,unspecific,parrotfishes,algae_strings,algaemix,3,3,11.0,4.666666666666667,8.0,0.1840386271964254,0.7777777777777778,1.0,0.42521157475597987,False,False
nursery,unspecific,parrotfishes,algae_strings,control,3,1,11.0,1.0,3.0,0.5,1.0,1.0,0.5,False,False
nursery,unspecific,parrotfishes,algae_strings,mackerel,3,4,11.0,7.75,9.5,0.28008721081149746,0.5833333333333334,1.0,0.42521157475597987,False,False
nursery,unspecific,parrotfishes,algaemix,control,3,1,4.666666666666667,1.0,3.0,0.3457785861511603,1.0,1.0,0.42521157475597987,False,False
nursery,unspecific,parrotfishes,algaemix,mackerel,3,4,4.666666666666667,7.75,3.0,0.35434297896331657,-0.5,1.0,0.42521157475597987,False,False
nursery,unspecific,parrotfishes,control,mackerel,1,4,1.0,7.75,0.0,0.27650048008343264,-1.0,1.0,0.42521157475597987,False,False
nursery,unspecific,silvery,algae_strings,algaemix,3,3,1.6666666666666667,1.3333333333333333,6.0,0.6192567541768621,0.3333333333333333,1.0,1.0,False,False
nursery,unspecific,silvery,algae_strings,control,3,1,1.6666666666666667,1.0,2.5,0.6170750774519738,0.6666666666666666,1.0,1.0,False,False
nursery,unspecific,silvery,algae_strings,mackerel,3,4,1.6666666666666667,3.5,5.5,1.0,-0.08333333333333333,1.0,1.0,False,False
nursery,unspecific,silvery,algaemix,control,3,1,1.3333333333333333,1.0,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
nursery,unspecific,silvery,algaemix,mackerel,3,4,1.3333333333333333,3.5,5.0,0.8544450676295319,-0.16666666666666666,1.0,1.0,False,False
nursery,unspecific,silvery,control,mackerel,1,4,1.0,3.5,1.5,1.0,-0.25,1.0,1.0,False,False
nursery,unspecific,slender schoolers/colourful,algae_strings,algaemix,3,3,7.0,5.666666666666667,5.5,0.8247780950825133,0.2222222222222222,1.0,0.8247780950825133,False,False
nursery,unspecific,slender schoolers/colourful,algae_strings,control,3,1,7.0,0.0,3.0,0.5,1.0,1.0,0.75,False,False
nursery,unspecific,slender schoolers/colourful,algae_strings,mackerel,3,4,7.0,2.25,10.5,0.1498208360668925,0.75,0.898925016401355,0.75,False,False
nursery,unspecific,slender schoolers/colourful,algaemix,control,3,1,5.666666666666667,0.0,3.0,0.5,1.0,1.0,0.75,False,False
nursery,unspecific,slender schoolers/colourful,algaemix,mackerel,3,4,5.666666666666667,2.25,9.5,0.28008721081149746,0.5833333333333334,1.0,0.75,False,False
nursery,unspecific,slender schoolers/colourful,control,mackerel,1,4,0.0,2.25,1.0,0.6926327840419602,-0.5,1.0,0.8247780950825133,False,False
nursery,unspecific,sloping heads,algae_strings,algaemix,3,3,18.0,36.0,1.5,0.26828588367711736,-0.6666666666666666,1.0,0.6,False,False
nursery,unspecific,sloping heads,algae_strings,control,3,1,18.0,2.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,unspecific,sloping heads,algae_strings,mackerel,3,4,18.0,15.25,8.0,0.6285714285714286,0.3333333333333333,1.0,0.6285714285714286,False,False
nursery,unspecific,sloping heads,algaemix,control,3,1,36.0,2.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,unspecific,sloping heads,algaemix,mackerel,3,4,36.0,15.25,11.0,0.11428571428571428,0.8333333333333334,0.6857142857142857,0.6,False,False
nursery,unspecific,sloping heads,control,mackerel,1,4,2.0,15.25,0.0,0.4,-1.0,1.0,0.6,False,False
nursery,unspecific,small ovals - damselfishes,algae_strings,algaemix,3,3,6.666666666666667,8.333333333333334,4.0,1.0,-0.1111111111111111,1.0,1.0,False,False
nursery,unspecific,small ovals - damselfishes,algae_strings,control,3,1,6.666666666666667,2.0,3.0,0.5,1.0,1.0,0.75,False,False
nursery,unspecific,small ovals - damselfishes,algae_strings,mackerel,3,4,6.666666666666667,11.25,3.5,0.4755326595969013,-0.4166666666666667,1.0,0.75,False,False
nursery,unspecific,small ovals - damselfishes,algaemix,control,3,1,8.333333333333334,2.0,3.0,0.5,1.0,1.0,0.75,False,False
nursery,unspecific,small ovals - damselfishes,algaemix,mackerel,3,4,8.333333333333334,11.25,4.5,0.7212766990291557,-0.25,1.0,0.8655320388349867,False,False
nursery,unspecific,small ovals - damselfishes,control,mackerel,1,4,2.0,11.25,0.0,0.4,-1.0,1.0,0.75,False,False
nursery,unspecific,wrasses,algae_strings,algaemix,3,3,1.3333333333333333,1.3333333333333333,4.5,1.0,0.0,1.0,1.0,False,False
nursery,unspecific,wrasses,algae_strings,control,3,1,1.3333333333333333,1.0,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
nursery,unspecific,wrasses,algae_strings,mackerel,3,4,1.3333333333333333,4.5,2.5,0.2663799233424825,-0.5833333333333334,1.0,0.7991397700274475,False,False
nursery,unspecific,wrasses,algaemix,control,3,1,1.3333333333333333,1.0,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
nursery,unspecific,wrasses,algaemix,mackerel,3,4,1.3333333333333333,4.5,2.5,0.2663799233424825,-0.5833333333333334,1.0,0.7991397700274475,False,False
nursery,unspecific,wrasses,control,mackerel,1,4,1.0,4.5,0.5,0.468159909854428,-0.75,1.0,0.936319819708856,False,False
