filename,site,bait,bait_type,blennies,disk-shaped/colourful,eels,elongate sand & burrow dwellers,heavy bodies/large lips,large ovals,odd-shaped swimmers,parrotfishes,silvery,slender schoolers/colourful,sloping heads,small ovals - damselfishes,wrasses
20240106-nursery-mackerel.csv,nursery,mackerel,fish,1.0,2.0,0.0,4.0,0.0,5.0,2.0,6.0,7.0,0.0,5.0,5.0,4.0
20240108-nursery-control.csv,nursery,control,control,1.0,1.0,0.0,2.0,0.0,8.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0
20240223-nursery-mackerel.csv,nursery,mackerel,fish,0.0,5.0,0.0,3.0,3.0,3.0,6.0,3.0,0.0,7.0,18.0,13.0,11.0
20241126-nursery-mackerel.csv,nursery,mackerel,fish,0.0,5.0,0.0,1.0,1.0,10.0,8.0,11.0,1.0,0.0,30.0,20.0,1.0
20241204-nursery-algae_strings.csv,nursery,algae_strings,algae,0.0,2.0,1.0,1.0,0.0,23.0,5.0,13.0,2.0,10.0,21.0,6.0,1.0
20241205-nursery-algae_strings.csv,nursery,algae_strings,algae,0.0,10.0,2.0,0.0,0.0,14.0,7.0,14.0,2.0,4.0,13.0,9.0,2.0
20241206-nursery-algae_strings.csv,nursery,algae_strings,algae,0.0,2.0,1.0,0.0,0.0,23.0,5.0,6.0,1.0,7.0,20.0,5.0,1.0
20241208-nursery-algaemix.csv,nursery,algaemix,algae,0.0,8.0,0.0,1.0,1.0,40.0,6.0,3.0,1.0,9.0,43.0,13.0,1.0
20241209-nursery-algaemix.csv,nursery,algaemix,algae,0.0,3.0,1.0,1.0,1.0,32.0,6.0,3.0,1.0,7.0,45.0,8.0,1.0
20241210-nursery-algaemix.csv,nursery,algaemix,algae,0.0,4.0,2.0,0.0,0.0,21.0,3.0,8.0,2.0,1.0,20.0,4.0,2.0
20251212-nursery-mackerel.csv,nursery,mackerel,fish,2.0,4.0,0.0,1.0,1.0,4.0,2.0,11.0,6.0,2.0,8.0,7.0,2.0
