filename,date,site,bait,bait_type,maxn_by_type
20240106-nursery-mackerel.csv,20240106,nursery,mackerel,fish,"{'family': {'pomacentridae': 5, 'labridae': 4, 'acanthuridae': 5, 'carangidae': 7, 'pinguipedidae': 4, 'lethrinidae': 2, 'lutjanidae': 5, 'chaetodontidae': 1, 'blenniidae': 1, 'tetraodontidae': 2, 'pomacanthidae': 2, 'mullidae': 1, 'scaridae': 6, 'nemipteridae': 2, 'balistidae': 2}, 'genus': {'chromis': 1, 'thalassoma': 4, 'ctenochaetus': 5, 'pomacentrus': 5, 'caranx': 7, 'parapercis': 4, 'lethrinus': 2, 'monotaxis': 2, 'labroides': 1, 'macolor': 1, 'zebrasoma': 1, 'lutjanus': 5, 'naso': 1, 'dascyllus': 2, 'chaetodon': 1, 'acanthurus': 1, 'canthigaster': 2, 'meiacanthus': 1, 'pseudocheilinus': 2, 'pomacanthus': 2, 'parupeneus': 1, 'scolopsis': 2, 'balistoides': 2}, 'unspecific': {'small ovals - damselfishes': 5, 'wrasses': 4, 'large ovals': 5, 'silvery': 7, 'elongate sand & burrow dwellers': 4, 'sloping heads': 5, 'disk-shaped/colourful': 2, 'blennies': 1, 'odd-shaped swimmers': 2, 'parrotfishes': 6}, 'word_group': {'small_ovals_damselfishes': 5, 'wrasses': 4, 'surgeonfishes': 5, 'elongate_sand_burrow_dwellers': 4, 'emperors': 2, 'snappers': 5, 'butterflyfishes': 1, 'blennies': 1, 'puffers': 2, 'angelfishes': 2, 'goatfishes': 1, 'parrotfishes': 6, 'coral_breams': 2, 'triggerfishes': 2}, 'diet': {'algae': 6, 'plankton': 5, 'invertebrates': 5, 'fish': 5}, 'composite_group': {'herbivore_extended_with_damselfishes': 6, 'algae_oriented_diet_mode': 6, 'plankton_oriented_diet_mode': 5, 'wrasses_trigger_combo': 4, 'invertebrate_oriented_diet_mode': 5, 'herbivore_core_families': 6, 'invertivore_benthic_core': 2, 'invertivore_general': 2, 'fish_oriented_diet_mode': 5, 'piscivore_core_families': 5, 'piscivore_active_hunters': 5, 'snappers_groupers_combo': 5, 'predator_reef_core': 5, 'nocturnal_predator_mixture': 5, 'omnivore_box_puffer_file': 2, 'bioeroder_set': 6}}"
20240108-nursery-control.csv,20240108,nursery,control,control,"{'family': {'lethrinidae': 2, 'labridae': 1, 'acanthuridae': 8, 'lutjanidae': 1, 'pomacentridae': 2, 'caesionidae': 1, 'scaridae': 1, 'carangidae': 6, 'nemipteridae': 1, 'blenniidae': 1, 'pinguipedidae': 2, 'chaetodontidae': 1, 'monacanthidae': 1, 'ephippidae': 1, 'mullidae': 2, 'balistidae': 1, 'tetraodontidae': 2}, 'genus': {'monotaxis': 2, 'thalassoma': 1, 'acanthurus': 8, 'chromis': 1, 'pomacentrus': 2, 'lutjanus': 1, 'chlorurus': 1, 'ctenochaetus': 4, 'scolopsis': 1, 'zebrasoma': 3, 'dascyllus': 1, 'parapercis': 2, 'chaetodon': 1, 'cantherhines': 1, 'caranx': 1, 'macolor': 1, 'cheilinus': 1, 'parupeneus': 2, 'balistoides': 1, 'pseudocheilinus': 1}, 'unspecific': {'sloping heads': 2, 'wrasses': 1, 'large ovals': 8, 'snappers': 1, 'genus chromis': 1, 'fusiliers': 1, 'small ovals - damselfishes': 2, 'parrotfishes': 1, 'jacks/trevallyes': 6, 'blennies': 1, 'elongate sand & burrow dwellers': 2, 'stomatapoda': 1, 'disk-shaped/colourful': 1, 'odd-shaped swimmers': 2, 'silvery': 1, 'batfishes': 1, 'puffers': 2}, 'word_group': {'emperors': 2, 'wrasses': 1, 'surgeonfishes': 8, 'snappers': 1, 'fusiliers': 1, 'small_ovals_damselfishes': 2, 'parrotfishes': 1, 'jacks_trevallies': 6, 'coral_breams': 1, 'blennies': 1, 'elongate_sand_burrow_dwellers': 2, 'butterflyfishes': 1, 'filefishes': 1, 'batfishes': 1, 'goatfishes': 2, 'triggerfishes': 1, 'puffers': 2}, 'diet': {'invertebrates': 2, 'fish': 6, 'plankton': 2, 'algae': 8, 'omnivore': 1}, 'composite_group': {'invertivore_benthic_core': 2, 'invertivore_general': 2, 'fish_oriented_diet_mode': 6, 'invertebrate_oriented_diet_mode': 2, 'wrasses_trigger_combo': 1, 'plankton_oriented_diet_mode': 2, 'herbivore_core_families': 8, 'herbivore_extended_with_damselfishes': 8, 'algae_oriented_diet_mode': 8, 'piscivore_core_families': 1, 'piscivore_active_hunters': 6, 'snappers_groupers_combo': 1, 'predator_reef_core': 1, 'nocturnal_predator_mixture': 1, 'planktivore_core': 1, 'bioeroder_set': 1, 'omnivore_box_puffer_file': 2}}"
20240223-nursery-mackerel.csv,20240223,nursery,mackerel,fish,"{'family': {'chaetodontidae': 5, 'pomacentridae': 13, 'caesionidae': 7, 'pinguipedidae': 3, 'lethrinidae': 2, 'labridae': 11, 'lutjanidae': 18, 'serranidae': 3, 'acanthuridae': 3, 'scaridae': 3, 'mullidae': 4, 'zanclidae': 1, 'pomacanthidae': 1, 'fistulariidae': 6, 'balistidae': 1}, 'genus': {'heniochus': 2, 'abudefduf': 1, 'chaetodon': 5, 'dascyllus': 13, 'parapercis': 3, 'monotaxis': 2, 'amblyglyphidodon': 4, 'thalassoma': 11, 'lutjanus': 18, 'acanthurus': 3, 'scarus': 1, 'cephalopholis': 2, 'parupeneus': 4, 'ctenochaetus': 2, 'naso': 2, 'zanclus': 1, 'pomacanthus': 1, 'lethrinus': 1, 'labroides': 1, 'macolor': 1, 'balistoides': 1, 'genus chromis': 1}, 'unspecific': {'disk-shaped/colourful': 5, 'small ovals - damselfishes': 13, 'slender schoolers/colourful': 7, 'elongate sand & burrow dwellers': 3, 'sloping heads': 18, 'wrasses': 11, 'heavy bodies/large lips': 3, 'large ovals': 3, 'parrotfishes': 3, 'odd-shaped swimmers': 6}, 'word_group': {'butterflyfishes': 5, 'small_ovals_damselfishes': 13, 'fusiliers': 7, 'elongate_sand_burrow_dwellers': 3, 'emperors': 2, 'wrasses': 11, 'snappers': 18, 'groupers_large': 3, 'surgeonfishes': 3, 'parrotfishes': 3, 'goatfishes': 4, 'moorish_idol': 1, 'angelfishes': 1, 'cornetfishes': 6, 'triggerfishes': 1}, 'diet': {'invertebrates': 18, 'fish': 18, 'algae': 13, 'plankton': 13}, 'composite_group': {'fish_oriented_diet_mode': 18, 'invertebrate_oriented_diet_mode': 18, 'herbivore_extended_with_damselfishes': 13, 'algae_oriented_diet_mode': 13, 'plankton_oriented_diet_mode': 13, 'planktivore_core': 7, 'invertivore_benthic_core': 4, 'invertivore_general': 4, 'wrasses_trigger_combo': 11, 'piscivore_core_families': 18, 'piscivore_active_hunters': 18, 'snappers_groupers_combo': 18, 'predator_reef_core': 18, 'nocturnal_predator_mixture': 18, 'herbivore_core_families': 3, 'bioeroder_set': 3}}"
20241126-nursery-mackerel.csv,20241126,nursery,mackerel,fish,"{'family': {'nemipteridae': 6, 'pomacentridae': 20, 'mullidae': 8, 'lethrinidae': 2, 'labridae': 1, 'lutjanidae': 30, 'pinguipedidae': 1, 'scaridae': 11, 'acanthuridae': 10, 'chaetodontidae': 5, 'fistulariidae': 1, 'zanclidae': 8, 'siganidae': 5, 'carangidae': 1, 'tetraodontidae': 1, 'serranidae': 1, 'aulostomidae': 1}, 'genus': {'scolopsis': 6, 'dascyllus': 20, 'parupeneus': 8, 'monotaxis': 1, 'thalassoma': 1, 'lutjanus': 30, 'genus chromis': 3, 'parapercis': 1, 'amblyglyphidodon': 2, 'abudefduf': 3, 'naso': 10, 'macolor': 1, 'chaetodon': 5, 'zanclus': 8, 'coris': 1, 'lethrinus': 2, 'siganus': 5, 'heniochus': 1, 'acanthurus': 2, 'canthigaster': 1, 'labroides': 1, 'caranx': 1, 'aethaloperca': 1, 'cheilinus': 1}, 'unspecific': {'sloping heads': 30, 'small ovals - damselfishes': 20, 'odd-shaped swimmers': 8, 'wrasses': 1, 'elongate sand & burrow dwellers': 1, 'parrotfishes': 11, 'large ovals': 10, 'disk-shaped/colourful': 5, 'silvery': 1, 'heavy bodies/large lips': 1}, 'word_group': {'coral_breams': 6, 'small_ovals_damselfishes': 20, 'goatfishes': 8, 'emperors': 2, 'wrasses': 1, 'snappers': 30, 'elongate_sand_burrow_dwellers': 1, 'parrotfishes': 11, 'surgeonfishes': 10, 'butterflyfishes': 5, 'cornetfishes': 1, 'moorish_idol': 8, 'rabbitfishes': 5, 'puffers': 1, 'groupers_large': 1, 'trumpetfishes': 1}, 'diet': {'invertebrates': 30, 'algae': 20, 'plankton': 20, 'fish': 30}, 'composite_group': {'invertivore_benthic_core': 8, 'invertivore_general': 8, 'invertebrate_oriented_diet_mode': 30, 'herbivore_extended_with_damselfishes': 20, 'algae_oriented_diet_mode': 20, 'plankton_oriented_diet_mode': 20, 'fish_oriented_diet_mode': 30, 'wrasses_trigger_combo': 1, 'piscivore_core_families': 30, 'piscivore_active_hunters': 30, 'snappers_groupers_combo': 30, 'predator_reef_core': 30, 'nocturnal_predator_mixture': 30, 'herbivore_core_families': 11, 'bioeroder_set': 11, 'omnivore_box_puffer_file': 1}}"
20241204-nursery-algae_strings.csv,20241204,nursery,algae_strings,algae,"{'family': {'pomacentridae': 6, 'mullidae': 5, 'carangidae': 2, 'lutjanidae': 21, 'acanthuridae': 23, 'caesionidae': 10, 'nemipteridae': 10, 'scaridae': 13, 'labridae': 1, 'chaetodontidae': 2, 'muraenidae': 1, 'pinguipedidae': 1, 'siganidae': 4, 'monacanthidae': 1, 'balistidae': 1, 'zanclidae': 1, 'pomacanthidae': 1, 'tetraodontidae': 1}, 'genus': {'abudefduf': 5, 'parupeneus': 5, 'lutjanus': 21, 'naso': 23, 'dascyllus': 6, 'scolopsis': 10, 'chlorurus': 4, 'coris': 1, 'novaculichthys': 1, 'chaetodon': 2, 'macolor': 1, 'zebrasoma': 4, 'gymnothorax': 1, 'halichoeres': 1, 'genus chromis': 1, 'parapercis': 1, 'acanthurus': 4, 'siganus': 4, 'chromis': 2, 'aluterus': 1, 'genus siganus': 2, 'balistoides': 1, 'zanclus': 1, 'oxycheilinus': 1, 'pomacanthus': 1, 'cheilinus': 1, 'arothron': 1, 'scarus': 3}, 'unspecific': {'small ovals - damselfishes': 6, 'odd-shaped swimmers': 5, 'silvery': 2, 'sloping heads': 21, 'large ovals': 23, 'slender schoolers/colourful': 10, 'parrotfishes': 13, 'wrasses': 1, 'disk-shaped/colourful': 2, 'eels': 1, 'elongate sand & burrow dwellers': 1}, 'word_group': {'small_ovals_damselfishes': 6, 'goatfishes': 5, 'snappers': 21, 'surgeonfishes': 23, 'fusiliers': 10, 'coral_breams': 10, 'parrotfishes': 13, 'wrasses': 1, 'butterflyfishes': 2, 'eels': 1, 'elongate_sand_burrow_dwellers': 1, 'rabbitfishes': 4, 'filefishes': 1, 'triggerfishes': 1, 'moorish_idol': 1, 'angelfishes': 1, 'puffers': 1}, 'diet': {'algae': 23, 'plankton': 10, 'invertebrates': 21, 'fish': 21}, 'composite_group': {'herbivore_extended_with_damselfishes': 23, 'algae_oriented_diet_mode': 23, 'plankton_oriented_diet_mode': 10, 'invertivore_benthic_core': 10, 'invertivore_general': 10, 'invertebrate_oriented_diet_mode': 21, 'piscivore_core_families': 21, 'piscivore_active_hunters': 21, 'snappers_groupers_combo': 21, 'predator_reef_core': 21, 'nocturnal_predator_mixture': 21, 'fish_oriented_diet_mode': 21, 'herbivore_core_families': 23, 'planktivore_core': 10, 'bioeroder_set': 13, 'wrasses_trigger_combo': 1, 'omnivore_box_puffer_file': 1}}"
20241205-nursery-algae_strings.csv,20241205,nursery,algae_strings,algae,"{'family': {'nemipteridae': 8, 'pomacentridae': 9, 'scaridae': 14, 'acanthuridae': 14, 'lutjanidae': 13, 'mullidae': 7, 'chaetodontidae': 10, 'muraenidae': 2, 'labridae': 2, 'balistidae': 2, 'carangidae': 2, 'caesionidae': 4, 'zanclidae': 2, 'diodontidae': 1, 'pomacanthidae': 1, 'fistulariidae': 1, 'siganidae': 2}, 'genus': {'scolopsis': 8, 'dascyllus': 9, 'chlorurus': 1, 'chromis': 4, 'naso': 14, 'lutjanus': 13, 'macolor': 1, 'acanthurus': 2, 'parupeneus': 7, 'zebrasoma': 3, 'chaetodon': 10, 'scarus': 5, 'abudefduf': 1, 'gymnothorax': 2, 'thalassoma': 1, 'sufflamen': 1, 'cheilinus': 2, 'zanclus': 2, 'ctenochaetus': 2, 'diodon': 1, 'centropyge': 1, 'balistoides': 2, 'siganus': 2}, 'unspecific': {'sloping heads': 13, 'small ovals - damselfishes': 9, 'parrotfishes': 14, 'large ovals': 14, 'odd-shaped swimmers': 7, 'disk-shaped/colourful': 10, 'eels': 2, 'wrasses': 2, 'silvery': 2, 'slender schoolers/colourful': 4}, 'word_group': {'coral_breams': 8, 'small_ovals_damselfishes': 9, 'parrotfishes': 14, 'surgeonfishes': 14, 'snappers': 13, 'goatfishes': 7, 'butterflyfishes': 10, 'eels': 2, 'wrasses': 2, 'triggerfishes': 2, 'fusiliers': 4, 'moorish_idol': 2, 'porcupinefishes': 1, 'angelfishes': 1, 'cornetfishes': 1, 'rabbitfishes': 2}, 'diet': {'invertebrates': 13, 'algae': 14, 'plankton': 9, 'fish': 13}, 'composite_group': {'invertivore_benthic_core': 8, 'invertivore_general': 8, 'invertebrate_oriented_diet_mode': 13, 'herbivore_extended_with_damselfishes': 14, 'algae_oriented_diet_mode': 14, 'plankton_oriented_diet_mode': 9, 'herbivore_core_families': 14, 'bioeroder_set': 14, 'piscivore_core_families': 13, 'piscivore_active_hunters': 13, 'snappers_groupers_combo': 13, 'predator_reef_core': 13, 'nocturnal_predator_mixture': 13, 'fish_oriented_diet_mode': 13, 'wrasses_trigger_combo': 2, 'planktivore_core': 4}}"
20241206-nursery-algae_strings.csv,20241206,nursery,algae_strings,algae,"{'family': {'mullidae': 5, 'lutjanidae': 20, 'acanthuridae': 23, 'nemipteridae': 8, 'scaridae': 6, 'chaetodontidae': 2, 'labridae': 1, 'zanclidae': 2, 'muraenidae': 1, 'pomacentridae': 5, 'siganidae': 4, 'fistulariidae': 1, 'aulostomidae': 1, 'balistidae': 1, 'caesionidae': 7, 'lethrinidae': 2, 'carangidae': 1, 'tetraodontidae': 1}, 'genus': {'parupeneus': 5, 'lutjanus': 20, 'naso': 23, 'scolopsis': 8, 'scarus': 4, 'zebrasoma': 4, 'chaetodon': 2, 'thalassoma': 1, 'macolor': 1, 'zanclus': 2, 'cheilinus': 1, 'chlorurus': 1, 'gymnothorax': 1, 'dascyllus': 5, 'genus siganus': 3, 'acanthurus': 2, 'chromis': 1, 'mulloidichthys': 5, 'aulostomus': 1, 'ctenochaetus': 2, 'balistoides': 1, 'sufflamen': 1, 'siganus': 4, 'lethrinus': 2, 'arothron': 1}, 'unspecific': {'odd-shaped swimmers': 5, 'sloping heads': 20, 'large ovals': 23, 'parrotfishes': 6, 'disk-shaped/colourful': 2, 'wrasses': 1, 'eels': 1, 'small ovals - damselfishes': 5, 'slender schoolers/colourful': 7, 'silvery': 1}, 'word_group': {'goatfishes': 5, 'snappers': 20, 'surgeonfishes': 23, 'coral_breams': 8, 'parrotfishes': 6, 'butterflyfishes': 2, 'wrasses': 1, 'moorish_idol': 2, 'eels': 1, 'small_ovals_damselfishes': 5, 'rabbitfishes': 4, 'cornetfishes': 1, 'trumpetfishes': 1, 'triggerfishes': 1, 'fusiliers': 7, 'emperors': 2, 'puffers': 1}, 'diet': {'invertebrates': 20, 'fish': 20, 'algae': 23, 'plankton': 7}, 'composite_group': {'invertivore_benthic_core': 8, 'invertivore_general': 8, 'invertebrate_oriented_diet_mode': 20, 'piscivore_core_families': 20, 'piscivore_active_hunters': 20, 'snappers_groupers_combo': 20, 'predator_reef_core': 20, 'nocturnal_predator_mixture': 20, 'fish_oriented_diet_mode': 20, 'herbivore_core_families': 23, 'herbivore_extended_with_damselfishes': 23, 'algae_oriented_diet_mode': 23, 'bioeroder_set': 6, 'wrasses_trigger_combo': 1, 'plankton_oriented_diet_mode': 7, 'planktivore_core': 7, 'omnivore_box_puffer_file': 1}}"
20241208-nursery-algaemix.csv,20241208,nursery,algaemix,algae,"{'family': {'chaetodontidae': 8, 'zanclidae': 4, 'acanthuridae': 40, 'mullidae': 4, 'pomacentridae': 13, 'lutjanidae': 43, 'labridae': 1, 'balistidae': 6, 'scaridae': 3, 'pinguipedidae': 1, 'nemipteridae': 10, 'siganidae': 4, 'pomacanthidae': 2, 'fistulariidae': 4, 'aulostomidae': 2, 'carangidae': 1, 'caesionidae': 9, 'serranidae': 1, 'monacanthidae': 1}, 'genus': {'chaetodon': 8, 'zanclus': 4, 'zebrasoma': 3, 'parupeneus': 4, 'abudefduf': 2, 'dascyllus': 13, 'lutjanus': 43, 'thalassoma': 1, 'naso': 40, 'pseudobalistes': 6, 'chromis': 1, 'parapercis': 1, 'scolopsis': 10, 'acanthurus': 2, 'labroides': 1, 'genus acanthurus': 1, 'siganus': 4, 'pomacanthus': 2, 'balistoides': 1, 'hipposcarus': 3, 'mulloidichthys': 4, 'scarus': 1, 'aulostomus': 2, 'genus chromis': 5, 'ctenochaetus': 3, 'genus caesio': 5, 'aluterus': 1, 'sufflamen': 1, 'macolor': 1, 'coris': 1}, 'unspecific': {'disk-shaped/colourful': 8, 'large ovals': 40, 'odd-shaped swimmers': 6, 'small ovals - damselfishes': 13, 'sloping heads': 43, 'wrasses': 1, 'parrotfishes': 3, 'elongate sand & burrow dwellers': 1, 'silvery': 1, 'slender schoolers/colourful': 9, 'heavy bodies/large lips': 1}, 'word_group': {'butterflyfishes': 8, 'moorish_idol': 4, 'surgeonfishes': 40, 'goatfishes': 4, 'small_ovals_damselfishes': 13, 'snappers': 43, 'wrasses': 1, 'triggerfishes': 6, 'parrotfishes': 3, 'elongate_sand_burrow_dwellers': 1, 'coral_breams': 10, 'rabbitfishes': 4, 'angelfishes': 2, 'cornetfishes': 4, 'trumpetfishes': 2, 'fusiliers': 9, 'groupers_large': 1, 'filefishes': 1}, 'diet': {'invertebrates': 43, 'fish': 43, 'algae': 40, 'plankton': 13}, 'composite_group': {'fish_oriented_diet_mode': 43, 'invertebrate_oriented_diet_mode': 43, 'herbivore_core_families': 40, 'herbivore_extended_with_damselfishes': 40, 'algae_oriented_diet_mode': 40, 'invertivore_benthic_core': 10, 'invertivore_general': 10, 'plankton_oriented_diet_mode': 13, 'piscivore_core_families': 43, 'piscivore_active_hunters': 43, 'snappers_groupers_combo': 43, 'predator_reef_core': 43, 'nocturnal_predator_mixture': 43, 'wrasses_trigger_combo': 6, 'bioeroder_set': 6, 'planktivore_core': 9, 'omnivore_box_puffer_file': 1}}"
20241209-nursery-algaemix.csv,20241209,nursery,algaemix,algae,"{'family': {'pomacentridae': 8, 'chaetodontidae': 3, 'labridae': 1, 'nemipteridae': 20, 'acanthuridae': 32, 'lutjanidae': 45, 'scaridae': 3, 'mullidae': 6, 'carangidae': 1, 'zanclidae': 1, 'tetraodontidae': 1, 'balistidae': 4, 'diodontidae': 1, 'serranidae': 1, 'siganidae': 7, 'fistulariidae': 2, 'pinguipedidae': 1, 'caesionidae': 7, 'monacanthidae': 1, 'muraenidae': 1}, 'genus': {'dascyllus': 8, 'chaetodon': 3, 'thalassoma': 1, 'abudefduf': 3, 'scolopsis': 20, 'genus chromis': 4, 'naso': 32, 'lutjanus': 45, 'parupeneus': 2, 'zanclus': 1, 'zebrasoma': 4, 'canthigaster': 1, 'mulloidichthys': 6, 'balistoides': 4, 'diodon': 1, 'aethaloperca': 1, 'scarus': 2, 'siganus': 4, 'acanthurus': 2, 'gomphosus': 1, 'parapercis': 1, 'caranx': 1, 'cheilinus': 1, 'aluterus': 1, 'gymnothorax': 1, 'genus siganus': 7, 'coris': 1, 'macolor': 1}, 'unspecific': {'small ovals - damselfishes': 8, 'disk-shaped/colourful': 3, 'wrasses': 1, 'sloping heads': 45, 'large ovals': 32, 'parrotfishes': 3, 'odd-shaped swimmers': 6, 'silvery': 1, 'heavy bodies/large lips': 1, 'elongate sand & burrow dwellers': 1, 'slender schoolers/colourful': 7, 'eels': 1}, 'word_group': {'small_ovals_damselfishes': 8, 'butterflyfishes': 3, 'wrasses': 1, 'coral_breams': 20, 'surgeonfishes': 32, 'snappers': 45, 'parrotfishes': 3, 'goatfishes': 6, 'moorish_idol': 1, 'puffers': 1, 'triggerfishes': 4, 'porcupinefishes': 1, 'groupers_large': 1, 'rabbitfishes': 7, 'cornetfishes': 2, 'elongate_sand_burrow_dwellers': 1, 'fusiliers': 7, 'filefishes': 1, 'eels': 1}, 'diet': {'algae': 32, 'plankton': 8, 'invertebrates': 45, 'fish': 45}, 'composite_group': {'herbivore_extended_with_damselfishes': 32, 'algae_oriented_diet_mode': 32, 'plankton_oriented_diet_mode': 8, 'fish_oriented_diet_mode': 45, 'invertebrate_oriented_diet_mode': 45, 'wrasses_trigger_combo': 4, 'invertivore_benthic_core': 20, 'invertivore_general': 20, 'herbivore_core_families': 32, 'piscivore_core_families': 45, 'piscivore_active_hunters': 45, 'snappers_groupers_combo': 45, 'predator_reef_core': 45, 'nocturnal_predator_mixture': 45, 'bioeroder_set': 4, 'omnivore_box_puffer_file': 1, 'planktivore_core': 7}}"
20241210-nursery-algaemix.csv,20241210,nursery,algaemix,algae,"{'family': {'pomacentridae': 4, 'acanthuridae': 21, 'lutjanidae': 20, 'scaridae': 8, 'mullidae': 3, 'labridae': 2, 'chaetodontidae': 4, 'nemipteridae': 12, 'siganidae': 4, 'muraenidae': 2, 'carangidae': 2, 'zanclidae': 7, 'caesionidae': 1, 'aulostomidae': 1, 'lethrinidae': 1, 'tetraodontidae': 2, 'balistidae': 3}, 'genus': {'dascyllus': 4, 'naso': 21, 'abudefduf': 1, 'lutjanus': 20, 'parupeneus': 2, 'genus chromis': 1, 'scarus': 3, 'thalassoma': 2, 'acanthurus': 2, 'zebrasoma': 2, 'chaetodon': 4, 'scolopsis': 12, 'genus siganus': 1, 'gymnothorax': 2, 'zanclus': 7, 'ctenochaetus': 2, 'lethrinus': 1, 'siganus': 4, 'aulostomus': 1, 'mulloidichthys': 3, 'cheilinus': 1, 'arothron': 2}, 'unspecific': {'small ovals - damselfishes': 4, 'large ovals': 21, 'sloping heads': 20, 'parrotfishes': 8, 'odd-shaped swimmers': 3, 'wrasses': 2, 'disk-shaped/colourful': 4, 'eels': 2, 'silvery': 2, 'slender schoolers/colourful': 1}, 'word_group': {'small_ovals_damselfishes': 4, 'surgeonfishes': 21, 'snappers': 20, 'parrotfishes': 8, 'goatfishes': 3, 'wrasses': 2, 'butterflyfishes': 4, 'coral_breams': 12, 'rabbitfishes': 4, 'eels': 2, 'moorish_idol': 7, 'fusiliers': 1, 'trumpetfishes': 1, 'emperors': 1, 'puffers': 2, 'triggerfishes': 3}, 'diet': {'algae': 21, 'plankton': 4, 'fish': 20, 'invertebrates': 20}, 'composite_group': {'herbivore_extended_with_damselfishes': 21, 'algae_oriented_diet_mode': 21, 'plankton_oriented_diet_mode': 4, 'herbivore_core_families': 21, 'piscivore_core_families': 20, 'piscivore_active_hunters': 20, 'snappers_groupers_combo': 20, 'predator_reef_core': 20, 'nocturnal_predator_mixture': 20, 'fish_oriented_diet_mode': 20, 'invertebrate_oriented_diet_mode': 20, 'bioeroder_set': 8, 'invertivore_benthic_core': 12, 'invertivore_general': 12, 'wrasses_trigger_combo': 3, 'planktivore_core': 1, 'omnivore_box_puffer_file': 2}}"
