site,feature_type,feature,n_fish,n_algae,mean_fish,mean_algae,median_fish,median_algae,u_stat,p_value,cliffs_delta_fish_minus_algae,higher_side,p_value_holm,p_value_bh,significant_holm,significant_bh
nursery,word_group,coral_breams,4,6,2.0,11.333333333333334,1.0,10.0,0.0,0.013345792583692584,-1.0,algae,0.3069532294249294,0.1601020032736557,False,False
nursery,word_group,surgeonfishes,4,6,5.5,25.5,4.5,23.0,0.0,0.013921913328143975,-1.0,algae,0.3069532294249294,0.1601020032736557,False,False
nursery,word_group,eels,4,6,0.0,1.1666666666666667,0.0,1.0,2.0,0.027890529120246504,-0.8333333333333334,algae,0.5857011115251766,0.21382738992188988,False,False
nursery,word_group,elongate_sand_burrow_dwellers,4,6,2.25,0.5,2.0,0.5,21.0,0.04995152987720942,0.75,fish,0.9990305975441883,0.28722129679395414,False,False
nursery,word_group,blennies,4,6,0.75,0.0,0.5,0.0,18.0,0.09420988683387367,0.5,fish,1.0,0.3734637431669998,False,False
nursery,word_group,fusiliers,4,6,2.25,6.333333333333333,1.0,7.0,4.0,0.10441900560441834,-0.6666666666666666,algae,1.0,0.3734637431669998,False,False
nursery,word_group,triggerfishes,4,6,1.0,2.8333333333333335,1.0,2.5,4.5,0.12239804644933015,-0.625,algae,1.0,0.3734637431669998,False,False
nursery,word_group,wrasses,4,6,4.5,1.3333333333333333,3.0,1.0,19.0,0.13384426438062583,0.5833333333333334,fish,1.0,0.3734637431669998,False,False
nursery,word_group,emperors,4,6,1.5,0.5,2.0,0.0,18.5,0.15729920705028502,0.5416666666666666,fish,1.0,0.3734637431669998,False,False
nursery,word_group,snappers,4,6,15.25,27.0,13.0,20.5,5.0,0.16452181748948447,-0.5833333333333334,algae,1.0,0.3734637431669998,False,False
nursery,word_group,rabbitfishes,4,6,1.75,4.166666666666667,1.0,4.0,5.5,0.1840386271964254,-0.5416666666666666,algae,1.0,0.3734637431669998,False,False
nursery,word_group,groupers_large,4,6,1.25,0.3333333333333333,1.0,0.0,18.0,0.19485064860886947,0.5,fish,1.0,0.3734637431669998,False,False
nursery,word_group,moorish_idol,4,6,2.25,2.8333333333333335,0.5,2.0,7.0,0.3284020708731862,-0.4166666666666667,algae,1.0,0.5810190484679448,False,False
nursery,word_group,goatfishes,4,6,3.75,5.0,3.0,5.0,7.5,0.3908820638257585,-0.375,algae,1.0,0.6421633905708889,False,False
nursery,word_group,small_ovals_damselfishes,4,6,11.25,7.5,10.0,7.0,16.0,0.45279320612018226,0.3333333333333333,fish,1.0,0.6673080746083578,False,False
nursery,word_group,trumpetfishes,4,6,0.25,0.6666666666666666,0.0,0.5,8.5,0.46421431277103153,-0.2916666666666667,algae,1.0,0.6673080746083578,False,False
nursery,word_group,puffers,4,6,1.25,0.8333333333333334,1.5,1.0,15.5,0.4980057317354828,0.2916666666666667,fish,1.0,0.6737724605833002,False,False
nursery,word_group,filefishes,4,6,0.25,0.5,0.0,0.5,9.0,0.5319710580974011,-0.25,algae,1.0,0.6797407964577903,False,False
nursery,word_group,porcupinefishes,4,6,0.25,0.3333333333333333,0.0,0.0,11.0,0.8936946693232326,-0.08333333333333333,algae,1.0,1.0,False,False
nursery,word_group,cornetfishes,4,6,1.75,1.3333333333333333,0.5,1.0,11.0,0.9112733306055524,-0.08333333333333333,fish,1.0,1.0,False,False
nursery,word_group,parrotfishes,4,6,7.75,7.833333333333333,8.5,7.0,11.5,1.0,-0.041666666666666664,algae,1.0,1.0,False,False
nursery,word_group,angelfishes,4,6,0.75,0.6666666666666666,0.5,0.5,12.5,1.0,0.041666666666666664,fish,1.0,1.0,False,False
nursery,word_group,butterflyfishes,4,6,3.75,4.833333333333333,4.5,3.5,11.5,1.0,-0.041666666666666664,algae,1.0,1.0,False,False
