site,feature_type,feature,bait_a,bait_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,cliffs_delta,p_value_holm_within_feature,p_value_bh_within_feature,significant_holm_within_feature,significant_bh_within_feature
nursery,word_group,angelfishes,algae_strings,algaemix,3,3,0.6666666666666666,0.6666666666666666,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
nursery,word_group,angelfishes,algae_strings,control,3,1,0.6666666666666666,0.0,2.5,0.6170750774519738,0.6666666666666666,1.0,1.0,False,False
nursery,word_group,angelfishes,algae_strings,mackerel,3,4,0.6666666666666666,0.75,6.0,1.0,0.0,1.0,1.0,False,False
nursery,word_group,angelfishes,algaemix,control,3,1,0.6666666666666666,0.0,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
nursery,word_group,angelfishes,algaemix,mackerel,3,4,0.6666666666666666,0.75,5.5,1.0,-0.08333333333333333,1.0,1.0,False,False
nursery,word_group,angelfishes,control,mackerel,1,4,0.0,0.75,1.0,0.6926327840419602,-0.5,1.0,1.0,False,False
nursery,word_group,blennies,algae_strings,algaemix,3,3,0.0,0.0,4.5,1.0,0.0,1.0,1.0,False,False
nursery,word_group,blennies,algae_strings,control,3,1,0.0,1.0,0.0,0.24821307898992362,-1.0,1.0,0.4054340772025479,False,False
nursery,word_group,blennies,algae_strings,mackerel,3,4,0.0,0.75,3.0,0.2702893848016986,-0.5,1.0,0.4054340772025479,False,False
nursery,word_group,blennies,algaemix,control,3,1,0.0,1.0,0.0,0.24821307898992362,-1.0,1.0,0.4054340772025479,False,False
nursery,word_group,blennies,algaemix,mackerel,3,4,0.0,0.75,3.0,0.2702893848016986,-0.5,1.0,0.4054340772025479,False,False
nursery,word_group,blennies,control,mackerel,1,4,1.0,0.75,2.5,1.0,0.25,1.0,1.0,False,False
nursery,word_group,butterflyfishes,algae_strings,algaemix,3,3,4.666666666666667,5.0,3.0,0.6579050194284821,-0.3333333333333333,1.0,0.9868575291427232,False,False
nursery,word_group,butterflyfishes,algae_strings,control,3,1,4.666666666666667,1.0,3.0,0.3457785861511603,1.0,1.0,0.9868575291427232,False,False
nursery,word_group,butterflyfishes,algae_strings,mackerel,3,4,4.666666666666667,3.75,6.0,1.0,0.0,1.0,1.0,False,False
nursery,word_group,butterflyfishes,algaemix,control,3,1,5.0,1.0,3.0,0.5,1.0,1.0,0.9868575291427232,False,False
nursery,word_group,butterflyfishes,algaemix,mackerel,3,4,5.0,3.75,6.5,1.0,0.08333333333333333,1.0,1.0,False,False
nursery,word_group,butterflyfishes,control,mackerel,1,4,1.0,3.75,0.5,0.456056540250256,-0.75,1.0,0.9868575291427232,False,False
nursery,word_group,coral_breams,algae_strings,algaemix,3,3,8.666666666666666,14.0,0.5,0.11568802229950938,-0.8888888888888888,0.4627520891980375,0.23137604459901875,False,False
nursery,word_group,coral_breams,algae_strings,control,3,1,8.666666666666666,1.0,3.0,0.3457785861511603,1.0,1.0,0.5186678792267405,False,False
nursery,word_group,coral_breams,algae_strings,mackerel,3,4,8.666666666666666,2.0,12.0,0.04767810313602185,1.0,0.2860686188161311,0.149237972164509,False,False
nursery,word_group,coral_breams,algaemix,control,3,1,14.0,1.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,word_group,coral_breams,algaemix,mackerel,3,4,14.0,2.0,12.0,0.04974599072150299,1.0,0.2860686188161311,0.149237972164509,False,False
nursery,word_group,coral_breams,control,mackerel,1,4,1.0,2.0,2.0,1.0,0.0,1.0,1.0,False,False
nursery,word_group,cornetfishes,algae_strings,algaemix,3,3,0.6666666666666666,2.0,2.5,0.5001842570707944,-0.4444444444444444,1.0,1.0,False,False
nursery,word_group,cornetfishes,algae_strings,control,3,1,0.6666666666666666,0.0,2.5,0.6170750774519738,0.6666666666666666,1.0,1.0,False,False
nursery,word_group,cornetfishes,algae_strings,mackerel,3,4,0.6666666666666666,1.75,6.0,1.0,0.0,1.0,1.0,False,False
nursery,word_group,cornetfishes,algaemix,control,3,1,2.0,0.0,2.5,0.6373518882339371,0.6666666666666666,1.0,1.0,False,False
nursery,word_group,cornetfishes,algaemix,mackerel,3,4,2.0,1.75,7.0,0.8544450676295319,0.16666666666666666,1.0,1.0,False,False
nursery,word_group,cornetfishes,control,mackerel,1,4,0.0,1.75,1.0,0.6926327840419602,-0.5,1.0,1.0,False,False
nursery,word_group,eels,algae_strings,algaemix,3,3,1.3333333333333333,1.0,5.5,0.8136637157667919,0.2222222222222222,1.0,0.9763964589201504,False,False
nursery,word_group,eels,algae_strings,control,3,1,1.3333333333333333,0.0,3.0,0.3457785861511603,1.0,1.0,0.6915571723023207,False,False
nursery,word_group,eels,algae_strings,mackerel,3,4,1.3333333333333333,0.0,12.0,0.030065283228311607,1.0,0.18039169936986965,0.18039169936986965,False,False
nursery,word_group,eels,algaemix,control,3,1,1.0,0.0,2.5,0.6373518882339371,0.6666666666666666,1.0,0.9560278323509056,False,False
nursery,word_group,eels,algaemix,mackerel,3,4,1.0,0.0,10.0,0.12274468232592091,0.6666666666666666,0.6137234116296045,0.36823404697776274,False,False
nursery,word_group,eels,control,mackerel,1,4,0.0,0.0,2.0,1.0,0.0,1.0,1.0,False,False
nursery,word_group,elongate_sand_burrow_dwellers,algae_strings,algaemix,3,3,0.3333333333333333,0.6666666666666666,3.0,0.6192567541768621,-0.3333333333333333,1.0,0.7431081050122346,False,False
nursery,word_group,elongate_sand_burrow_dwellers,algae_strings,control,3,1,0.3333333333333333,2.0,0.0,0.3457785861511603,-1.0,1.0,0.5186678792267405,False,False
nursery,word_group,elongate_sand_burrow_dwellers,algae_strings,mackerel,3,4,0.3333333333333333,2.25,1.0,0.0954832320975473,-0.8333333333333334,0.5728993925852839,0.5164465344733854,False,False
nursery,word_group,elongate_sand_burrow_dwellers,algaemix,control,3,1,0.6666666666666666,2.0,0.0,0.3457785861511603,-1.0,1.0,0.5186678792267405,False,False
nursery,word_group,elongate_sand_burrow_dwellers,algaemix,mackerel,3,4,0.6666666666666666,2.25,2.0,0.1721488448244618,-0.6666666666666666,0.860744224122309,0.5164465344733854,False,False
nursery,word_group,elongate_sand_burrow_dwellers,control,mackerel,1,4,2.0,2.25,2.0,1.0,0.0,1.0,1.0,False,False
nursery,word_group,emperors,algae_strings,algaemix,3,3,0.6666666666666666,0.3333333333333333,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
nursery,word_group,emperors,algae_strings,control,3,1,0.6666666666666666,2.0,0.5,0.6170750774519738,-0.6666666666666666,1.0,0.9256126161779606,False,False
nursery,word_group,emperors,algae_strings,mackerel,3,4,0.6666666666666666,1.5,3.5,0.4142161782425252,-0.4166666666666667,1.0,0.8284323564850503,False,False
nursery,word_group,emperors,algaemix,control,3,1,0.3333333333333333,2.0,0.0,0.3457785861511603,-1.0,1.0,0.8284323564850503,False,False
nursery,word_group,emperors,algaemix,mackerel,3,4,0.3333333333333333,1.5,2.0,0.18135827590431353,-0.6666666666666666,1.0,0.8284323564850503,False,False
nursery,word_group,emperors,control,mackerel,1,4,2.0,1.5,2.5,1.0,0.25,1.0,1.0,False,False
nursery,word_group,filefishes,algae_strings,algaemix,3,3,0.3333333333333333,0.6666666666666666,3.0,0.6192567541768621,-0.3333333333333333,1.0,0.9288851312652932,False,False
nursery,word_group,filefishes,algae_strings,control,3,1,0.3333333333333333,1.0,0.5,0.6170750774519738,-0.6666666666666666,1.0,0.9288851312652932,False,False
nursery,word_group,filefishes,algae_strings,mackerel,3,4,0.3333333333333333,0.25,6.5,1.0,0.08333333333333333,1.0,1.0,False,False
nursery,word_group,filefishes,algaemix,control,3,1,0.6666666666666666,1.0,1.0,1.0,-0.3333333333333333,1.0,1.0,False,False
nursery,word_group,filefishes,algaemix,mackerel,3,4,0.6666666666666666,0.25,8.5,0.4142161782425252,0.4166666666666667,1.0,0.9288851312652932,False,False
nursery,word_group,filefishes,control,mackerel,1,4,1.0,0.25,3.5,0.4142161782425252,0.75,1.0,0.9288851312652932,False,False
nursery,word_group,fusiliers,algae_strings,algaemix,3,3,7.0,5.666666666666667,5.5,0.8247780950825133,0.2222222222222222,1.0,0.989733714099016,False,False
nursery,word_group,fusiliers,algae_strings,control,3,1,7.0,1.0,3.0,0.5,1.0,1.0,0.9560278323509056,False,False
nursery,word_group,fusiliers,algae_strings,mackerel,3,4,7.0,2.25,10.5,0.1498208360668925,0.75,0.898925016401355,0.8402616324344924,False,False
nursery,word_group,fusiliers,algaemix,control,3,1,5.666666666666667,1.0,2.5,0.6373518882339371,0.6666666666666666,1.0,0.9560278323509056,False,False
nursery,word_group,fusiliers,algaemix,mackerel,3,4,5.666666666666667,2.25,9.5,0.28008721081149746,0.5833333333333334,1.0,0.8402616324344924,False,False
nursery,word_group,fusiliers,control,mackerel,1,4,1.0,2.25,2.0,1.0,0.0,1.0,1.0,False,False
nursery,word_group,goatfishes,algae_strings,algaemix,3,3,5.666666666666667,4.333333333333333,7.0,0.37582508748869836,0.5555555555555556,1.0,0.75,False,False
nursery,word_group,goatfishes,algae_strings,control,3,1,5.666666666666667,2.0,3.0,0.3457785861511603,1.0,1.0,0.75,False,False
nursery,word_group,goatfishes,algae_strings,mackerel,3,4,5.666666666666667,3.75,9.0,0.3724558699813696,0.5,1.0,0.75,False,False
nursery,word_group,goatfishes,algaemix,control,3,1,4.333333333333333,2.0,3.0,0.5,1.0,1.0,0.75,False,False
nursery,word_group,goatfishes,algaemix,mackerel,3,4,4.333333333333333,3.75,7.5,0.7212766990291557,0.25,1.0,0.8655320388349867,False,False
nursery,word_group,goatfishes,control,mackerel,1,4,2.0,3.75,1.5,1.0,-0.25,1.0,1.0,False,False
nursery,word_group,groupers_large,algae_strings,algaemix,3,3,0.0,0.6666666666666666,1.5,0.18763232999488433,-0.6666666666666666,0.9381616499744216,0.562896989984653,False,False
nursery,word_group,groupers_large,algae_strings,control,3,1,0.0,0.0,1.5,1.0,0.0,1.0,1.0,False,False
nursery,word_group,groupers_large,algae_strings,mackerel,3,4,0.0,1.25,1.5,0.11465264168449484,-0.75,0.687915850106969,0.562896989984653,False,False
nursery,word_group,groupers_large,algaemix,control,3,1,0.6666666666666666,0.0,2.5,0.6170750774519738,0.6666666666666666,1.0,0.8319381810053773,False,False
nursery,word_group,groupers_large,algaemix,mackerel,3,4,0.6666666666666666,1.25,4.5,0.693281817504481,-0.25,1.0,0.8319381810053773,False,False
nursery,word_group,groupers_large,control,mackerel,1,4,0.0,1.25,0.5,0.456056540250256,-0.75,1.0,0.8319381810053773,False,False
nursery,word_group,moorish_idol,algae_strings,algaemix,3,3,1.6666666666666667,4.0,2.5,0.5001842570707944,-0.4444444444444444,1.0,0.6002211084849532,False,False
nursery,word_group,moorish_idol,algae_strings,control,3,1,1.6666666666666667,0.0,3.0,0.3457785861511603,1.0,1.0,0.6002211084849532,False,False
nursery,word_group,moorish_idol,algae_strings,mackerel,3,4,1.6666666666666667,2.25,8.5,0.4673216576882314,0.4166666666666667,1.0,0.6002211084849532,False,False
nursery,word_group,moorish_idol,algaemix,control,3,1,4.0,0.0,3.0,0.5,1.0,1.0,0.6002211084849532,False,False
nursery,word_group,moorish_idol,algaemix,mackerel,3,4,4.0,2.25,8.5,0.47147432485129004,0.4166666666666667,1.0,0.6002211084849532,False,False
nursery,word_group,moorish_idol,control,mackerel,1,4,0.0,2.25,1.0,0.6926327840419602,-0.5,1.0,0.6926327840419603,False,False
nursery,word_group,parrotfishes,algae_strings,algaemix,3,3,11.0,4.666666666666667,8.0,0.1840386271964254,0.7777777777777778,1.0,0.42521157475597987,False,False
nursery,word_group,parrotfishes,algae_strings,control,3,1,11.0,1.0,3.0,0.5,1.0,1.0,0.5,False,False
nursery,word_group,parrotfishes,algae_strings,mackerel,3,4,11.0,7.75,9.5,0.28008721081149746,0.5833333333333334,1.0,0.42521157475597987,False,False
nursery,word_group,parrotfishes,algaemix,control,3,1,4.666666666666667,1.0,3.0,0.3457785861511603,1.0,1.0,0.42521157475597987,False,False
nursery,word_group,parrotfishes,algaemix,mackerel,3,4,4.666666666666667,7.75,3.0,0.35434297896331657,-0.5,1.0,0.42521157475597987,False,False
nursery,word_group,parrotfishes,control,mackerel,1,4,1.0,7.75,0.0,0.27650048008343264,-1.0,1.0,0.42521157475597987,False,False
nursery,word_group,porcupinefishes,algae_strings,algaemix,3,3,0.3333333333333333,0.3333333333333333,4.5,1.0,0.0,1.0,1.0,False,False
nursery,word_group,porcupinefishes,algae_strings,control,3,1,0.3333333333333333,0.0,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
nursery,word_group,porcupinefishes,algae_strings,mackerel,3,4,0.3333333333333333,0.25,6.5,1.0,0.08333333333333333,1.0,1.0,False,False
nursery,word_group,porcupinefishes,algaemix,control,3,1,0.3333333333333333,0.0,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
nursery,word_group,porcupinefishes,algaemix,mackerel,3,4,0.3333333333333333,0.25,6.5,1.0,0.08333333333333333,1.0,1.0,False,False
nursery,word_group,porcupinefishes,control,mackerel,1,4,0.0,0.25,1.5,1.0,-0.25,1.0,1.0,False,False
nursery,word_group,puffers,algae_strings,algaemix,3,3,0.6666666666666666,1.0,3.5,0.8136637157667919,-0.2222222222222222,1.0,0.8515956593128357,False,False
nursery,word_group,puffers,algae_strings,control,3,1,0.6666666666666666,2.0,0.0,0.3457785861511603,-1.0,1.0,0.8515956593128357,False,False
nursery,word_group,puffers,algae_strings,mackerel,3,4,0.6666666666666666,1.25,3.5,0.45426024256681885,-0.4166666666666667,1.0,0.8515956593128357,False,False
nursery,word_group,puffers,algaemix,control,3,1,1.0,2.0,0.5,0.6373518882339371,-0.6666666666666666,1.0,0.8515956593128357,False,False
nursery,word_group,puffers,algaemix,mackerel,3,4,1.0,1.25,5.0,0.8515956593128358,-0.16666666666666666,1.0,0.8515956593128357,False,False
nursery,word_group,puffers,control,mackerel,1,4,2.0,1.25,3.0,0.6926327840419602,0.5,1.0,0.8515956593128357,False,False
nursery,word_group,rabbitfishes,algae_strings,algaemix,3,3,3.3333333333333335,5.0,2.0,0.3016995824783478,-0.5555555555555556,1.0,0.5186678792267405,False,False
nursery,word_group,rabbitfishes,algae_strings,control,3,1,3.3333333333333335,0.0,3.0,0.3457785861511603,1.0,1.0,0.5186678792267405,False,False
nursery,word_group,rabbitfishes,algae_strings,mackerel,3,4,3.3333333333333335,1.75,8.5,0.4673216576882314,0.4166666666666667,1.0,0.5607859892258776,False,False
nursery,word_group,rabbitfishes,algaemix,control,3,1,5.0,0.0,3.0,0.3457785861511603,1.0,1.0,0.5186678792267405,False,False
nursery,word_group,rabbitfishes,algaemix,mackerel,3,4,5.0,1.75,10.0,0.20761741115484578,0.6666666666666666,1.0,0.5186678792267405,False,False
nursery,word_group,rabbitfishes,control,mackerel,1,4,0.0,1.75,1.0,0.6926327840419602,-0.5,1.0,0.6926327840419603,False,False
nursery,word_group,small_ovals_damselfishes,algae_strings,algaemix,3,3,6.666666666666667,8.333333333333334,4.0,1.0,-0.1111111111111111,1.0,1.0,False,False
nursery,word_group,small_ovals_damselfishes,algae_strings,control,3,1,6.666666666666667,2.0,3.0,0.5,1.0,1.0,0.75,False,False
nursery,word_group,small_ovals_damselfishes,algae_strings,mackerel,3,4,6.666666666666667,11.25,3.5,0.4755326595969013,-0.4166666666666667,1.0,0.75,False,False
nursery,word_group,small_ovals_damselfishes,algaemix,control,3,1,8.333333333333334,2.0,3.0,0.5,1.0,1.0,0.75,False,False
nursery,word_group,small_ovals_damselfishes,algaemix,mackerel,3,4,8.333333333333334,11.25,4.5,0.7212766990291557,-0.25,1.0,0.8655320388349867,False,False
nursery,word_group,small_ovals_damselfishes,control,mackerel,1,4,2.0,11.25,0.0,0.4,-1.0,1.0,0.75,False,False
nursery,word_group,snappers,algae_strings,algaemix,3,3,18.0,36.0,1.5,0.26828588367711736,-0.6666666666666666,1.0,0.6,False,False
nursery,word_group,snappers,algae_strings,control,3,1,18.0,1.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,word_group,snappers,algae_strings,mackerel,3,4,18.0,15.25,8.0,0.6285714285714286,0.3333333333333333,1.0,0.6285714285714286,False,False
nursery,word_group,snappers,algaemix,control,3,1,36.0,1.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,word_group,snappers,algaemix,mackerel,3,4,36.0,15.25,11.0,0.11428571428571428,0.8333333333333334,0.6857142857142857,0.6,False,False
nursery,word_group,snappers,control,mackerel,1,4,1.0,15.25,0.0,0.4,-1.0,1.0,0.6,False,False
nursery,word_group,surgeonfishes,algae_strings,algaemix,3,3,20.0,31.0,2.0,0.37582508748869836,-0.5555555555555556,1.0,0.5637376312330475,False,False
nursery,word_group,surgeonfishes,algae_strings,control,3,1,20.0,8.0,3.0,0.3457785861511603,1.0,1.0,0.5637376312330475,False,False
nursery,word_group,surgeonfishes,algae_strings,mackerel,3,4,20.0,5.5,12.0,0.04974599072150299,1.0,0.298475944329018,0.17142857142857143,False,False
nursery,word_group,surgeonfishes,algaemix,control,3,1,31.0,8.0,3.0,0.5,1.0,1.0,0.6,False,False
nursery,word_group,surgeonfishes,algaemix,mackerel,3,4,31.0,5.5,12.0,0.05714285714285714,1.0,0.298475944329018,0.17142857142857143,False,False
nursery,word_group,surgeonfishes,control,mackerel,1,4,8.0,5.5,3.0,0.8,0.5,1.0,0.8000000000000002,False,False
nursery,word_group,triggerfishes,algae_strings,algaemix,3,3,1.3333333333333333,4.333333333333333,0.0,0.07652250047505922,-1.0,0.3826125023752961,0.22956750142517768,False,False
nursery,word_group,triggerfishes,algae_strings,control,3,1,1.3333333333333333,1.0,2.0,1.0,0.3333333333333333,1.0,1.0,False,False
nursery,word_group,triggerfishes,algae_strings,mackerel,3,4,1.3333333333333333,1.0,7.5,0.693281817504481,0.25,1.0,1.0,False,False
nursery,word_group,triggerfishes,algaemix,control,3,1,4.333333333333333,1.0,3.0,0.5,1.0,1.0,1.0,False,False
nursery,word_group,triggerfishes,algaemix,mackerel,3,4,4.333333333333333,1.0,12.0,0.04974599072150299,1.0,0.298475944329018,0.22956750142517768,False,False
