filename,site,bait,bait_type,angelfishes,blennies,butterflyfishes,coral_breams,cornetfishes,eels,elongate_sand_burrow_dwellers,emperors,filefishes,fusiliers,goatfishes,groupers_large,moorish_idol,parrotfishes,porcupinefishes,puffers,rabbitfishes,small_ovals_damselfishes,snappers,surgeonfishes,triggerfishes,trumpetfishes,wrasses
20240106-nursery-mackerel.csv,nursery,mackerel,fish,2.0,1.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,5.0,5.0,2.0,0.0,4.0
20240108-nursery-control.csv,nursery,control,control,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,8.0,1.0,0.0,1.0
20240223-nursery-mackerel.csv,nursery,mackerel,fish,1.0,0.0,5.0,0.0,6.0,0.0,3.0,2.0,0.0,7.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,13.0,18.0,3.0,1.0,0.0,11.0
20241126-nursery-mackerel.csv,nursery,mackerel,fish,0.0,0.0,5.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,8.0,1.0,8.0,11.0,0.0,1.0,5.0,20.0,30.0,10.0,0.0,1.0,1.0
20241204-nursery-algae_strings.csv,nursery,algae_strings,algae,1.0,0.0,2.0,10.0,0.0,1.0,1.0,0.0,1.0,10.0,5.0,0.0,1.0,13.0,0.0,1.0,4.0,6.0,21.0,23.0,1.0,0.0,1.0
20241205-nursery-algae_strings.csv,nursery,algae_strings,algae,1.0,0.0,10.0,8.0,1.0,2.0,0.0,0.0,0.0,4.0,7.0,0.0,2.0,14.0,1.0,0.0,2.0,9.0,13.0,14.0,2.0,0.0,2.0
20241206-nursery-algae_strings.csv,nursery,algae_strings,algae,0.0,0.0,2.0,8.0,1.0,1.0,0.0,2.0,0.0,7.0,5.0,0.0,2.0,6.0,0.0,1.0,4.0,5.0,20.0,23.0,1.0,1.0,1.0
20241208-nursery-algaemix.csv,nursery,algaemix,algae,2.0,0.0,8.0,10.0,4.0,0.0,1.0,0.0,1.0,9.0,4.0,1.0,4.0,3.0,0.0,0.0,4.0,13.0,43.0,40.0,6.0,2.0,1.0
20241209-nursery-algaemix.csv,nursery,algaemix,algae,0.0,0.0,3.0,20.0,2.0,1.0,1.0,0.0,1.0,7.0,6.0,1.0,1.0,3.0,1.0,1.0,7.0,8.0,45.0,32.0,4.0,0.0,1.0
20241210-nursery-algaemix.csv,nursery,algaemix,algae,0.0,0.0,4.0,12.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,7.0,8.0,0.0,2.0,4.0,4.0,20.0,21.0,3.0,1.0,2.0
20251212-nursery-mackerel.csv,nursery,mackerel,fish,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,11.0,1.0,2.0,2.0,7.0,8.0,4.0,1.0,0.0,2.0
