filename,site,bait,bait_type,algae_oriented_diet_mode,bioeroder_set,fish_oriented_diet_mode,herbivore_core_families,herbivore_extended_with_damselfishes,invertebrate_oriented_diet_mode,invertivore_benthic_core,invertivore_general,nocturnal_predator_mixture,omnivore_box_puffer_file,piscivore_active_hunters,piscivore_core_families,planktivore_core,plankton_oriented_diet_mode,predator_reef_core,snappers_groupers_combo,wrasses_trigger_combo
20240516-utumbi-mackerel.csv,utumbi,mackerel,fish,121.0,7.0,3.0,12.0,121.0,11.0,5.0,5.0,3.0,1.0,3.0,3.0,0.0,121.0,3.0,3.0,11.0
20241025-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,140.0,84.0,2.0,84.0,140.0,4.0,2.0,2.0,0.0,1.0,2.0,2.0,88.0,140.0,1.0,1.0,4.0
20241026-utumbi-mackerel.csv,utumbi,mackerel,fish,127.0,12.0,2.0,12.0,127.0,6.0,6.0,6.0,1.0,0.0,2.0,2.0,42.0,127.0,2.0,2.0,6.0
20241027-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,64.0,7.0,2.0,7.0,64.0,5.0,2.0,2.0,1.0,0.0,2.0,2.0,48.0,64.0,2.0,2.0,5.0
20241029-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,56.0,11.0,3.0,11.0,56.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,0.0,56.0,2.0,2.0,2.0
20241030-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,35.0,13.0,2.0,13.0,35.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,35.0,2.0,2.0,3.0
20241105-utumbi-control.csv,utumbi,control,control,112.0,3.0,2.0,32.0,112.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,112.0,1.0,1.0,3.0
20241110-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,56.0,9.0,2.0,9.0,56.0,4.0,2.0,2.0,1.0,0.0,2.0,2.0,87.0,87.0,2.0,2.0,3.0
20241111-utumbi-control.csv,utumbi,control,control,55.0,13.0,2.0,13.0,55.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,55.0,1.0,1.0,2.0
20241112-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,66.0,5.0,2.0,5.0,66.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,66.0,1.0,1.0,2.0
20241114-utumbi-control.csv,utumbi,control,control,28.0,6.0,2.0,6.0,28.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,28.0,2.0,2.0,2.0
20241115-utumbi-control.csv,utumbi,control,control,83.0,7.0,2.0,7.0,83.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,83.0,2.0,2.0,3.0
20241124-utumbi-mackerel.csv,utumbi,mackerel,fish,94.0,16.0,4.0,16.0,94.0,6.0,5.0,5.0,3.0,1.0,3.0,3.0,0.0,94.0,3.0,3.0,6.0
20241127-utumbi-sargassum.csv,utumbi,sargassum,algae,54.0,17.0,2.0,17.0,54.0,9.0,9.0,9.0,1.0,1.0,2.0,2.0,24.0,54.0,2.0,2.0,5.0
20241128-utumbi-sargassum.csv,utumbi,sargassum,algae,62.0,8.0,2.0,8.0,62.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,18.0,62.0,2.0,2.0,3.0
20241129-utumbi-sargassum.csv,utumbi,sargassum,algae,34.0,15.0,2.0,15.0,34.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,28.0,34.0,2.0,2.0,4.0
20241209-utumbi-fischmix.csv,utumbi,fischmix,fish,49.0,10.0,3.0,7.0,49.0,10.0,10.0,10.0,2.0,0.0,3.0,3.0,37.0,49.0,3.0,3.0,10.0
20241210-utumbi-fischmix.csv,utumbi,fischmix,fish,27.0,5.0,3.0,3.0,27.0,7.0,5.0,5.0,1.0,0.0,3.0,3.0,21.0,27.0,3.0,3.0,7.0
