filename,site,bait,bait_type,algae,fish,invertebrates,plankton
20240516-utumbi-mackerel.csv,utumbi,mackerel,fish,121.0,3.0,11.0,121.0
20241025-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,140.0,2.0,4.0,140.0
20241026-utumbi-mackerel.csv,utumbi,mackerel,fish,127.0,2.0,6.0,127.0
20241027-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,64.0,2.0,5.0,64.0
20241029-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,56.0,3.0,3.0,56.0
20241030-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,35.0,2.0,3.0,35.0
20241105-utumbi-control.csv,utumbi,control,control,112.0,2.0,3.0,112.0
20241110-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,56.0,2.0,4.0,87.0
20241111-utumbi-control.csv,utumbi,control,control,55.0,2.0,4.0,55.0
20241112-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,66.0,2.0,2.0,66.0
20241114-utumbi-control.csv,utumbi,control,control,28.0,2.0,2.0,28.0
20241115-utumbi-control.csv,utumbi,control,control,83.0,2.0,3.0,83.0
20241124-utumbi-mackerel.csv,utumbi,mackerel,fish,94.0,4.0,6.0,94.0
20241127-utumbi-sargassum.csv,utumbi,sargassum,algae,54.0,2.0,9.0,54.0
20241128-utumbi-sargassum.csv,utumbi,sargassum,algae,62.0,2.0,3.0,62.0
20241129-utumbi-sargassum.csv,utumbi,sargassum,algae,34.0,2.0,4.0,34.0
20241209-utumbi-fischmix.csv,utumbi,fischmix,fish,49.0,3.0,10.0,49.0
20241210-utumbi-fischmix.csv,utumbi,fischmix,fish,27.0,3.0,7.0,27.0
