site,feature_type,feature,n_total,n_baits,h_stat,p_value,eta_sq,dominant_bait,weakest_bait,mean_diff_max_minus_min,p_value_holm,p_value_bh,significant_holm,significant_bh
utumbi,family,labridae,18,6,13.5005417118093,0.019113505990571506,0.7083784759841083,fischmix,ulva_gutweed,5.5,0.47783764976428766,0.1386361482020934,False,False
utumbi,family,balistidae,18,6,13.21014089729329,0.021487120074739206,0.6841784081077741,fischmix,control,6.0,0.5156908817937409,0.1386361482020934,False,False
utumbi,family,caesionidae,18,6,12.821454678362576,0.025110634216664065,0.651787889863548,ulva_salad,ulva_gutweed,74.33333333333333,0.5775445869832735,0.1386361482020934,False,False
utumbi,family,pomacanthidae,18,6,12.631944444444445,0.02708313120314237,0.6359953703703703,ulva_gutweed,ulva_salad,1.6666666666666665,0.5958288864691321,0.1386361482020934,False,False
utumbi,family,muraenidae,18,6,12.572916666666675,0.027727229640418686,0.6310763888888896,mackerel,control,1.3333333333333333,0.5958288864691321,0.1386361482020934,False,False
utumbi,family,siganidae,18,6,9.238383838383832,0.09992534095023269,0.3531986531986527,ulva_salad,sargassum,3.0,1.0,0.3151597848712724,False,False
utumbi,family,pomacentridae,18,6,9.176136363636354,0.10224157139305416,0.34801136363636287,mackerel,fischmix,76.0,1.0,0.3151597848712724,False,False
utumbi,family,mullidae,18,6,8.920121173469383,0.11229298725322368,0.3266767644557819,sargassum,mackerel,4.0,1.0,0.3151597848712724,False,False
utumbi,family,lutjanidae,18,6,8.891823687752353,0.11345752255365806,0.32431864064602944,mackerel,ulva_salad,1.666666666666667,1.0,0.3151597848712724,False,False
utumbi,family,cirrhitidae,18,6,8.499999999999996,0.1307477892744255,0.29166666666666635,fischmix,mackerel,1.6666666666666667,1.0,0.3268694731860638,False,False
utumbi,family,zanclidae,18,6,8.004166666666663,0.15600614385857112,0.2503472222222219,sargassum,mackerel,2.0,1.0,0.3545594178603889,False,False
utumbi,family,lethrinidae,18,6,6.670138888888879,0.24635074960360268,0.1391782407407399,fischmix,control,1.25,1.0,0.47707513562979975,False,False
utumbi,family,serranidae,18,6,6.640624999999982,0.2487683112298823,0.13671874999999853,fischmix,ulva_salad,1.1666666666666667,1.0,0.47707513562979975,False,False
utumbi,family,scaridae,18,6,6.252133402995473,0.2824525853523582,0.10434445024962276,ulva_salad,fischmix,28.833333333333336,1.0,0.47707513562979975,False,False
utumbi,family,monacanthidae,18,6,6.210791037951519,0.28624508137787985,0.10089925316262656,control,fischmix,1.0,1.0,0.47707513562979975,False,False
utumbi,family,nemipteridae,18,6,5.647809206877415,0.3420100917330949,0.05398410057311794,ulva_gutweed,fischmix,1.0,1.0,0.5161068300734365,False,False
utumbi,family,aulostomidae,18,6,5.472718253968266,0.36094669842359645,0.03939318783068887,ulva_salad,fischmix,1.1666666666666667,1.0,0.5161068300734365,False,False
utumbi,family,tetraodontidae,18,6,5.312499999999992,0.37894402184118087,0.026041666666666,control,fischmix,0.75,1.0,0.5161068300734365,False,False
utumbi,family,carangidae,18,6,5.197624392068822,0.3922411908558117,0.01646869933906851,ulva_salad,control,2.4166666666666665,1.0,0.5161068300734365,False,False
utumbi,family,pinguipedidae,18,6,3.96666666666666,0.5542250766753937,0.0,fischmix,mackerel,0.5,1.0,0.692781345844242,False,False
utumbi,family,acanthuridae,18,6,3.595050618672652,0.6090565726342929,0.0,control,sargassum,7.916666666666666,1.0,0.7250673483741582,False,False
utumbi,family,scombridae,18,6,3.399999999999994,0.6385699231037959,0.0,mackerel,control,0.3333333333333333,1.0,0.7256476398906772,False,False
utumbi,family,blenniidae,18,6,2.866414835164822,0.7205716024519725,0.0,fischmix,sargassum,0.8333333333333334,1.0,0.7832300026651875,False,False
utumbi,family,holocentridae,18,6,2.4486350574712596,0.7842100791458604,0.0,ulva_gutweed,control,1.416666666666667,1.0,0.8168854991102713,False,False
utumbi,family,chaetodontidae,18,6,1.638888888888868,0.8965069808456266,0.0,control,sargassum,0.33333333333333326,1.0,0.8965069808456266,False,False
