filename,site,bait,bait_type,acanthuridae,aulostomidae,balistidae,blenniidae,caesionidae,carangidae,chaetodontidae,cirrhitidae,holocentridae,labridae,lethrinidae,lutjanidae,monacanthidae,mullidae,muraenidae,nemipteridae,pinguipedidae,pomacanthidae,pomacentridae,scaridae,scombridae,serranidae,siganidae,tetraodontidae,zanclidae
20240516-utumbi-mackerel.csv,utumbi,mackerel,fish,12.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,7.0,11.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,121.0,7.0,0.0,3.0,1.0,0.0,2.0
20241025-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,4.0,2.0,2.0,1.0,88.0,6.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,140.0,84.0,0.0,1.0,2.0,1.0,2.0
20241026-utumbi-mackerel.csv,utumbi,mackerel,fish,2.0,2.0,6.0,1.0,42.0,3.0,2.0,0.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,127.0,12.0,0.0,2.0,0.0,0.0,0.0
20241027-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,2.0,2.0,2.0,1.0,48.0,0.0,2.0,1.0,6.0,5.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,64.0,7.0,0.0,2.0,0.0,0.0,1.0
20241029-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,3.0,1.0,2.0,1.0,0.0,2.0,3.0,0.0,6.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,56.0,11.0,1.0,2.0,2.0,0.0,2.0
20241030-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,35.0,13.0,0.0,2.0,2.0,0.0,2.0
20241105-utumbi-control.csv,utumbi,control,control,32.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,6.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,112.0,2.0,0.0,1.0,0.0,0.0,1.0
20241110-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,3.0,1.0,2.0,0.0,87.0,2.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,56.0,9.0,0.0,1.0,7.0,0.0,2.0
20241111-utumbi-control.csv,utumbi,control,control,3.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,2.0,55.0,13.0,0.0,1.0,0.0,1.0,1.0
20241112-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,4.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,66.0,5.0,0.0,1.0,2.0,1.0,2.0
20241114-utumbi-control.csv,utumbi,control,control,4.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,28.0,6.0,0.0,2.0,0.0,1.0,0.0
20241115-utumbi-control.csv,utumbi,control,control,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,83.0,7.0,0.0,2.0,1.0,1.0,2.0
20241124-utumbi-mackerel.csv,utumbi,mackerel,fish,3.0,1.0,5.0,0.0,0.0,1.0,2.0,1.0,5.0,6.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,94.0,16.0,1.0,2.0,2.0,0.0,0.0
20241127-utumbi-sargassum.csv,utumbi,sargassum,algae,2.0,1.0,5.0,1.0,24.0,1.0,2.0,1.0,5.0,2.0,0.0,1.0,0.0,9.0,0.0,0.0,1.0,2.0,54.0,17.0,1.0,2.0,0.0,1.0,4.0
20241128-utumbi-sargassum.csv,utumbi,sargassum,algae,3.0,1.0,2.0,0.0,18.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,62.0,8.0,0.0,1.0,0.0,0.0,2.0
20241129-utumbi-sargassum.csv,utumbi,sargassum,algae,2.0,1.0,4.0,1.0,28.0,0.0,2.0,1.0,5.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,34.0,15.0,0.0,2.0,0.0,0.0,2.0
20241209-utumbi-fischmix.csv,utumbi,fischmix,fish,5.0,1.0,10.0,1.0,37.0,3.0,2.0,2.0,7.0,8.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,49.0,7.0,0.0,3.0,1.0,0.0,1.0
20241210-utumbi-fischmix.csv,utumbi,fischmix,fish,3.0,0.0,5.0,2.0,21.0,1.0,2.0,2.0,3.0,7.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,27.0,2.0,0.0,2.0,0.0,0.0,2.0
