site,feature_type,feature,n_fish,n_algae,mean_fish,mean_algae,median_fish,median_algae,u_stat,p_value,cliffs_delta_fish_minus_algae,higher_side,p_value_holm,p_value_bh,significant_holm,significant_bh
utumbi,genus,labroides,5,9,2.8,1.0,3.0,1.0,44.0,0.002621483834441143,0.9555555555555556,fish,0.1415601270598217,0.08411201627801096,False,False
utumbi,genus,balistapus,5,9,6.2,2.5555555555555554,5.0,2.0,43.5,0.003115259862148554,0.9333333333333333,fish,0.16510877269387336,0.08411201627801096,False,False
utumbi,genus,chlorurus,5,9,1.0,3.888888888888889,1.0,3.0,2.5,0.006545089239163748,-0.8888888888888888,algae,0.3403446404365149,0.11781160630494747,False,False
utumbi,genus,aethaloperca,5,9,2.0,1.2222222222222223,2.0,1.0,40.0,0.009037407128694792,0.7777777777777778,fish,0.4609077635634344,0.12200499623737969,False,False
utumbi,genus,cephalopholis,5,9,2.0,1.0,2.0,1.0,39.0,0.01661904071346979,0.7333333333333333,fish,0.8309520356734894,0.17110476980081682,False,False
utumbi,genus,thalassoma,5,9,5.4,2.5555555555555554,6.0,2.0,40.0,0.019011641088979646,0.7777777777777778,fish,0.9315704133600027,0.17110476980081682,False,False
utumbi,genus,zanclus,5,9,1.0,2.111111111111111,1.0,2.0,9.5,0.05139168488700587,-0.5777777777777777,algae,1.0,0.31577418546860875,False,False
utumbi,genus,amblyglyphidodon,5,9,9.2,2.5555555555555554,9.0,2.0,37.5,0.05162975220947374,0.6666666666666666,fish,1.0,0.31577418546860875,False,False
utumbi,genus,anampses,5,9,0.0,0.5555555555555556,0.0,1.0,10.0,0.054484988097848554,-0.5555555555555556,algae,1.0,0.31577418546860875,False,False
utumbi,genus,scarus,5,9,0.6,1.0,1.0,1.0,13.5,0.06216341781313832,-0.4,algae,1.0,0.31577418546860875,False,False
utumbi,genus,heniochus,5,9,0.8,0.1111111111111111,1.0,0.0,34.0,0.06432437111397586,0.5111111111111111,fish,1.0,0.31577418546860875,False,False
utumbi,genus,pomacentrus,5,9,1.2,0.4444444444444444,1.0,0.0,34.5,0.09510189955698198,0.5333333333333333,fish,1.0,0.4236376911710541,False,False
