site,feature_type,feature,bait_a,bait_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,cliffs_delta,p_value_holm_within_feature,p_value_bh_within_feature,significant_holm_within_feature,significant_bh_within_feature
utumbi,genus,abudefduf,control,fischmix,4,2,0.5,1.0,2.0,0.4017356370553977,-0.5,1.0,0.6695593950923295,False,False
utumbi,genus,abudefduf,control,mackerel,4,3,0.5,3.3333333333333335,3.0,0.35434297896331657,-0.5,1.0,0.6643930855562186,False,False
utumbi,genus,abudefduf,control,sargassum,4,3,0.5,1.3333333333333333,3.0,0.34957480612329817,-0.5,1.0,0.6643930855562186,False,False
utumbi,genus,abudefduf,control,ulva_gutweed,4,3,0.5,1.3333333333333333,2.0,0.16745779160655272,-0.6666666666666666,1.0,0.5901168073768406,False,False
utumbi,genus,abudefduf,control,ulva_salad,4,3,0.5,0.0,9.0,0.2635524772829727,0.5,1.0,0.6588811932074318,False,False
utumbi,genus,abudefduf,fischmix,mackerel,2,3,1.0,3.3333333333333335,2.0,0.7670968684102772,-0.3333333333333333,1.0,0.8809143934693052,False,False
utumbi,genus,abudefduf,fischmix,sargassum,2,3,1.0,1.3333333333333333,2.0,0.7609067270751141,-0.3333333333333333,1.0,0.8809143934693052,False,False
utumbi,genus,abudefduf,fischmix,ulva_gutweed,2,3,1.0,1.3333333333333333,2.0,0.6830913983096087,-0.3333333333333333,1.0,0.8809143934693052,False,False
utumbi,genus,abudefduf,fischmix,ulva_salad,2,3,1.0,0.0,6.0,0.0955807045456294,1.0,1.0,0.5901168073768406,False,False
utumbi,genus,abudefduf,mackerel,sargassum,3,3,3.3333333333333335,1.3333333333333333,5.5,0.8136637157667919,0.2222222222222222,1.0,0.8809143934693052,False,False
utumbi,genus,abudefduf,mackerel,ulva_gutweed,3,3,3.3333333333333335,1.3333333333333333,5.5,0.8221867672380183,0.2222222222222222,1.0,0.8809143934693052,False,False
utumbi,genus,abudefduf,mackerel,ulva_salad,3,3,3.3333333333333335,0.0,7.5,0.19670560245894686,0.6666666666666666,1.0,0.5901168073768406,False,False
utumbi,genus,abudefduf,sargassum,ulva_gutweed,3,3,1.3333333333333333,1.3333333333333333,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
utumbi,genus,abudefduf,sargassum,ulva_salad,3,3,1.3333333333333333,0.0,7.5,0.18763232999488433,0.6666666666666666,1.0,0.5901168073768406,False,False
utumbi,genus,abudefduf,ulva_gutweed,ulva_salad,3,3,1.3333333333333333,0.0,9.0,0.05934643879191985,1.0,0.8901965818787978,0.5901168073768406,False,False
utumbi,genus,acanthurus,control,fischmix,4,2,1.25,0.0,7.0,0.2112995473337107,0.75,1.0,0.9987648241966978,False,False
utumbi,genus,acanthurus,control,mackerel,4,3,1.25,2.0,6.0,1.0,0.0,1.0,1.0,False,False
utumbi,genus,acanthurus,control,sargassum,4,3,1.25,1.0,7.0,0.8515956593128358,0.16666666666666666,1.0,1.0,False,False
utumbi,genus,acanthurus,control,ulva_gutweed,4,3,1.25,1.6666666666666667,5.0,0.853041076171313,-0.16666666666666666,1.0,1.0,False,False
utumbi,genus,acanthurus,control,ulva_salad,4,3,1.25,1.6666666666666667,5.0,0.853041076171313,-0.16666666666666666,1.0,1.0,False,False
utumbi,genus,acanthurus,fischmix,mackerel,2,3,0.0,2.0,1.0,0.3329216080655659,-0.6666666666666666,1.0,0.9987648241966978,False,False
utumbi,genus,acanthurus,fischmix,sargassum,2,3,0.0,1.0,1.0,0.3329216080655659,-0.6666666666666666,1.0,0.9987648241966978,False,False
utumbi,genus,acanthurus,fischmix,ulva_gutweed,2,3,0.0,1.6666666666666667,0.0,0.1281465612656797,-1.0,1.0,0.9610992094925976,False,False
utumbi,genus,acanthurus,fischmix,ulva_salad,2,3,0.0,1.6666666666666667,0.0,0.1281465612656797,-1.0,1.0,0.9610992094925976,False,False
utumbi,genus,acanthurus,mackerel,sargassum,3,3,2.0,1.0,5.0,1.0,0.1111111111111111,1.0,1.0,False,False
utumbi,genus,acanthurus,mackerel,ulva_gutweed,3,3,2.0,1.6666666666666667,4.0,1.0,-0.1111111111111111,1.0,1.0,False,False
utumbi,genus,acanthurus,mackerel,ulva_salad,3,3,2.0,1.6666666666666667,4.0,1.0,-0.1111111111111111,1.0,1.0,False,False
utumbi,genus,acanthurus,sargassum,ulva_gutweed,3,3,1.0,1.6666666666666667,3.0,0.6428348264908044,-0.3333333333333333,1.0,1.0,False,False
utumbi,genus,acanthurus,sargassum,ulva_salad,3,3,1.0,1.6666666666666667,3.0,0.6428348264908044,-0.3333333333333333,1.0,1.0,False,False
utumbi,genus,acanthurus,ulva_gutweed,ulva_salad,3,3,1.6666666666666667,1.6666666666666667,4.5,1.0,0.0,1.0,1.0,False,False
utumbi,genus,aethaloperca,control,fischmix,4,2,1.0,2.0,0.0,0.050399282871482265,-1.0,0.6559584864542326,0.2519964143574113,False,False
utumbi,genus,aethaloperca,control,mackerel,4,3,1.0,2.0,0.0,0.024744672046398936,-1.0,0.371170080695984,0.2519964143574113,False,False
utumbi,genus,aethaloperca,control,sargassum,4,3,1.0,1.3333333333333333,4.0,0.3864762307712327,-0.3333333333333333,1.0,0.5797143461568491,False,False
utumbi,genus,aethaloperca,control,ulva_gutweed,4,3,1.0,1.3333333333333333,4.0,0.3864762307712327,-0.3333333333333333,1.0,0.5797143461568491,False,False
