filename,site,bait,bait_type,abudefduf,acanthurus,aethaloperca,amblyglyphidodon,anampses,aulostomus,balistapus,bodianus,calotomus,cantherhines,canthigaster,caranx,centropyge,cephalopholis,chaetodon,cheilinus,chlorurus,chromis,ctenochaetus,epibulus,epinephelus,forcipiger,genus caesio,genus chromis,genus naso,genus soldier,genus squirrel,gomphosus,halichoeres,hemigymnus,hemitaurichthys,heniochus,labrichthys,labroides,lethrinus,lutjanus,meiacanthus,monotaxis,naso,novaculichthys,oxycheilinus,paracirrhites,parapercis,parupeneus,pomacentrus,pseudocheilinus,pycnochromis,pygoplites,scarus,scolopsis,siganus,thalassoma,zanclus,zebrasoma
20240516-utumbi-mackerel.csv,utumbi,mackerel,fish,2.0,5.0,2.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,121.0,2.0,0.0,0.0,0.0,0.0,72.0,1.0,7.0,4.0,3.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,3.0,2.0,2.0,12.0,0.0,1.0,0.0,0.0,1.0,1.0,11.0,97.0,2.0,0.0,0.0,1.0,3.0,2.0,12.0
20241025-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,24.0,2.0,0.0,0.0,1.0,0.0,61.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,140.0,0.0,1.0,0.0,2.0,2.0,2.0,3.0
20241026-utumbi-mackerel.csv,utumbi,mackerel,fish,0.0,1.0,2.0,6.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,17.0,2.0,0.0,2.0,0.0,0.0,13.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,127.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0
20241027-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,0.0,1.0,1.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,6.0,58.0,2.0,1.0,1.0,0.0,48.0,0.0,1.0,6.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,64.0,1.0,1.0,2.0,0.0,5.0,1.0,2.0
20241029-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,3.0,0.0,5.0,55.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,56.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0
20241030-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,1.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,13.0,3.0,1.0,0.0,0.0,0.0,35.0,1.0,3.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,34.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0
20241105-utumbi-control.csv,utumbi,control,control,1.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,112.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,32.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,43.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0
20241110-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,0.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,56.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,42.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0
20241111-utumbi-control.csv,utumbi,control,control,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,47.0,0.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,55.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0
20241112-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,66.0,1.0,1.0,0.0,2.0,1.0,2.0,4.0
20241114-utumbi-control.csv,utumbi,control,control,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,21.0,4.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,28.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
20241115-utumbi-control.csv,utumbi,control,control,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,83.0,1.0,4.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,51.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0
20241124-utumbi-mackerel.csv,utumbi,mackerel,fish,8.0,0.0,2.0,18.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,94.0,0.0,3.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,27.0,1.0,1.0,0.0,2.0,6.0,0.0,2.0
20241127-utumbi-sargassum.csv,utumbi,sargassum,algae,2.0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,54.0,1.0,0.0,0.0,0.0,24.0,6.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,1.0,1.0,31.0,2.0,1.0,0.0,0.0,2.0,4.0,2.0
20241128-utumbi-sargassum.csv,utumbi,sargassum,algae,0.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,2.0,8.0,0.0,3.0,1.0,0.0,1.0,0.0,62.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,29.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0
20241129-utumbi-sargassum.csv,utumbi,sargassum,algae,2.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,34.0,0.0,3.0,5.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,4.0,0.0,1.0,15.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0
