site,feature_type,feature,n_fish,n_algae,mean_fish,mean_algae,median_fish,median_algae,u_stat,p_value,cliffs_delta_fish_minus_algae,higher_side,p_value_holm,p_value_bh,significant_holm,significant_bh
utumbi,unspecific,eels,5,9,1.2,0.0,1.0,0.0,40.5,0.0033589250424477467,0.8,fish,0.04702495059426846,0.025688551410771702,True,True
utumbi,unspecific,wrasses,5,9,7.4,2.888888888888889,7.0,3.0,44.5,0.0036697930586816717,0.9777777777777777,fish,0.047707309762861735,0.025688551410771702,True,True
utumbi,unspecific,odd-shaped swimmers,5,9,6.2,3.0,5.0,2.0,41.0,0.009999774852176395,0.8222222222222222,fish,0.11999729822611674,0.04666561597682317,False,True
utumbi,unspecific,heavy bodies/large lips,5,9,2.4,1.6666666666666667,2.0,2.0,36.0,0.04181957236765628,0.6,fish,0.4600152960442191,0.14636850328679699,False,False
utumbi,unspecific,sloping heads,5,9,2.2,1.4444444444444444,2.0,1.0,33.0,0.16064973533913307,0.4666666666666667,fish,1.0,0.44981925894957264,False,False
utumbi,unspecific,blennies,5,9,1.2,0.6666666666666666,1.0,1.0,31.5,0.2026190437742572,0.4,fish,1.0,0.47277776880660016,False,False
utumbi,unspecific,disk-shaped/colourful,5,9,2.0,2.2222222222222223,2.0,2.0,17.5,0.3234363510452939,-0.2222222222222222,algae,1.0,0.6099106509493138,False,False
utumbi,unspecific,parrotfishes,5,9,8.8,18.77777777777778,7.0,11.0,15.0,0.34852037197103647,-0.3333333333333333,algae,1.0,0.6099106509493138,False,False
utumbi,unspecific,silvery,5,9,2.0,1.6666666666666667,2.0,1.0,29.0,0.413788249713094,0.28888888888888886,fish,1.0,0.6436706106648129,False,False
utumbi,unspecific,slender schoolers/colourful,5,9,20.0,32.55555555555556,21.0,24.0,19.0,0.6824720954905695,-0.15555555555555556,algae,1.0,0.8433471059339125,False,False
utumbi,unspecific,small ovals - damselfishes,5,9,83.6,63.0,94.0,56.0,26.0,0.688832256734949,0.15555555555555556,fish,1.0,0.8433471059339125,False,False
utumbi,unspecific,elongate sand & burrow dwellers,5,9,0.2,0.1111111111111111,0.0,0.0,24.5,0.7420496489818271,0.08888888888888889,fish,1.0,0.8433471059339125,False,False
utumbi,unspecific,large ovals,5,9,5.0,3.5555555555555554,3.0,3.0,25.0,0.783108026938633,0.1111111111111111,fish,1.0,0.8433471059339125,False,False
utumbi,unspecific,reddish/big eyes,5,9,5.0,4.888888888888889,5.0,5.0,23.5,0.9456407462388309,0.044444444444444446,fish,1.0,0.9456407462388309,False,False
