filename,site,bait,bait_type,blennies,disk-shaped/colourful,eels,elongate sand & burrow dwellers,heavy bodies/large lips,large ovals,odd-shaped swimmers,parrotfishes,reddish/big eyes,silvery,slender schoolers/colourful,sloping heads,small ovals - damselfishes,wrasses
20240516-utumbi-mackerel.csv,utumbi,mackerel,fish,2.0,2.0,2.0,0.0,3.0,12.0,5.0,7.0,7.0,1.0,0.0,3.0,121.0,11.0
20241025-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,1.0,2.0,0.0,0.0,1.0,4.0,2.0,84.0,3.0,6.0,88.0,0.0,140.0,4.0
20241026-utumbi-mackerel.csv,utumbi,mackerel,fish,1.0,2.0,0.0,0.0,2.0,2.0,6.0,12.0,3.0,3.0,42.0,1.0,127.0,5.0
20241027-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,1.0,2.0,0.0,0.0,2.0,2.0,2.0,7.0,6.0,0.0,48.0,2.0,64.0,5.0
20241029-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,1.0,3.0,0.0,0.0,2.0,3.0,2.0,11.0,6.0,2.0,0.0,1.0,56.0,2.0
20241030-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,1.0,3.0,0.0,0.0,2.0,3.0,2.0,13.0,6.0,0.0,0.0,3.0,35.0,3.0
20241105-utumbi-control.csv,utumbi,control,control,1.0,2.0,0.0,1.0,1.0,32.0,3.0,2.0,6.0,0.0,0.0,1.0,112.0,3.0
20241110-utumbi-ulva_salad.csv,utumbi,ulva_salad,algae,0.0,2.0,0.0,0.0,1.0,7.0,2.0,9.0,4.0,2.0,87.0,1.0,56.0,3.0
20241111-utumbi-control.csv,utumbi,control,control,0.0,2.0,0.0,0.0,2.0,3.0,4.0,13.0,4.0,1.0,0.0,1.0,55.0,2.0
20241112-utumbi-ulva_gutweed.csv,utumbi,ulva_gutweed,algae,0.0,2.0,0.0,0.0,1.0,4.0,2.0,5.0,5.0,0.0,0.0,1.0,66.0,1.0
20241114-utumbi-control.csv,utumbi,control,control,1.0,2.0,0.0,0.0,2.0,4.0,1.0,6.0,3.0,0.0,2.0,1.0,28.0,2.0
20241115-utumbi-control.csv,utumbi,control,control,1.0,2.0,0.0,0.0,2.0,2.0,2.0,7.0,4.0,0.0,2.0,1.0,83.0,3.0
20241124-utumbi-mackerel.csv,utumbi,mackerel,fish,0.0,2.0,2.0,0.0,2.0,3.0,5.0,16.0,5.0,2.0,0.0,3.0,94.0,6.0
20241127-utumbi-sargassum.csv,utumbi,sargassum,algae,1.0,2.0,0.0,1.0,2.0,4.0,9.0,17.0,5.0,1.0,24.0,1.0,54.0,2.0
20241128-utumbi-sargassum.csv,utumbi,sargassum,algae,0.0,2.0,0.0,0.0,2.0,3.0,2.0,8.0,4.0,4.0,18.0,2.0,62.0,3.0
20241129-utumbi-sargassum.csv,utumbi,sargassum,algae,1.0,2.0,0.0,0.0,2.0,2.0,4.0,15.0,5.0,0.0,28.0,2.0,34.0,3.0
20241209-utumbi-fischmix.csv,utumbi,fischmix,fish,1.0,2.0,1.0,1.0,3.0,5.0,10.0,7.0,7.0,3.0,37.0,2.0,49.0,8.0
20241210-utumbi-fischmix.csv,utumbi,fischmix,fish,2.0,2.0,1.0,0.0,2.0,3.0,5.0,2.0,3.0,1.0,21.0,2.0,27.0,7.0
