filename,date,site,bait,bait_type,maxn_by_type
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel,fish,"{'family': {'pomacentridae': 121, 'labridae': 11, 'scaridae': 7, 'pomacanthidae': 2, 'balistidae': 5, 'chaetodontidae': 2, 'acanthuridae': 12, 'serranidae': 3, 'holocentridae': 7, 'carangidae': 1, 'zanclidae': 2, 'lutjanidae': 3, 'lethrinidae': 2, 'muraenidae': 2, 'monacanthidae': 1, 'blenniidae': 2, 'siganidae': 1, 'mullidae': 1}, 'genus': {'pycnochromis': 97, 'pseudocheilinus': 11, 'pygoplites': 2, 'balistapus': 5, 'chaetodon': 2, 'acanthurus': 5, 'zebrasoma': 12, 'naso': 12, 'cephalopholis': 2, 'genus squirrel': 4, 'genus chromis': 72, 'labroides': 4, 'gomphosus': 3, 'genus soldier': 7, 'ctenochaetus': 2, 'bodianus': 1, 'thalassoma': 3, 'oxycheilinus': 1, 'hemigymnus': 1, 'cheilinus': 1, 'chromis': 121, 'scomberoides': 1, 'pomacentrus': 1, 'zanclus': 2, 'lutjanus': 3, 'heniochus': 2, 'monotaxis': 2, 'gymnothorax': 2, 'abudefduf': 2, 'aluterus': 1, 'amblyglyphidodon': 1, 'aethaloperca': 2, 'plagiotremus': 1, 'chlorurus': 1, 'siganus': 1, 'genus naso': 1, 'parupeneus': 1, 'calotomus': 1, 'labrichthys': 1, 'centropyge': 1, 'meiacanthus': 2}, 'unspecific': {'small ovals - damselfishes': 121, 'wrasses': 11, 'parrotfishes': 7, 'disk-shaped/colourful': 2, 'odd-shaped swimmers': 5, 'large ovals': 12, 'heavy bodies/large lips': 3, 'reddish/big eyes': 7, 'silvery': 1, 'sloping heads': 3, 'eels': 2, 'blennies': 2}, 'word_group': {'small_ovals_damselfishes': 121, 'wrasses': 11, 'parrotfishes': 7, 'angelfishes': 2, 'triggerfishes': 5, 'butterflyfishes': 2, 'surgeonfishes': 12, 'groupers_large': 3, 'moorish_idol': 2, 'snappers': 3, 'emperors': 2, 'eels': 2, 'filefishes': 1, 'blennies': 2, 'rabbitfishes': 1, 'goatfishes': 1}, 'diet': {'algae': 121, 'plankton': 121, 'invertebrates': 11, 'fish': 3}, 'composite_group': {'herbivore_extended_with_damselfishes': 121, 'algae_oriented_diet_mode': 121, 'plankton_oriented_diet_mode': 121, 'wrasses_trigger_combo': 11, 'invertebrate_oriented_diet_mode': 11, 'herbivore_core_families': 12, 'bioeroder_set': 7, 'invertivore_benthic_core': 5, 'invertivore_general': 5, 'fish_oriented_diet_mode': 3, 'piscivore_core_families': 3, 'piscivore_active_hunters': 3, 'snappers_groupers_combo': 3, 'predator_reef_core': 3, 'nocturnal_predator_mixture': 3, 'omnivore_box_puffer_file': 1}}"
20241025-utumbi-ulva_salad.csv,20241025,utumbi,ulva_salad,algae,"{'family': {'chaetodontidae': 2, 'labridae': 4, 'holocentridae': 3, 'balistidae': 2, 'acanthuridae': 4, 'zanclidae': 2, 'serranidae': 1, 'pomacentridae': 140, 'aulostomidae': 2, 'scaridae': 84, 'mullidae': 2, 'tetraodontidae': 1, 'carangidae': 6, 'pomacanthidae': 1, 'siganidae': 2, 'caesionidae': 88, 'cirrhitidae': 1, 'blenniidae': 1}, 'genus': {'chaetodon': 2, 'thalassoma': 2, 'genus soldier': 3, 'balistapus': 2, 'zebrasoma': 3, 'naso': 4, 'hemigymnus': 1, 'zanclus': 2, 'ctenochaetus': 2, 'chromis': 24, 'aulostomus': 2, 'gomphosus': 1, 'parupeneus': 2, 'canthigaster': 1, 'pycnochromis': 140, 'genus naso': 1, 'bodianus': 1, 'forcipiger': 1, 'aethaloperca': 1, 'genus squirrel': 1, 'chlorurus': 2, 'pseudocheilinus': 4, 'scarus': 1, 'pomacentrus': 1, 'centropyge': 1, 'siganus': 2, 'labroides': 1, 'acanthurus': 1, 'cephalopholis': 1, 'oxycheilinus': 1, 'genus chromis': 61, 'paracirrhites': 1, 'meiacanthus': 1, 'anampses': 1, 'halichoeres': 1, 'stethojulis': 1}, 'unspecific': {'disk-shaped/colourful': 2, 'wrasses': 4, 'reddish/big eyes': 3, 'odd-shaped swimmers': 2, 'large ovals': 4, 'heavy bodies/large lips': 1, 'small ovals - damselfishes': 140, 'parrotfishes': 84, 'silvery': 6, 'slender schoolers/colourful': 88, 'blennies': 1}, 'word_group': {'butterflyfishes': 2, 'wrasses': 4, 'triggerfishes': 2, 'surgeonfishes': 4, 'moorish_idol': 2, 'groupers_large': 1, 'small_ovals_damselfishes': 140, 'trumpetfishes': 2, 'parrotfishes': 84, 'goatfishes': 2, 'puffers': 1, 'angelfishes': 1, 'rabbitfishes': 2, 'fusiliers': 88, 'hawkfishes': 1, 'blennies': 1}, 'diet': {'invertebrates': 4, 'fish': 2, 'plankton': 140, 'algae': 140}, 'composite_group': {'fish_oriented_diet_mode': 2, 'invertebrate_oriented_diet_mode': 4, 'wrasses_trigger_combo': 4, 'plankton_oriented_diet_mode': 140, 'invertivore_benthic_core': 2, 'invertivore_general': 2, 'bioeroder_set': 84, 'herbivore_core_families': 84, 'herbivore_extended_with_damselfishes': 140, 'algae_oriented_diet_mode': 140, 'piscivore_core_families': 2, 'piscivore_active_hunters': 2, 'snappers_groupers_combo': 1, 'predator_reef_core': 1, 'omnivore_box_puffer_file': 1, 'planktivore_core': 88}}"
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,fish,"{'family': {'balistidae': 6, 'pomacentridae': 127, 'scaridae': 12, 'lutjanidae': 1, 'labridae': 5, 'serranidae': 2, 'mullidae': 1, 'acanthuridae': 2, 'carangidae': 3, 'pomacanthidae': 1, 'holocentridae': 3, 'chaetodontidae': 2, 'aulostomidae': 2, 'blenniidae': 1, 'caesionidae': 42}, 'genus': {'balistapus': 6, 'pomacentrus': 2, 'amblyglyphidodon': 6, 'pycnochromis': 127, 'scarus': 1, 'lutjanus': 1, 'thalassoma': 3, 'aethaloperca': 2, 'parupeneus': 1, 'acanthurus': 1, 'zebrasoma': 1, 'caranx': 3, 'gomphosus': 1, 'pygoplites': 1, 'labroides': 2, 'chlorurus': 1, 'chromis': 17, 'genus soldier': 3, 'genus naso': 1, 'chaetodon': 2, 'cheilinus': 1, 'naso': 1, 'aulostomus': 2, 'pseudocheilinus': 5, 'hemigymnus': 2, 'centropyge': 1, 'ctenochaetus': 2, 'oxycheilinus': 1, 'cephalopholis': 1, 'coris': 1, 'genus chromis': 13, 'halichoeres': 1, 'epinephelus': 2}, 'unspecific': {'odd-shaped swimmers': 6, 'small ovals - damselfishes': 127, 'parrotfishes': 12, 'sloping heads': 1, 'wrasses': 5, 'heavy bodies/large lips': 2, 'large ovals': 2, 'silvery': 3, 'disk-shaped/colourful': 2, 'reddish/big eyes': 3, 'blennies': 1, 'slender schoolers/colourful': 42}, 'word_group': {'triggerfishes': 6, 'small_ovals_damselfishes': 127, 'parrotfishes': 12, 'snappers': 1, 'wrasses': 5, 'groupers_large': 2, 'goatfishes': 1, 'surgeonfishes': 2, 'angelfishes': 1, 'butterflyfishes': 2, 'trumpetfishes': 2, 'blennies': 1, 'fusiliers': 42}, 'diet': {'invertebrates': 6, 'algae': 127, 'plankton': 127, 'fish': 2}, 'composite_group': {'invertivore_benthic_core': 6, 'invertivore_general': 6, 'wrasses_trigger_combo': 6, 'bioeroder_set': 12, 'invertebrate_oriented_diet_mode': 6, 'herbivore_extended_with_damselfishes': 127, 'algae_oriented_diet_mode': 127, 'plankton_oriented_diet_mode': 127, 'herbivore_core_families': 12, 'piscivore_core_families': 2, 'piscivore_active_hunters': 2, 'snappers_groupers_combo': 2, 'predator_reef_core': 2, 'nocturnal_predator_mixture': 1, 'fish_oriented_diet_mode': 2, 'planktivore_core': 42}}"
20241027-utumbi-ulva_salad.csv,20241027,utumbi,ulva_salad,algae,"{'family': {'labridae': 5, 'pomacentridae': 64, 'lutjanidae': 1, 'acanthuridae': 2, 'scaridae': 7, 'serranidae': 2, 'balistidae': 2, 'holocentridae': 6, 'mullidae': 2, 'blenniidae': 1, 'pomacanthidae': 1, 'cirrhitidae': 1, 'aulostomidae': 2, 'chaetodontidae': 2, 'zanclidae': 1, 'lethrinidae': 1, 'caesionidae': 48, 'nemipteridae': 2}, 'genus': {'thalassoma': 5, 'amblyglyphidodon': 4, 'lutjanus': 1, 'pycnochromis': 64, 'acanthurus': 1, 'chromis': 58, 'epinephelus': 1, 'balistapus': 2, 'genus soldier': 6, 'bodianus': 1, 'genus squirrel': 5, 'ctenochaetus': 2, 'naso': 1, 'scarus': 1, 'gomphosus': 2, 'pseudocheilinus': 3, 'parupeneus': 2, 'hemigymnus': 1, 'aethaloperca': 1, 'centropyge': 1, 'chlorurus': 6, 'meiacanthus': 1, 'paracirrhites': 1, 'genus naso': 1, 'halichoeres': 1, 'cheilinus': 1, 'pygoplites': 1, 'aulostomus': 2, 'chaetodon': 2, 'zanclus': 1, 'monotaxis': 1, 'zebrasoma': 2, 'epibulus': 1, 'genus caesio': 48, 'scolopsis': 2, 'lethrinus': 1, 'coris': 1, 'cetoscarus': 1, 'labrichthys': 1}, 'unspecific': {'wrasses': 5, 'small ovals - damselfishes': 64, 'sloping heads': 2, 'large ovals': 2, 'parrotfishes': 7, 'heavy bodies/large lips': 2, 'odd-shaped swimmers': 2, 'reddish/big eyes': 6, 'blennies': 1, 'disk-shaped/colourful': 2, 'slender schoolers/colourful': 48}, 'word_group': {'wrasses': 5, 'small_ovals_damselfishes': 64, 'snappers': 1, 'surgeonfishes': 2, 'parrotfishes': 7, 'groupers_large': 2, 'triggerfishes': 2, 'goatfishes': 2, 'blennies': 1, 'angelfishes': 1, 'hawkfishes': 1, 'trumpetfishes': 2, 'butterflyfishes': 2, 'moorish_idol': 1, 'emperors': 1, 'fusiliers': 48, 'coral_breams': 2}, 'diet': {'invertebrates': 5, 'plankton': 64, 'algae': 64, 'fish': 2}, 'composite_group': {'wrasses_trigger_combo': 5, 'invertebrate_oriented_diet_mode': 5, 'plankton_oriented_diet_mode': 64, 'herbivore_extended_with_damselfishes': 64, 'algae_oriented_diet_mode': 64, 'piscivore_core_families': 2, 'piscivore_active_hunters': 2, 'snappers_groupers_combo': 2, 'predator_reef_core': 2, 'nocturnal_predator_mixture': 1, 'fish_oriented_diet_mode': 2, 'herbivore_core_families': 7, 'bioeroder_set': 7, 'invertivore_benthic_core': 2, 'invertivore_general': 2, 'planktivore_core': 48}}"
20241029-utumbi-ulva_gutweed.csv,20241029,utumbi,ulva_gutweed,algae,"{'family': {'serranidae': 2, 'pomacentridae': 56, 'labridae': 2, 'balistidae': 2, 'lutjanidae': 1, 'holocentridae': 6, 'blenniidae': 1, 'acanthuridae': 3, 'carangidae': 2, 'scorpaenidae': 1, 'pomacanthidae': 3, 'scaridae': 11, 'mullidae': 2, 'lethrinidae': 1, 'aulostomidae': 1, 'chaetodontidae': 3, 'zanclidae': 2, 'siganidae': 2, 'monacanthidae': 1, 'scombridae': 1}, 'genus': {'epinephelus': 1, 'amblyglyphidodon': 2, 'cephalopholis': 1, 'thalassoma': 2, 'pycnochromis': 56, 'balistapus': 2, 'lutjanus': 1, 'genus soldier': 4, 'meiacanthus': 1, 'genus squirrel': 6, 'pseudocheilinus': 2, 'acanthurus': 1, 'caranx': 2, 'pygoplites': 2, 'abudefduf': 2, 'genus ctenochaetus': 3, 'gomphosus': 2, 'halichoeres': 1, 'hemigymnus': 1, 'aethaloperca': 1, 'parupeneus': 2, 'chromis': 55, 'epibulus': 1, 'monotaxis': 1, 'centropyge': 3, 'chlorurus': 5, 'aulostomus': 1, 'chaetodon': 3, 'zanclus': 2, 'genus naso': 1, 'siganus': 2, 'scarus': 1, 'lethrinus': 1, 'pomacentrus': 1, 'labroides': 1, 'cantherhines': 1}, 'unspecific': {'heavy bodies/large lips': 2, 'small ovals - damselfishes': 56, 'wrasses': 2, 'odd-shaped swimmers': 2, 'sloping heads': 1, 'reddish/big eyes': 6, 'blennies': 1, 'large ovals': 3, 'silvery': 2, 'odd-shaped bottom dwellers': 1, 'disk-shaped/colourful': 3, 'parrotfishes': 11}, 'word_group': {'groupers_large': 2, 'small_ovals_damselfishes': 56, 'wrasses': 2, 'triggerfishes': 2, 'snappers': 1, 'blennies': 1, 'surgeonfishes': 3, 'angelfishes': 3, 'parrotfishes': 11, 'goatfishes': 2, 'emperors': 1, 'trumpetfishes': 1, 'butterflyfishes': 3, 'moorish_idol': 2, 'rabbitfishes': 2, 'filefishes': 1}, 'diet': {'fish': 3, 'algae': 56, 'plankton': 56, 'invertebrates': 3}, 'composite_group': {'piscivore_core_families': 3, 'piscivore_active_hunters': 3, 'snappers_groupers_combo': 2, 'predator_reef_core': 2, 'fish_oriented_diet_mode': 3, 'herbivore_extended_with_damselfishes': 56, 'algae_oriented_diet_mode': 56, 'plankton_oriented_diet_mode': 56, 'wrasses_trigger_combo': 2, 'invertebrate_oriented_diet_mode': 3, 'invertivore_benthic_core': 2, 'invertivore_general': 2, 'bioeroder_set': 11, 'nocturnal_predator_mixture': 1, 'herbivore_core_families': 11, 'omnivore_box_puffer_file': 1}}"
20241030-utumbi-ulva_gutweed.csv,20241030,utumbi,ulva_gutweed,algae,"{'family': {'pomacentridae': 35, 'pomacanthidae': 3, 'scaridae': 13, 'acanthuridae': 3, 'labridae': 3, 'lutjanidae': 1, 'balistidae': 2, 'blenniidae': 1, 'holocentridae': 6, 'mullidae': 1, 'serranidae': 2, 'aulostomidae': 1, 'siganidae': 2, 'cirrhitidae': 1, 'zanclidae': 2, 'chaetodontidae': 1, 'diodontidae': 1, 'lethrinidae': 1, 'monacanthidae': 1, 'nemipteridae': 3}, 'genus': {'pycnochromis': 34, 'centropyge': 3, 'acanthurus': 3, 'amblyglyphidodon': 2, 'thalassoma': 2, 'lutjanus': 1, 'chlorurus': 3, 'naso': 1, 'balistapus': 2, 'meiacanthus': 1, 'ctenochaetus': 3, 'genus soldier': 3, 'chromis': 13, 'halichoeres': 1, 'parupeneus': 1, 'pseudocheilinus': 3, 'genus squirrel': 6, 'cephalopholis': 1, 'bodianus': 1, 'hemigymnus': 1, 'genus naso': 1, 'genus chromis': 35, 'pygoplites': 1, 'abudefduf': 1, 'gomphosus': 2, 'scarus': 1, 'aulostomus': 1, 'aethaloperca': 2, 'siganus': 2, 'labroides': 1, 'paracirrhites': 1, 'zanclus': 2, 'calotomus': 1, 'chaetodon': 1, 'diodon': 1, 'cheilinus': 1, 'labrichthys': 1, 'epibulus': 1, 'lethrinus': 1, 'oxycheilinus': 1, 'cantherhines': 1, 'scolopsis': 3, 'sufflamen': 1}, 'unspecific': {'small ovals - damselfishes': 35, 'disk-shaped/colourful': 3, 'parrotfishes': 13, 'large ovals': 3, 'wrasses': 3, 'sloping heads': 3, 'odd-shaped swimmers': 2, 'blennies': 1, 'reddish/big eyes': 6, 'heavy bodies/large lips': 2}, 'word_group': {'small_ovals_damselfishes': 35, 'angelfishes': 3, 'parrotfishes': 13, 'surgeonfishes': 3, 'wrasses': 3, 'snappers': 1, 'triggerfishes': 2, 'blennies': 1, 'goatfishes': 1, 'groupers_large': 2, 'trumpetfishes': 1, 'rabbitfishes': 2, 'hawkfishes': 1, 'moorish_idol': 2, 'butterflyfishes': 1, 'porcupinefishes': 1, 'emperors': 1, 'filefishes': 1, 'coral_breams': 3}, 'diet': {'algae': 35, 'plankton': 35, 'invertebrates': 3, 'fish': 2}, 'composite_group': {'herbivore_extended_with_damselfishes': 35, 'algae_oriented_diet_mode': 35, 'plankton_oriented_diet_mode': 35, 'invertebrate_oriented_diet_mode': 3, 'herbivore_core_families': 13, 'bioeroder_set': 13, 'wrasses_trigger_combo': 3, 'piscivore_core_families': 2, 'piscivore_active_hunters': 2, 'snappers_groupers_combo': 2, 'predator_reef_core': 2, 'nocturnal_predator_mixture': 1, 'fish_oriented_diet_mode': 2, 'invertivore_benthic_core': 3, 'invertivore_general': 3, 'omnivore_box_puffer_file': 1}}"
20241105-utumbi-control.csv,20241105,utumbi,control,control,"{'family': {'pomacentridae': 112, 'labridae': 3, 'balistidae': 3, 'aulostomidae': 1, 'acanthuridae': 32, 'holocentridae': 6, 'lutjanidae': 1, 'mullidae': 2, 'pomacanthidae': 2, 'scaridae': 2, 'chaetodontidae': 2, 'serranidae': 1, 'zanclidae': 1, 'blenniidae': 1, 'pinguipedidae': 1}, 'genus': {'pycnochromis': 43, 'chromis': 112, 'amblyglyphidodon': 3, 'labroides': 2, 'thalassoma': 2, 'balistapus': 3, 'aulostomus': 1, 'ctenochaetus': 3, 'genus naso': 9, 'abudefduf': 1, 'genus squirrel': 6, 'lutjanus': 1, 'pomacentrus': 1, 'hemigymnus': 1, 'gomphosus': 1, 'parupeneus': 2, 'genus soldier': 2, 'naso': 32, 'centropyge': 2, 'cheilinus': 1, 'zebrasoma': 4, 'scarus': 1, 'hemitaurichthys': 1, 'aethaloperca': 1, 'zanclus': 1, 'bodianus': 1, 'chaetodon': 2, 'meiacanthus': 1, 'pygoplites': 2, 'chlorurus': 2, 'novaculichthys': 2, 'pseudocheilinus': 1, 'apolemichthys': 1, 'parapercis': 1}, 'unspecific': {'small ovals - damselfishes': 112, 'wrasses': 3, 'odd-shaped swimmers': 3, 'large ovals': 32, 'reddish/big eyes': 6, 'sloping heads': 1, 'disk-shaped/colourful': 2, 'parrotfishes': 2, 'heavy bodies/large lips': 1, 'blennies': 1, 'elongate sand & burrow dwellers': 1}, 'word_group': {'small_ovals_damselfishes': 112, 'wrasses': 3, 'triggerfishes': 3, 'trumpetfishes': 1, 'surgeonfishes': 32, 'snappers': 1, 'goatfishes': 2, 'angelfishes': 2, 'parrotfishes': 2, 'butterflyfishes': 2, 'groupers_large': 1, 'moorish_idol': 1, 'blennies': 1, 'elongate_sand_burrow_dwellers': 1}, 'diet': {'algae': 112, 'plankton': 112, 'invertebrates': 3, 'fish': 2}, 'composite_group': {'herbivore_extended_with_damselfishes': 112, 'algae_oriented_diet_mode': 112, 'plankton_oriented_diet_mode': 112, 'wrasses_trigger_combo': 3, 'invertebrate_oriented_diet_mode': 3, 'invertivore_benthic_core': 3, 'invertivore_general': 3, 'bioeroder_set': 3, 'piscivore_core_families': 1, 'piscivore_active_hunters': 1, 'fish_oriented_diet_mode': 2, 'herbivore_core_families': 32, 'snappers_groupers_combo': 1, 'predator_reef_core': 1, 'nocturnal_predator_mixture': 1}}"
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,algae,"{'family': {'pomacentridae': 56, 'labridae': 3, 'cirrhitidae': 1, 'balistidae': 2, 'holocentridae': 4, 'serranidae': 1, 'lutjanidae': 1, 'acanthuridae': 3, 'zanclidae': 2, 'mullidae': 1, 'scaridae': 9, 'pomacanthidae': 1, 'aulostomidae': 1, 'chaetodontidae': 2, 'carangidae': 2, 'caesionidae': 87, 'nemipteridae': 1, 'siganidae': 7}, 'genus': {'amblyglyphidodon': 2, 'thalassoma': 3, 'paracirrhites': 1, 'balistapus': 2, 'genus squirrel': 1, 'pycnochromis': 42, 'cephalopholis': 1, 'lutjanus': 1, 'genus soldier': 4, 'genus chromis': 56, 'gomphosus': 2, 'acanthurus': 3, 'zanclus': 2, 'parupeneus': 1, 'ctenochaetus': 2, 'pomacentrus': 1, 'centropyge': 1, 'scarus': 1, 'halichoeres': 1, 'zebrasoma': 1, 'epibulus': 1, 'aulostomus': 1, 'labroides': 1, 'chaetodon': 2, 'aethaloperca': 1, 'naso': 1, 'pygoplites': 1, 'pseudocheilinus': 1, 'hemigymnus': 1, 'chlorurus': 1, 'caranx': 2, 'genus naso': 1, 'pomacanthus': 1, 'scolopsis': 1, 'genus siganus': 7, 'anampses': 1}, 'unspecific': {'small ovals - damselfishes': 56, 'wrasses': 3, 'heavy bodies/large lips': 1, 'odd-shaped swimmers': 2, 'reddish/big eyes': 4, 'sloping heads': 1, 'large ovals': 7, 'parrotfishes': 9, 'disk-shaped/colourful': 2, 'silvery': 2, 'slender schoolers/colourful': 87}, 'word_group': {'small_ovals_damselfishes': 56, 'wrasses': 3, 'hawkfishes': 1, 'triggerfishes': 2, 'groupers_large': 1, 'snappers': 1, 'surgeonfishes': 3, 'moorish_idol': 2, 'goatfishes': 1, 'parrotfishes': 9, 'angelfishes': 1, 'trumpetfishes': 1, 'butterflyfishes': 2, 'fusiliers': 87, 'coral_breams': 1, 'rabbitfishes': 7}, 'diet': {'algae': 56, 'plankton': 87, 'invertebrates': 4, 'fish': 2}, 'composite_group': {'herbivore_extended_with_damselfishes': 56, 'algae_oriented_diet_mode': 56, 'plankton_oriented_diet_mode': 87, 'wrasses_trigger_combo': 3, 'invertebrate_oriented_diet_mode': 4, 'invertivore_general': 2, 'invertivore_benthic_core': 2, 'bioeroder_set': 9, 'piscivore_core_families': 2, 'piscivore_active_hunters': 2, 'snappers_groupers_combo': 2, 'predator_reef_core': 2, 'fish_oriented_diet_mode': 2, 'nocturnal_predator_mixture': 1, 'herbivore_core_families': 9, 'planktivore_core': 87}}"
20241111-utumbi-control.csv,20241111,utumbi,control,control,"{'family': {'labridae': 2, 'holocentridae': 4, 'pomacentridae': 55, 'acanthuridae': 3, 'lutjanidae': 1, 'balistidae': 1, 'serranidae': 1, 'scaridae': 13, 'cirrhitidae': 2, 'mullidae': 1, 'chaetodontidae': 2, 'pomacanthidae': 2, 'monacanthidae': 4, 'zanclidae': 1, 'carangidae': 1, 'aulostomidae': 1, 'tetraodontidae': 1, 'nemipteridae': 1}, 'genus': {'labroides': 1, 'genus squirrel': 4, 'amblyglyphidodon': 1, 'pycnochromis': 55, 'thalassoma': 2, 'zebrasoma': 1, 'acanthurus': 2, 'lutjanus': 1, 'genus chromis': 47, 'genus soldier': 2, 'ctenochaetus': 3, 'balistapus': 1, 'naso': 1, 'gomphosus': 2, 'scarus': 1, 'paracirrhites': 2, 'parupeneus': 1, 'chaetodon': 2, 'pygoplites': 1, 'pseudocheilinus': 1, 'cantherhines': 2, 'hemigymnus': 2, 'centropyge': 2, 'chlorurus': 3, 'novaculichthys': 1, 'zanclus': 1, 'caranx': 1, 'aulostomus': 1, 'epibulus': 1, 'canthigaster': 1, 'abudefduf': 1, 'oxymonacanthus': 4, 'anampses': 1, 'bodianus': 1, 'cephalopholis': 1, 'aethaloperca': 1, 'cheilinus': 1, 'oxycheilinus': 1, 'scolopsis': 1}, 'unspecific': {'wrasses': 2, 'reddish/big eyes': 4, 'small ovals - damselfishes': 55, 'large ovals': 3, 'sloping heads': 1, 'odd-shaped swimmers': 4, 'heavy bodies/large lips': 2, 'parrotfishes': 13, 'disk-shaped/colourful': 2, 'silvery': 1}, 'word_group': {'wrasses': 2, 'small_ovals_damselfishes': 55, 'surgeonfishes': 3, 'snappers': 1, 'triggerfishes': 1, 'groupers_large': 1, 'parrotfishes': 13, 'hawkfishes': 2, 'goatfishes': 1, 'butterflyfishes': 2, 'angelfishes': 2, 'filefishes': 4, 'moorish_idol': 1, 'trumpetfishes': 1, 'puffers': 1, 'coral_breams': 1}, 'diet': {'invertebrates': 4, 'plankton': 55, 'algae': 55, 'fish': 2}, 'composite_group': {'wrasses_trigger_combo': 2, 'invertebrate_oriented_diet_mode': 4, 'plankton_oriented_diet_mode': 55, 'herbivore_extended_with_damselfishes': 55, 'algae_oriented_diet_mode': 55, 'herbivore_core_families': 13, 'piscivore_core_families': 1, 'piscivore_active_hunters': 1, 'snappers_groupers_combo': 1, 'predator_reef_core': 1, 'nocturnal_predator_mixture': 1, 'fish_oriented_diet_mode': 2, 'invertivore_benthic_core': 1, 'invertivore_general': 2, 'bioeroder_set': 13, 'omnivore_box_puffer_file': 4}}"
20241112-utumbi-ulva_gutweed.csv,20241112,utumbi,ulva_gutweed,algae,"{'family': {'pomacentridae': 66, 'lutjanidae': 1, 'labridae': 1, 'acanthuridae': 4, 'balistidae': 2, 'scaridae': 5, 'holocentridae': 5, 'cirrhitidae': 1, 'mullidae': 1, 'lethrinidae': 1, 'chaetodontidae': 2, 'zanclidae': 2, 'pomacanthidae': 2, 'serranidae': 1, 'aulostomidae': 1, 'siganidae': 2, 'tetraodontidae': 1, 'monacanthidae': 1}, 'genus': {'amblyglyphidodon': 1, 'lutjanus': 1, 'pycnochromis': 66, 'thalassoma': 1, 'zebrasoma': 4, 'balistapus': 2, 'gomphosus': 1, 'genus soldier': 3, 'scarus': 1, 'paracirrhites': 1, 'acanthurus': 1, 'parupeneus': 1, 'monotaxis': 1, 'chaetodon': 2, 'chlorurus': 3, 'genus naso': 1, 'abudefduf': 1, 'pseudocheilinus': 1, 'ctenochaetus': 2, 'zanclus': 2, 'centropyge': 2, 'cheilinus': 1, 'heniochus': 1, 'genus chromis': 2, 'genus squirrel': 5, 'aethaloperca': 1, 'labrichthys': 1, 'hemigymnus': 1, 'oxycheilinus': 1, 'aulostomus': 1, 'pygoplites': 1, 'cetoscarus': 1, 'bodianus': 1, 'siganus': 2, 'labroides': 1, 'lethrinus': 1, 'epibulus': 1, 'cephalopholis': 1, 'anampses': 1, 'canthigaster': 1, 'halichoeres': 1, 'cantherhines': 1, 'calotomus': 1}, 'unspecific': {'small ovals - damselfishes': 66, 'sloping heads': 1, 'wrasses': 1, 'large ovals': 4, 'odd-shaped swimmers': 2, 'parrotfishes': 5, 'reddish/big eyes': 5, 'heavy bodies/large lips': 1, 'disk-shaped/colourful': 2}, 'word_group': {'small_ovals_damselfishes': 66, 'snappers': 1, 'wrasses': 1, 'surgeonfishes': 4, 'triggerfishes': 2, 'parrotfishes': 5, 'hawkfishes': 1, 'goatfishes': 1, 'emperors': 1, 'butterflyfishes': 2, 'moorish_idol': 2, 'angelfishes': 2, 'groupers_large': 1, 'trumpetfishes': 1, 'rabbitfishes': 2, 'puffers': 1, 'filefishes': 1}, 'diet': {'algae': 66, 'plankton': 66, 'fish': 2, 'invertebrates': 2}, 'composite_group': {'herbivore_extended_with_damselfishes': 66, 'algae_oriented_diet_mode': 66, 'plankton_oriented_diet_mode': 66, 'piscivore_core_families': 1, 'piscivore_active_hunters': 1, 'snappers_groupers_combo': 1, 'predator_reef_core': 1, 'nocturnal_predator_mixture': 1, 'fish_oriented_diet_mode': 2, 'invertebrate_oriented_diet_mode': 2, 'wrasses_trigger_combo': 2, 'herbivore_core_families': 5, 'invertivore_benthic_core': 2, 'invertivore_general': 2, 'bioeroder_set': 5, 'omnivore_box_puffer_file': 1}}"
