site,feature_type,feature,bait_a,bait_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,cliffs_delta,p_value_holm_within_feature,p_value_bh_within_feature,significant_holm_within_feature,significant_bh_within_feature
utumbi,word_group,angelfishes,control,fischmix,4,2,2.0,1.5,6.0,0.2888443663464849,0.5,1.0,0.4332665495197274,False,False
utumbi,word_group,angelfishes,control,mackerel,4,3,2.0,1.3333333333333333,10.0,0.11752486809663916,0.6666666666666666,1.0,0.2938121702415979,False,False
utumbi,word_group,angelfishes,control,sargassum,4,3,2.0,2.0,6.0,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,angelfishes,control,ulva_gutweed,4,3,2.0,2.6666666666666665,2.0,0.11752486809663916,-0.6666666666666666,1.0,0.2938121702415979,False,False
utumbi,word_group,angelfishes,control,ulva_salad,4,3,2.0,1.0,12.0,0.024744672046398936,1.0,0.371170080695984,0.2938121702415979,False,False
utumbi,word_group,angelfishes,fischmix,mackerel,2,3,1.5,1.3333333333333333,3.5,1.0,0.16666666666666666,1.0,1.0,False,False
utumbi,word_group,angelfishes,fischmix,sargassum,2,3,1.5,2.0,1.5,0.4142161782425252,-0.5,1.0,0.5177702228031565,False,False
utumbi,word_group,angelfishes,fischmix,ulva_gutweed,2,3,1.5,2.6666666666666665,0.5,0.2235428745713206,-0.8333333333333334,1.0,0.3725714576188677,False,False
utumbi,word_group,angelfishes,fischmix,ulva_salad,2,3,1.5,1.0,4.5,0.4142161782425252,0.5,1.0,0.5177702228031565,False,False
utumbi,word_group,angelfishes,mackerel,sargassum,3,3,1.3333333333333333,2.0,1.5,0.18763232999488433,-0.6666666666666666,1.0,0.3518106187404081,False,False
utumbi,word_group,angelfishes,mackerel,ulva_gutweed,3,3,1.3333333333333333,2.6666666666666665,0.5,0.11014892418594699,-0.8888888888888888,1.0,0.2938121702415979,False,False
utumbi,word_group,angelfishes,mackerel,ulva_salad,3,3,1.3333333333333333,1.0,6.0,0.5049850750938458,0.3333333333333333,1.0,0.5826750866467452,False,False
utumbi,word_group,angelfishes,sargassum,ulva_gutweed,3,3,2.0,2.6666666666666665,1.5,0.18763232999488433,-0.6666666666666666,1.0,0.3518106187404081,False,False
utumbi,word_group,angelfishes,sargassum,ulva_salad,3,3,2.0,1.0,9.0,0.04685417760387376,1.0,0.6559584864542326,0.2938121702415979,False,False
utumbi,word_group,angelfishes,ulva_gutweed,ulva_salad,3,3,2.6666666666666665,1.0,9.0,0.05934643879191985,1.0,0.7715037042949581,0.2938121702415979,False,False
utumbi,word_group,blennies,control,fischmix,4,2,0.75,1.5,1.5,0.27332167829229814,-0.625,1.0,1.0,False,False
utumbi,word_group,blennies,control,mackerel,4,3,0.75,1.0,5.0,0.8436689495519663,-0.16666666666666666,1.0,1.0,False,False
utumbi,word_group,blennies,control,sargassum,4,3,0.75,0.6666666666666666,6.5,1.0,0.08333333333333333,1.0,1.0,False,False
utumbi,word_group,blennies,control,ulva_gutweed,4,3,0.75,0.6666666666666666,6.5,1.0,0.08333333333333333,1.0,1.0,False,False
utumbi,word_group,blennies,control,ulva_salad,4,3,0.75,0.6666666666666666,6.5,1.0,0.08333333333333333,1.0,1.0,False,False
utumbi,word_group,blennies,fischmix,mackerel,2,3,1.5,1.0,4.0,0.7609067270751141,0.3333333333333333,1.0,1.0,False,False
utumbi,word_group,blennies,fischmix,sargassum,2,3,1.5,0.6666666666666666,5.0,0.3329216080655659,0.6666666666666666,1.0,1.0,False,False
utumbi,word_group,blennies,fischmix,ulva_gutweed,2,3,1.5,0.6666666666666666,5.0,0.3329216080655659,0.6666666666666666,1.0,1.0,False,False
utumbi,word_group,blennies,fischmix,ulva_salad,2,3,1.5,0.6666666666666666,5.0,0.3329216080655659,0.6666666666666666,1.0,1.0,False,False
utumbi,word_group,blennies,mackerel,sargassum,3,3,1.0,0.6666666666666666,5.5,0.8136637157667919,0.2222222222222222,1.0,1.0,False,False
utumbi,word_group,blennies,mackerel,ulva_gutweed,3,3,1.0,0.6666666666666666,5.5,0.8136637157667919,0.2222222222222222,1.0,1.0,False,False
utumbi,word_group,blennies,mackerel,ulva_salad,3,3,1.0,0.6666666666666666,5.5,0.8136637157667919,0.2222222222222222,1.0,1.0,False,False
utumbi,word_group,blennies,sargassum,ulva_gutweed,3,3,0.6666666666666666,0.6666666666666666,4.5,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,blennies,sargassum,ulva_salad,3,3,0.6666666666666666,0.6666666666666666,4.5,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,blennies,ulva_gutweed,ulva_salad,3,3,0.6666666666666666,0.6666666666666666,4.5,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,control,fischmix,4,2,2.0,2.0,4.0,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,control,mackerel,4,3,2.0,2.0,6.0,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,control,sargassum,4,3,2.0,1.6666666666666667,8.0,0.3864762307712327,0.3333333333333333,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,control,ulva_gutweed,4,3,2.0,2.0,6.0,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,control,ulva_salad,4,3,2.0,2.0,6.0,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,fischmix,mackerel,2,3,2.0,2.0,3.0,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,fischmix,sargassum,2,3,2.0,1.6666666666666667,4.0,0.6830913983096087,0.3333333333333333,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,fischmix,ulva_gutweed,2,3,2.0,2.0,3.0,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,fischmix,ulva_salad,2,3,2.0,2.0,3.0,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,mackerel,sargassum,3,3,2.0,1.6666666666666667,6.0,0.5049850750938458,0.3333333333333333,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,mackerel,ulva_gutweed,3,3,2.0,2.0,4.5,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,mackerel,ulva_salad,3,3,2.0,2.0,4.5,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,sargassum,ulva_gutweed,3,3,1.6666666666666667,2.0,3.5,0.8136637157667919,-0.2222222222222222,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,sargassum,ulva_salad,3,3,1.6666666666666667,2.0,3.0,0.5049850750938458,-0.3333333333333333,1.0,1.0,False,False
utumbi,word_group,butterflyfishes,ulva_gutweed,ulva_salad,3,3,2.0,2.0,4.5,1.0,0.0,1.0,1.0,False,False
utumbi,word_group,coral_breams,control,fischmix,4,2,0.5,0.0,6.0,0.4017356370553977,0.5,1.0,0.9446087456474965,False,False
utumbi,word_group,coral_breams,control,mackerel,4,3,0.5,0.0,9.0,0.2635524772829727,0.5,1.0,0.9446087456474965,False,False
utumbi,word_group,coral_breams,control,sargassum,4,3,0.5,0.0,9.0,0.2635524772829727,0.5,1.0,0.9446087456474965,False,False
utumbi,word_group,coral_breams,control,ulva_gutweed,4,3,0.5,1.0,6.0,1.0,0.0,1.0,1.0,False,False
