site,group,algae_median_feeding,fish_median_feeding,p_value,cliffs_delta,higher_side,p_value_holm,p_value_bh
nursery,composite::herbivore_core_families,16.0,0.0,0.011153175182896286,1.0,algae,0.2179531882591596,0.03996027520769103
nursery,composite::herbivore_extended_with_damselfishes,16.0,0.0,0.011153175182896286,1.0,algae,0.2179531882591596,0.03996027520769103
nursery,composite::invertivore_general,0.0,0.0,0.5402913746074198,0.16666666666666666,fish,1.0,0.5402913746074198
nursery,composite::piscivore_core_families,0.0,4.0,0.022478873366125265,-0.875,fish,0.29222535375962844,0.05245070452095895
nursery,family::acanthuridae,11.0,0.0,0.011417221487911723,1.0,algae,0.2179531882591596,0.03996027520769103
nursery,family::chaetodontidae,0.0,1.0,0.23784041028532932,-0.4166666666666667,fish,1.0,0.4035073427797064
nursery,family::labridae,0.0,0.0,0.5402913746074198,0.16666666666666666,fish,1.0,0.5402913746074198
nursery,family::lethrinidae,0.0,0.0,0.30743416592739536,-0.25,fish,1.0,0.4035073427797064
nursery,family::lutjanidae,0.0,4.0,0.0165621530716067,-0.9166666666666666,fish,0.2484322960741005,0.043475651812967586
nursery,family::mullidae,0.0,0.0,0.2838764745722945,0.3333333333333333,fish,1.0,0.4035073427797064
nursery,family::muraenidae,0.0,0.0,0.5402913746074198,0.16666666666666666,fish,1.0,0.5402913746074198
nursery,family::scaridae,1.0,0.0,0.07054262201250476,0.6666666666666666,algae,0.8465114641500571,0.1346722783875091
nursery,family::serranidae,0.0,0.0,0.30743416592739536,-0.25,fish,1.0,0.4035073427797064
nursery,family::siganidae,1.5,0.0,0.010378723250436171,1.0,algae,0.2179531882591596,0.03996027520769103
nursery,word_group::eels,0.0,0.0,0.5402913746074198,0.16666666666666666,fish,1.0,0.5402913746074198
nursery,word_group::groupers_large,0.0,0.0,0.30743416592739536,-0.25,fish,1.0,0.4035073427797064
nursery,word_group::parrotfishes,1.0,0.0,0.07054262201250476,0.6666666666666666,algae,0.8465114641500571,0.1346722783875091
nursery,word_group::rabbitfishes,1.5,0.0,0.010378723250436171,1.0,algae,0.2179531882591596,0.03996027520769103
nursery,word_group::snappers,0.0,4.0,0.0165621530716067,-0.9166666666666666,fish,0.2484322960741005,0.043475651812967586
nursery,word_group::surgeonfishes,11.0,0.0,0.011417221487911723,1.0,algae,0.2179531882591596,0.03996027520769103
nursery,word_group::wrasses,0.0,0.0,0.5402913746074198,0.16666666666666666,fish,1.0,0.5402913746074198
