site,group,algae_median_feeding,fish_median_feeding,p_value,cliffs_delta,higher_side,p_value_holm,p_value_bh
utumbi,composite::herbivore_core_families,0.0,0.0,0.49896229860376107,0.14285714285714285,fish,1.0,0.49896229860376107
utumbi,composite::herbivore_extended_with_damselfishes,0.0,0.0,0.49896229860376107,0.14285714285714285,fish,1.0,0.49896229860376107
utumbi,composite::invertivore_general,1.0,6.0,0.012655502751768372,-0.8857142857142857,fish,0.17717703852475722,0.04007575871393318
utumbi,composite::piscivore_core_families,0.0,3.0,0.006223630879812469,-0.9428571428571428,fish,0.10580172495681198,0.03197874320440817
utumbi,family::acanthuridae,0.0,0.0,0.49896229860376107,0.14285714285714285,fish,1.0,0.49896229860376107
utumbi,family::balistidae,0.0,3.0,0.0026338988925955,-1.0,fish,0.0500440789593145,0.02502203947965725
utumbi,family::chaetodontidae,0.0,1.0,0.1761626331778513,-0.42857142857142855,fish,1.0,0.3347090030379175
utumbi,family::cirrhitidae,0.0,0.0,0.3104944343172349,-0.2,fish,1.0,0.45379955784826637
utumbi,family::labridae,1.0,3.0,0.3606028171528146,-0.34285714285714286,fish,1.0,0.4567635683935652
utumbi,family::lutjanidae,0.0,1.0,0.11219582408468011,-0.5142857142857142,fish,1.0,0.23685785084543579
utumbi,family::muraenidae,0.0,0.0,0.3104944343172349,-0.2,fish,1.0,0.45379955784826637
utumbi,family::pomacentridae,0.0,7.0,0.041350902961382156,-0.7142857142857143,fish,0.5375617384979681,0.11223816518089443
utumbi,family::serranidae,0.0,2.0,0.00841545873800215,-0.8,fish,0.1346473398080344,0.03197874320440817
utumbi,word_group::eels,0.0,0.0,0.3104944343172349,-0.2,fish,1.0,0.45379955784826637
utumbi,word_group::groupers_large,0.0,2.0,0.00841545873800215,-0.8,fish,0.1346473398080344,0.03197874320440817
utumbi,word_group::snappers,0.0,1.0,0.11219582408468011,-0.5142857142857142,fish,1.0,0.23685785084543579
utumbi,word_group::surgeonfishes,0.0,0.0,0.49896229860376107,0.14285714285714285,fish,1.0,0.49896229860376107
utumbi,word_group::triggerfishes,0.0,3.0,0.0026338988925955,-1.0,fish,0.0500440789593145,0.02502203947965725
utumbi,word_group::wrasses,1.0,3.0,0.3606028171528146,-0.34285714285714286,fish,1.0,0.4567635683935652
