feature,n_videos,n_fish,n_algae,mean_fish,mean_algae,beta_bait_fish_vs_algae,beta_site_utumbi,beta_interaction,p_perm_bait,p_perm_interaction,r2,direction,feature_type,p_bh_bait,p_bh_interaction,sig_bait_bh,sig_interaction_bh
wrasses_trigger_combo,28,9,19,6.111111111111111,2.736842105263158,0.5559699770460519,0.3346753289778454,0.08182267548029905,0.006666666666666667,0.7666666666666667,0.7572295225832713,fish,composite_group,0.10666666666666667,0.9435897435897437,False,False
herbivore_core_families,28,9,19,19.666666666666668,13.736842105263158,0.9796465438479726,0.43638571021783795,-1.3161643289663558,0.023333333333333334,0.04,0.21662913343670243,fish,composite_group,0.18666666666666668,0.28444444444444444,False,False
nocturnal_predator_mixture,28,9,19,1.8888888888888888,1.0526315789473684,0.5342444890425481,0.09939162569735444,-0.32760903527074664,0.05333333333333334,0.26666666666666666,0.2197138981614778,fish,composite_group,0.24,0.8533333333333333,False,False
omnivore_box_puffer_file,28,9,19,0.7777777777777778,1.5263157894736843,-0.42177746011878614,-0.6372206005408463,0.19188653329078229,0.06333333333333334,0.5433333333333333,0.5095684734231573,algae,composite_group,0.24,0.8906666666666666,False,False
piscivore_active_hunters,28,9,19,2.3333333333333335,1.736842105263158,0.2569856168185699,0.20142385365790008,-0.12882578387603716,0.09333333333333334,0.4766666666666667,0.2618400096730713,fish,composite_group,0.24,0.8906666666666666,False,False
piscivore_core_families,28,9,19,2.3333333333333335,1.736842105263158,0.2569856168185699,0.20142385365790008,-0.12882578387603716,0.09333333333333334,0.4766666666666667,0.2618400096730713,fish,composite_group,0.24,0.8906666666666666,False,False
predator_reef_core,28,9,19,2.3333333333333335,1.631578947368421,0.2569856168185698,0.12440750026235037,-0.05180943048048766,0.12,0.75,0.2513789606603616,fish,composite_group,0.24,0.9435897435897437,False,False
snappers_groupers_combo,28,9,19,2.3333333333333335,1.631578947368421,0.2569856168185698,0.12440750026235037,-0.05180943048048766,0.12,0.75,0.2513789606603616,fish,composite_group,0.24,0.9435897435897437,False,False
invertivore_benthic_core,28,9,19,4.555555555555555,4.2105263157894735,-0.27322036152171303,-0.2959298413809,0.8557928662749965,0.4533333333333333,0.05333333333333334,0.17843100908385112,algae,composite_group,0.7253333333333333,0.28444444444444444,False,False
invertivore_general,28,9,19,4.555555555555555,4.2105263157894735,-0.27322036152171303,-0.2959298413809,0.8557928662749965,0.4533333333333333,0.05333333333333334,0.17843100908385112,algae,composite_group,0.7253333333333333,0.28444444444444444,False,False
plankton_oriented_diet_mode,28,9,19,77.88888888888889,72.57894736842105,0.2116357886245347,0.12830589324010358,-0.04720050918063241,0.7,0.9233333333333333,0.025845997688718314,fish,composite_group,0.8738461538461538,0.98,False,False
algae_oriented_diet_mode,28,9,19,77.88888888888889,71.05263157894737,0.19493038015821856,0.06334653514671407,0.017758848912756527,0.71,0.98,0.02528102345213168,fish,composite_group,0.8738461538461538,0.98,False,False
herbivore_extended_with_damselfishes,28,9,19,77.88888888888889,71.05263157894737,0.19493038015821856,0.06334653514671407,0.017758848912756527,0.71,0.98,0.02528102345213168,fish,composite_group,0.8738461538461538,0.98,False,False
fish_oriented_diet_mode,28,9,19,2.888888888888889,3.6315789473684212,-0.10751040519934013,-0.46459407996129765,0.19061855946318762,0.8,0.5566666666666666,0.22944363650096022,algae,composite_group,0.9142857142857144,0.8906666666666666,False,False
bioeroder_set,28,9,19,8.777777777777779,13.105263157894736,0.04886945414796834,0.6433248308004713,-0.3778391736697822,0.9033333333333333,0.5066666666666667,0.17534790053964733,fish,composite_group,0.9635555555555555,0.8906666666666666,False,False
invertebrate_oriented_diet_mode,28,9,19,6.222222222222222,4.842105263157895,0.0020296698482627773,-0.15132856213710139,0.5222461773967569,0.9933333333333333,0.14666666666666667,0.17983747206488088,fish,composite_group,0.9933333333333333,0.5866666666666667,False,False
