feature,n_videos,n_fish,n_algae,mean_fish,mean_algae,beta_bait_fish_vs_algae,beta_site_utumbi,beta_interaction,p_perm_bait,p_perm_interaction,r2,direction,feature_type,p_bh_bait,p_bh_interaction,sig_bait_bh,sig_interaction_bh
zanclus,28,9,19,1.4444444444444444,1.263157894736842,0.7513611467192197,0.7925136295952961,-1.2836058077700767,0.0033333333333333335,0.0033333333333333335,0.5032639903866958,fish,genus,0.15,0.15000000000000002,False,False
chromis,28,9,19,31.444444444444443,10.736842105263158,2.827616626212212,1.9964617193729775,-3.285199785059304,0.01,0.03,0.33470051426197733,fish,genus,0.15,0.6749999999999999,False,False
gomphosus,28,9,19,1.8888888888888888,1.4210526315789473,0.294926327572436,0.17613004648865613,-0.25133391632747026,0.01,0.24,0.19259891574043864,fish,genus,0.15,0.8812500000000001,False,False
zebrasoma,28,9,19,14.666666666666666,1.9473684210526316,1.5830261107357217,-0.32863002963809873,-1.1613767173933083,0.013333333333333334,0.11,0.4337486867718392,fish,genus,0.15,0.8812500000000001,False,False
abudefduf,28,9,19,2.2222222222222223,0.5789473684210527,0.9913568598582495,0.3410608560909965,-0.6927247504276314,0.016666666666666666,0.18333333333333332,0.3173274271210359,fish,genus,0.15,0.8812500000000001,False,False
caranx,28,9,19,1.8888888888888888,0.5263157894736842,0.8984855346709781,0.4306641342029237,-0.705317206369951,0.02,0.16333333333333333,0.26554174798516683,fish,genus,0.15,0.8812500000000001,False,False
thalassoma,28,9,19,4.0,2.1052631578947367,0.4773050337551405,0.24949823129990717,-0.0977592024371961,0.03333333333333333,0.7333333333333333,0.38854518831452534,fish,genus,0.21428571428571427,0.9548780487804878,False,False
balistapus,28,9,19,4.111111111111111,1.894736842105263,0.2838255756757151,0.41760033171193,0.38747000643509927,0.04666666666666667,0.10666666666666667,0.7920343863585055,fish,genus,0.24000000000000005,0.8812500000000001,False,False
lutjanus,28,9,19,1.7777777777777777,1.0526315789473684,0.5342444890425482,0.09939162569735456,-0.4087020568923794,0.05333333333333334,0.18666666666666668,0.20432239463031798,fish,genus,0.24000000000000005,0.8812500000000001,False,False
aethaloperca,28,9,19,1.8888888888888888,1.2105263157894737,0.2230058094594904,0.009010335735736834,0.09235594129130402,0.05333333333333334,0.66,0.43043981481481475,fish,genus,0.24000000000000005,0.9548780487804878,False,False
hemigymnus,28,9,19,1.4444444444444444,1.105263157894737,0.1935600505453947,-0.08109302162163307,-0.11246702892376195,0.07333333333333333,0.5733333333333334,0.2207514342018556,fish,genus,0.3,0.9482142857142856,False,False
acanthurus,28,9,19,0.8888888888888888,0.6842105263157895,0.2746530721670274,0.8152152126341795,-0.5928869548436065,0.11666666666666667,0.11666666666666667,0.4027339661053545,fish,genus,0.37058823529411766,0.8812500000000001,False,False
oxycheilinus,28,9,19,0.4444444444444444,0.631578947368421,-0.27725887222397827,0.26185560154486814,0.292662142903088,0.11666666666666667,0.31333333333333335,0.24639220894200964,algae,genus,0.37058823529411766,0.8812500000000001,False,False
lethrinus,28,9,19,0.3333333333333333,0.5263157894736842,-0.34657359027997275,0.03850817669777451,0.3198437171478362,0.14,0.2,0.12191376853446911,algae,genus,0.37058823529411766,0.8812500000000001,False,False
genus soldier,28,9,19,1.7777777777777777,1.8421052631578947,-0.2772588722239786,1.1888378020194745,0.13992014461005978,0.14,0.59,0.803134682603866,algae,genus,0.37058823529411766,0.9482142857142856,False,False
cephalopholis,28,9,19,1.6666666666666667,0.8421052631578947,0.3093104311950248,0.1759794794511189,0.10456274449872742,0.14,0.7166666666666667,0.3758717537382742,fish,genus,0.37058823529411766,0.9548780487804878,False,False
genus squirrel,28,9,19,2.111111111111111,2.1052631578947367,-0.13862943611198986,1.4229917248409925,-0.049605067948615994,0.14,0.87,0.7186369392150516,algae,genus,0.37058823529411766,0.9548780487804878,False,False
genus naso,28,9,19,0.4444444444444444,0.7368421052631579,-0.38712010109078915,0.22901072607360648,0.2679706038839931,0.15,0.37333333333333335,0.2674249178185797,algae,genus,0.375,0.8842105263157896,False,False
naso,28,9,19,2.888888888888889,1.263157894736842,0.4250608118446547,-0.059495761169518664,-0.043529429671272823,0.16666666666666666,0.9166666666666666,0.1202978004570392,fish,genus,0.39473684210526316,0.9593023255813954,False,False
labroides,28,9,19,1.8888888888888888,0.5789473684210527,0.33807863844020236,0.5513212769762694,0.31658909811873664,0.19333333333333333,0.39666666666666667,0.6422984256424915,fish,genus,0.42142857142857143,0.8925000000000001,False,False
cheilinus,28,9,19,0.8888888888888888,0.7368421052631579,0.20794415416798384,0.02194677266002004,-0.16057620877200934,0.19666666666666666,0.45,0.04739180709639168,fish,genus,0.42142857142857143,0.9340909090909091,False,False
epinephelus,28,9,19,0.4444444444444444,0.10526315789473684,0.17328679513998632,0.1540327067910989,0.0885688064048817,0.22,0.9966666666666667,0.2563973063973063,fish,genus,0.45,0.9966666666666667,False,False
amblyglyphidodon,28,9,19,6.666666666666667,3.0526315789473686,0.42669207321045854,-0.16549659551017265,0.3286800372000847,0.27,0.56,0.18496604205559908,fish,genus,0.50625,0.9482142857142856,False,False
centropyge,28,9,19,1.4444444444444444,2.1578947368421053,-0.35568966811966996,-0.2236540901481107,0.14759494691414912,0.27,0.6666666666666666,0.1939497938128405,algae,genus,0.50625,0.9548780487804878,False,False
chlorurus,28,9,19,1.5555555555555556,3.210526315789474,-0.31211811977518383,0.2529061046141309,-0.4941763286250282,0.3333333333333333,0.26666666666666666,0.35550124488186063,algae,genus,0.5826923076923077,0.8812500000000001,False,False
parapercis,28,9,19,0.5555555555555556,0.3157894736842105,0.3034212794122057,-0.24078902963924512,-0.24180819669576592,0.33666666666666667,0.36,0.23197669775362995,fish,genus,0.5826923076923077,0.8842105263157896,False,False
heniochus,28,9,19,0.8888888888888888,0.21052631578947367,0.3701301974112494,-0.10215959352725594,0.049834779150800965,0.3566666666666667,0.8966666666666666,0.19975404727217572,fish,genus,0.5892857142857143,0.9593023255813954,False,False
scarus,28,9,19,0.5555555555555556,0.8421052631578947,-0.13862943611198916,0.20794415416798354,-0.1386294361119891,0.36666666666666664,0.64,0.18095238095238098,algae,genus,0.5892857142857143,0.9548780487804878,False,False
labrichthys,28,9,19,0.3333333333333333,0.3684210526315789,-0.13862943611198913,0.24645233086575824,0.16943597747020867,0.4266666666666667,0.5833333333333334,0.21876543209876564,algae,genus,0.6620689655172415,0.9482142857142856,False,False
chaetodon,28,9,19,2.3333333333333335,2.210526315789474,0.103060378019855,-0.1708398589594864,-0.04492169537934976,0.44333333333333336,0.8266666666666667,0.17435741230171709,fish,genus,0.6650000000000001,0.9548780487804878,False,False
genus chromis,28,9,19,39.888888888888886,45.8421052631579,-1.03484032882582,-0.8341648261646889,2.016735796677106,0.4666666666666667,0.22333333333333333,0.07928804546310575,algae,genus,0.6772727272727272,0.8812500000000001,False,False
aulostomus,28,9,19,0.6666666666666666,1.0,-0.2079441541679834,0.22873279346935874,-0.07832505379173177,0.49333333333333335,0.8633333333333333,0.20506865468304325,algae,genus,0.6772727272727272,0.9548780487804878,False,False
monotaxis,28,9,19,1.6666666666666667,2.5789473684210527,-0.3245142115380313,-1.0085989743142985,0.5750432106298732,0.49666666666666665,0.2966666666666667,0.37152508878101453,algae,genus,0.6772727272727272,0.8812500000000001,False,False
halichoeres,28,9,19,1.0,1.0526315789473684,-0.14451858789480806,0.07381988592386284,0.12302351634739979,0.53,0.5866666666666667,0.06787170794160702,algae,genus,0.7014705882352942,0.9482142857142856,False,False
pygoplites,28,9,19,1.4444444444444444,1.3157894736842106,0.04054651081081692,-0.10404736060276058,0.06350084979194365,0.5866666666666667,0.7866666666666666,0.046350101294012624,fish,genus,0.7542857142857142,0.9548780487804878,False,False
siganus,28,9,19,1.0,1.1578947368421053,0.054930614433405606,-0.2807564737707393,-0.18485084888473188,0.69,0.6966666666666667,0.10998514364227985,fish,genus,0.8624999999999999,0.9548780487804878,False,False
oxymonacanthus,28,9,19,0.3333333333333333,0.631578947368421,-0.08958797346140279,-0.4154598086941822,-0.03248005861283155,0.73,0.9533333333333334,0.21397890723104163,algae,genus,0.8878378378378379,0.975,False,False
bodianus,28,9,19,1.0,0.9473684210526315,-0.11246702892376145,-0.27159557099746506,0.28597967462005386,0.7633333333333333,0.35333333333333333,0.09615584107316821,algae,genus,0.8923076923076922,0.8842105263157896,False,False
parupeneus,28,9,19,1.8888888888888888,2.6315789473684212,0.07903109290135953,-0.009431820683705574,-0.40124488753836124,0.7733333333333333,0.3,0.09378827826101288,fish,genus,0.8923076923076922,0.8812500000000001,False,False
meiacanthus,28,9,19,1.0,0.7894736842105263,-0.08698217340445172,-0.2217607918466637,0.2799747580059372,0.7933333333333333,0.45666666666666667,0.04468779918707888,algae,genus,0.8925000000000001,0.9340909090909091,False,False
pseudocheilinus,28,9,19,2.6666666666666665,1.4210526315789473,-0.06585364460389681,0.6028448780322072,0.2660171759984454,0.8133333333333334,0.5766666666666667,0.2758459677452131,algae,genus,0.8926829268292683,0.9482142857142856,False,False
paracirrhites,28,9,19,0.7777777777777778,0.7368421052631579,1.3877787807814457e-16,0.31460891556310805,-0.08310815426384806,0.88,0.8,0.14293227408004194,fish,genus,0.9428571428571428,0.9548780487804878,False,False
ctenochaetus,28,9,19,3.3333333333333335,3.1052631578947367,-0.022370780800410273,-0.6423158975399211,0.29817038559066883,0.9166666666666666,0.2866666666666667,0.520958022913858,algae,genus,0.9545454545454546,0.8812500000000001,False,False
pycnochromis,28,9,19,57.666666666666664,47.94736842105263,-0.07382127914004533,0.5318793375991333,0.2624004293266875,0.9333333333333333,0.7866666666666666,0.10133508971176541,algae,genus,0.9545454545454546,0.9548780487804878,False,False
cantherhines,28,9,19,0.3333333333333333,0.5789473684210527,-0.06931471805599426,-0.10782289475376935,-0.10012125941421453,1.0,0.83,0.06046923417441341,algae,genus,1.0,0.9548780487804878,False,False
