feature,n_videos,n_fish,n_algae,mean_fish,mean_algae,beta_bait_fish_vs_algae,beta_site_utumbi,beta_interaction,p_perm_bait,p_perm_interaction,r2,direction,feature_type,p_bh_bait,p_bh_interaction,sig_bait_bh,sig_interaction_bh
wrasses,28,9,19,6.111111111111111,2.473684210526316,0.5559699770460518,0.18781356897980936,0.22868443547833417,0.006666666666666667,0.4666666666666667,0.7248724545040715,fish,unspecific,0.08,0.7,False,False
large ovals,28,9,19,15.555555555555555,4.315789473684211,1.0800712417902862,-0.2833675228829697,-0.9082518231239043,0.03,0.07333333333333333,0.4053668539603037,fish,unspecific,0.18,0.44,False,False
heavy bodies/large lips,28,9,19,2.4444444444444446,1.5263157894736843,0.32697788654348237,0.11990233239448199,-0.07675002152671502,0.1,0.8666666666666667,0.268638983854359,fish,unspecific,0.32,0.9454545454545454,False,False
reddish/big eyes,28,9,19,2.7777777777777777,2.526315789473684,-0.2772588722239787,1.4803165767580433,0.26432967820745784,0.12,0.2633333333333333,0.8989135691227226,algae,unspecific,0.32,0.6914285714285714,False,False
silvery,28,9,19,2.2222222222222223,1.105263157894737,0.6212266624469993,0.3696175007628688,-0.2859186790842854,0.13333333333333333,0.6566666666666666,0.18316878085785848,fish,unspecific,0.32,0.8755555555555554,False,False
odd-shaped swimmers,28,9,19,4.555555555555555,3.5789473684210527,-0.2793208009442515,-0.2326286784932619,0.9339921195068303,0.30333333333333334,0.01,0.31144131260526287,algae,unspecific,0.5771428571428572,0.12,False,False
elongate sand & burrow dwellers,28,9,19,0.5555555555555556,0.3157894736842105,0.3034212794122057,-0.24078902963924512,-0.24180819669576592,0.33666666666666667,0.36,0.23197669775362995,fish,unspecific,0.5771428571428572,0.6914285714285714,False,False
sloping heads,28,9,19,3.2222222222222223,3.0526315789473686,0.18424542198520694,-0.6059250355068624,0.12004445744598172,0.6466666666666666,0.7666666666666667,0.25446891522636417,fish,unspecific,0.8763636363636365,0.9200000000000002,False,False
small ovals - damselfishes,28,9,19,77.88888888888889,70.94736842105263,0.21163578862453508,0.08005194361303072,0.0010534404464405372,0.7,1.0,0.026927242992083378,fish,unspecific,0.8763636363636365,1.0,False,False
disk-shaped/colourful,28,9,19,2.4444444444444446,2.5789473684210527,0.03199513330205678,-0.17562295943160253,-0.09592448273578569,0.76,0.4033333333333333,0.30691770439281796,fish,unspecific,0.8763636363636365,0.6914285714285714,False,False
blennies,28,9,19,1.1111111111111112,0.8421052631578947,-0.08698217340445179,-0.1447444384511143,0.341587840722377,0.8033333333333333,0.37,0.04549105480942195,algae,unspecific,0.8763636363636365,0.6914285714285714,False,False
parrotfishes,28,9,19,8.333333333333334,13.105263157894736,0.048869454147969116,0.6433248308004712,-0.5400252169130482,0.9033333333333333,0.37,0.16359175164654693,fish,unspecific,0.9033333333333333,0.6914285714285714,False,False
