feature,n_videos,n_fish,n_algae,mean_fish,mean_algae,beta_bait_fish_vs_algae,beta_site_utumbi,beta_interaction,p_perm_bait,p_perm_interaction,r2,direction,feature_type,p_bh_bait,p_bh_interaction,sig_bait_bh,sig_interaction_bh
algae,24,7,17,74.85714285714286,61.11764705882353,0.3763439992350853,0.0803747434297469,-0.18312499851986147,0.5233333333333333,0.7533333333333333,0.045803136087951946,fish,diet,0.8833333333333333,0.8433333333333334,False,False
fish,24,7,17,2.857142857142857,3.7058823529411766,-0.07213643851390061,-0.45901328794526436,0.10809669757037306,0.8833333333333333,0.8433333333333334,0.21977609581068214,algae,diet,0.8833333333333333,0.8433333333333334,False,False
invertebrates,24,7,17,5.571428571428571,4.823529411764706,-0.04596243059026036,-0.13122739389250032,0.4782068950253561,0.8766666666666667,0.26,0.11854364687213603,algae,diet,0.8833333333333333,0.8433333333333334,False,False
plankton,24,7,17,74.85714285714286,62.8235294117647,0.3949055641976582,0.15322200172277747,-0.2559722568128922,0.5133333333333333,0.6966666666666667,0.04545291297291987,fish,diet,0.8833333333333333,0.8433333333333334,False,False
angelfishes,24,7,17,1.7142857142857142,2.3529411764705883,-0.12923897886729768,-0.19380490966733596,-0.14541409329973018,0.6133333333333333,0.59,0.26544926109750766,algae,word_group,0.8492307692307691,0.91875,False,False
blennies,24,7,17,1.1428571428571428,0.8235294117647058,0.09589402415059359,-0.16403616855938588,0.09211565044644061,0.7833333333333333,0.7833333333333333,0.046011428702328994,fish,word_group,0.9225,0.91875,False,False
butterflyfishes,24,7,17,2.2857142857142856,2.1176470588235294,0.12332292169854142,-0.1338711445732149,-0.05791690372797301,0.5166666666666667,0.8,0.13508519718549628,fish,word_group,0.8492307692307691,0.91875,False,False
elongate_sand_burrow_dwellers,24,7,17,0.5714285714285714,0.29411764705882354,0.32115241754401863,-0.18945734129533992,-0.2345090199740258,0.3,0.54,0.17246659238554196,fish,word_group,0.8492307692307691,0.91875,False,False
emperors,24,7,17,1.5714285714285714,2.8823529411764706,-0.5080605509635571,-0.9516574181756537,0.6094268279905984,0.39666666666666667,0.32,0.35547998523448054,algae,word_group,0.8492307692307691,0.91875,False,False
filefishes,24,7,17,0.5714285714285714,1.0,-0.10898102811241384,-0.30897745572827273,-0.1149889055410931,0.7266666666666667,0.8166666666666667,0.15336489903512118,algae,word_group,0.9225,0.91875,False,False
goatfishes,24,7,17,1.8571428571428572,3.0,-0.03600552406918375,-0.06959916024884849,-0.2584731768699243,0.9333333333333333,0.65,0.06136911595000094,algae,word_group,0.9333333333333333,0.91875,False,False
groupers_large,24,7,17,2.0,1.4705882352941178,0.14824203999787555,0.13134766049336852,0.07572789365563153,0.4033333333333333,0.7566666666666667,0.2635147935143113,fish,word_group,0.8492307692307691,0.91875,False,False
