scenario,feature,feature_type,direction,p_bh_bait,p_bh_interaction,beta_bait_fish_vs_algae,beta_interaction
baseline,wrasses,word_group,fish,0.030000000000000002,0.9776470588235294,0.5559699770460527,0.03566825626961705
baseline,labridae,family,fish,0.03333333333333333,0.9719298245614036,0.5559699770460527,0.03566825626961705
baseline,triggerfishes,word_group,fish,0.192,0.7600000000000001,0.2838255756757151,0.38747000643509927
baseline,balistidae,family,fish,0.21111111111111114,0.8222222222222223,0.2838255756757151,0.38747000643509927
baseline,snappers,word_group,fish,0.192,0.8325,0.5342444890425482,-0.4087020568923794
baseline,lutjanidae,family,fish,0.21111111111111114,0.8222222222222223,0.5342444890425482,-0.4087020568923794
baseline,naso,genus,fish,0.39473684210526316,0.9593023255813954,0.4250608118446547,-0.043529429671272823
baseline,siganus,genus,fish,0.8624999999999999,0.9548780487804878,0.054930614433405606,-0.18485084888473188
baseline,rabbitfishes,word_group,fish,0.9033333333333332,0.9776470588235294,0.05493061443340551,-0.27727047295939145
baseline,siganidae,family,fish,0.9033333333333333,0.9166666666666666,0.05493061443340551,-0.27727047295939145
baseline,chlorurus,genus,algae,0.5826923076923077,0.8812500000000001,-0.31211811977518383,-0.4941763286250282
baseline,moorish_idol,word_group,fish,0.030000000000000002,0.060000000000000005,0.7513611467192197,-1.2836058077700767
baseline,zanclidae,family,fish,0.03333333333333333,0.06666666666666667,0.7513611467192197,-1.2836058077700767
baseline,zanclus,genus,fish,0.15,0.15000000000000002,0.7513611467192197,-1.2836058077700767
no_dominant_videos,wrasses,word_group,fish,0.060000000000000005,0.9499999999999998,0.4652536175423745,0.01864650882111173
no_dominant_videos,labridae,family,fish,0.06666666666666667,0.95,0.4652536175423745,0.01864650882111173
no_dominant_videos,triggerfishes,word_group,fish,0.09,0.91875,0.315361750750795,0.36719277625226443
no_dominant_videos,balistidae,family,fish,0.1,0.9074074074074073,0.315361750750795,0.36719277625226443
no_dominant_videos,snappers,word_group,fish,0.42000000000000004,0.44,0.5071497990519822,-0.6085160760790237
no_dominant_videos,lutjanidae,family,fish,0.4666666666666667,0.48888888888888893,0.5071497990519822,-0.6085160760790237
no_dominant_videos,naso,genus,fish,0.19555555555555557,0.7626666666666667,0.6553918390498578,-0.532788182423392
no_dominant_videos,siganus,genus,algae,0.9203333333333333,0.9129999999999999,-0.12206803207423411,-0.015258504009279694
no_dominant_videos,rabbitfishes,word_group,algae,0.9225,0.91875,-0.12206803207423414,-0.10190190157927323
no_dominant_videos,siganidae,family,algae,0.911111111111111,0.9074074074074073,-0.12206803207423414,-0.10190190157927323
no_dominant_videos,chlorurus,genus,algae,0.6599999999999999,0.8182456140350878,-0.38328566288292953,-0.4731124530537887
no_dominant_videos,moorish_idol,word_group,fish,0.08,0.060000000000000005,0.9184055739533704,-1.582248059771696
no_dominant_videos,zanclidae,family,fish,0.08888888888888889,0.06666666666666667,0.9184055739533704,-1.582248059771696
no_dominant_videos,zanclus,genus,fish,0.19555555555555557,0.07333333333333333,0.9184055739533704,-1.582248059771696
no_rare_features,wrasses,word_group,fish,0.030000000000000002,0.9776470588235294,0.5559699770460527,0.03566825626961705
no_rare_features,labridae,family,fish,0.03333333333333333,0.9719298245614036,0.5559699770460527,0.03566825626961705
no_rare_features,triggerfishes,word_group,fish,0.192,0.7600000000000001,0.2838255756757151,0.38747000643509927
no_rare_features,balistidae,family,fish,0.21111111111111114,0.8222222222222223,0.2838255756757151,0.38747000643509927
no_rare_features,snappers,word_group,fish,0.192,0.8325,0.5342444890425482,-0.4087020568923794
no_rare_features,lutjanidae,family,fish,0.21111111111111114,0.8222222222222223,0.5342444890425482,-0.4087020568923794
no_rare_features,naso,genus,fish,0.39473684210526316,0.9593023255813954,0.4250608118446547,-0.043529429671272823
no_rare_features,siganus,genus,fish,0.8624999999999999,0.9548780487804878,0.054930614433405606,-0.18485084888473188
no_rare_features,rabbitfishes,word_group,fish,0.9033333333333332,0.9776470588235294,0.05493061443340551,-0.27727047295939145
no_rare_features,siganidae,family,fish,0.9033333333333333,0.9166666666666666,0.05493061443340551,-0.27727047295939145
no_rare_features,chlorurus,genus,algae,0.5826923076923077,0.8812500000000001,-0.31211811977518383,-0.4941763286250282
no_rare_features,moorish_idol,word_group,fish,0.030000000000000002,0.060000000000000005,0.7513611467192197,-1.2836058077700767
no_rare_features,zanclidae,family,fish,0.03333333333333333,0.06666666666666667,0.7513611467192197,-1.2836058077700767
no_rare_features,zanclus,genus,fish,0.15,0.15000000000000002,0.7513611467192197,-1.2836058077700767
no_dominant_and_no_rare,wrasses,word_group,fish,0.060000000000000005,0.9499999999999998,0.4652536175423745,0.01864650882111173
no_dominant_and_no_rare,labridae,family,fish,0.06666666666666667,0.95,0.4652536175423745,0.01864650882111173
no_dominant_and_no_rare,triggerfishes,word_group,fish,0.09,0.91875,0.315361750750795,0.36719277625226443
no_dominant_and_no_rare,balistidae,family,fish,0.1,0.9074074074074073,0.315361750750795,0.36719277625226443
no_dominant_and_no_rare,snappers,word_group,fish,0.42000000000000004,0.44,0.5071497990519822,-0.6085160760790237
