site,family,koeder_type,koeder,maxn
milimani,acanthuridae,algae,ulva_gutweed,5.0
milimani,acanthuridae,algae,ulva_salad,5.0
milimani,acanthuridae,algae,ulva_gutweed,4.0
milimani,acanthuridae,algae,ulva_gutweed,4.0
milimani,acanthuridae,algae,ulva_salad,5.0
milimani,acanthuridae,algae,ulva_salad,10.0
milimani,acanthuridae,algae,ulva_salad,4.0
milimani,acanthuridae,algae,sargassum,5.0
milimani,acanthuridae,algae,sargassum,3.0
milimani,acanthuridae,algae,sargassum,5.0
milimani,acanthuridae,fish,mackerel,7.0
milimani,acanthuridae,fish,mackerel,67.0
milimani,acanthuridae,fish,mackerel,38.0
milimani,acanthuridae,fish,fischmix,3.0
milimani,blenniidae,algae,ulva_gutweed,0.0
milimani,blenniidae,algae,ulva_salad,2.0
milimani,blenniidae,algae,ulva_gutweed,1.0
milimani,blenniidae,algae,ulva_gutweed,0.0
milimani,blenniidae,algae,ulva_salad,2.0
milimani,blenniidae,algae,ulva_salad,1.0
milimani,blenniidae,algae,ulva_salad,2.0
milimani,blenniidae,algae,sargassum,0.0
milimani,blenniidae,algae,sargassum,1.0
milimani,blenniidae,algae,sargassum,1.0
milimani,blenniidae,fish,mackerel,3.0
milimani,blenniidae,fish,mackerel,0.0
milimani,blenniidae,fish,mackerel,1.0
milimani,blenniidae,fish,fischmix,0.0
milimani,scaridae,algae,ulva_gutweed,3.0
milimani,scaridae,algae,ulva_salad,12.0
milimani,scaridae,algae,ulva_gutweed,9.0
milimani,scaridae,algae,ulva_gutweed,5.0
milimani,scaridae,algae,ulva_salad,2.0
milimani,scaridae,algae,ulva_salad,4.0
milimani,scaridae,algae,ulva_salad,9.0
milimani,scaridae,algae,sargassum,3.0
milimani,scaridae,algae,sargassum,27.0
milimani,scaridae,algae,sargassum,5.0
milimani,scaridae,fish,mackerel,16.0
milimani,scaridae,fish,mackerel,3.0
milimani,scaridae,fish,mackerel,6.0
milimani,scaridae,fish,fischmix,6.0
milimani,siganidae,algae,ulva_gutweed,2.0
milimani,siganidae,algae,ulva_salad,2.0
milimani,siganidae,algae,ulva_gutweed,2.0
milimani,siganidae,algae,ulva_gutweed,2.0
milimani,siganidae,algae,ulva_salad,0.0
milimani,siganidae,algae,ulva_salad,2.0
milimani,siganidae,algae,ulva_salad,2.0
milimani,siganidae,algae,sargassum,2.0
milimani,siganidae,algae,sargassum,0.0
milimani,siganidae,algae,sargassum,0.0
milimani,siganidae,fish,mackerel,2.0
milimani,siganidae,fish,mackerel,0.0
milimani,siganidae,fish,mackerel,2.0
milimani,siganidae,fish,fischmix,2.0
utumbi,acanthuridae,algae,ulva_salad,4.0
utumbi,acanthuridae,algae,ulva_salad,2.0
utumbi,acanthuridae,algae,ulva_gutweed,3.0
utumbi,acanthuridae,algae,ulva_gutweed,3.0
utumbi,acanthuridae,algae,ulva_salad,3.0
utumbi,acanthuridae,algae,ulva_gutweed,4.0
utumbi,acanthuridae,algae,sargassum,2.0
utumbi,acanthuridae,algae,sargassum,3.0
utumbi,acanthuridae,algae,sargassum,2.0
utumbi,acanthuridae,fish,mackerel,12.0
utumbi,acanthuridae,fish,mackerel,2.0
utumbi,acanthuridae,fish,mackerel,3.0
utumbi,acanthuridae,fish,fischmix,5.0
utumbi,acanthuridae,fish,fischmix,3.0
utumbi,blenniidae,algae,ulva_salad,1.0
utumbi,blenniidae,algae,ulva_salad,1.0
utumbi,blenniidae,algae,ulva_gutweed,1.0
utumbi,blenniidae,algae,ulva_gutweed,1.0
utumbi,blenniidae,algae,ulva_salad,0.0
utumbi,blenniidae,algae,ulva_gutweed,0.0
utumbi,blenniidae,algae,sargassum,1.0
utumbi,blenniidae,algae,sargassum,0.0
utumbi,blenniidae,algae,sargassum,1.0
utumbi,blenniidae,fish,mackerel,2.0
utumbi,blenniidae,fish,mackerel,1.0
utumbi,blenniidae,fish,mackerel,0.0
utumbi,blenniidae,fish,fischmix,1.0
utumbi,blenniidae,fish,fischmix,2.0
utumbi,scaridae,algae,ulva_salad,84.0
utumbi,scaridae,algae,ulva_salad,7.0
utumbi,scaridae,algae,ulva_gutweed,11.0
utumbi,scaridae,algae,ulva_gutweed,13.0
utumbi,scaridae,algae,ulva_salad,9.0
utumbi,scaridae,algae,ulva_gutweed,5.0
utumbi,scaridae,algae,sargassum,17.0
utumbi,scaridae,algae,sargassum,8.0
utumbi,scaridae,algae,sargassum,15.0
utumbi,scaridae,fish,mackerel,7.0
utumbi,scaridae,fish,mackerel,12.0
utumbi,scaridae,fish,mackerel,16.0
utumbi,scaridae,fish,fischmix,7.0
utumbi,scaridae,fish,fischmix,2.0
utumbi,siganidae,algae,ulva_salad,2.0
utumbi,siganidae,algae,ulva_salad,0.0
utumbi,siganidae,algae,ulva_gutweed,2.0
