taxon_key,koeder_a,koeder_b,n_a,n_b,mean_a,mean_b,u_stat,p_value,p_value_holm_within_taxon,p_value_bh_within_taxon,significant_holm_within_taxon,significant_bh_within_taxon
family_label::groupers feeding,control,fischmix,3,1,0.0,2.0,0.0,0.24821307898992362,1.0,0.8416417918230764,False,False
family_label::groupers feeding,control,mackerel,3,3,0.0,0.3333333333333333,3.0,0.5049850750938458,1.0,0.8416417918230764,False,False
family_label::groupers feeding,control,sargassum,3,3,0.0,0.0,4.5,1.0,1.0,1.0,False,False
family_label::groupers feeding,control,ulva_gutweed,3,3,0.0,0.0,4.5,1.0,1.0,1.0,False,False
family_label::groupers feeding,control,ulva_salad,3,4,0.0,0.0,6.0,1.0,1.0,1.0,False,False
family_label::groupers feeding,fischmix,mackerel,1,3,2.0,0.3333333333333333,3.0,0.3457785861511603,1.0,0.8416417918230764,False,False
family_label::groupers feeding,fischmix,sargassum,1,3,2.0,0.0,3.0,0.24821307898992362,1.0,0.8416417918230764,False,False
family_label::groupers feeding,fischmix,ulva_gutweed,1,3,2.0,0.0,3.0,0.24821307898992362,1.0,0.8416417918230764,False,False
family_label::groupers feeding,fischmix,ulva_salad,1,4,2.0,0.0,4.0,0.13361440253771614,1.0,0.8416417918230764,False,False
family_label::groupers feeding,mackerel,sargassum,3,3,0.3333333333333333,0.0,6.0,0.5049850750938458,1.0,0.8416417918230764,False,False
family_label::groupers feeding,mackerel,ulva_gutweed,3,3,0.3333333333333333,0.0,6.0,0.5049850750938458,1.0,0.8416417918230764,False,False
family_label::groupers feeding,mackerel,ulva_salad,3,4,0.3333333333333333,0.0,8.0,0.3864762307712327,1.0,0.8416417918230764,False,False
family_label::groupers feeding,sargassum,ulva_gutweed,3,3,0.0,0.0,4.5,1.0,1.0,1.0,False,False
family_label::groupers feeding,sargassum,ulva_salad,3,4,0.0,0.0,6.0,1.0,1.0,1.0,False,False
family_label::groupers feeding,ulva_gutweed,ulva_salad,3,4,0.0,0.0,6.0,1.0,1.0,1.0,False,False
species::goldbar (thalassoma hebraicum),control,fischmix,3,1,0.0,1.0,0.0,0.24821307898992362,1.0,0.9307990462122135,False,False
species::goldbar (thalassoma hebraicum),control,mackerel,3,3,0.0,0.6666666666666666,3.0,0.5049850750938458,1.0,0.946847015800961,False,False
species::goldbar (thalassoma hebraicum),control,sargassum,3,3,0.0,0.0,4.5,1.0,1.0,1.0,False,False
species::goldbar (thalassoma hebraicum),control,ulva_gutweed,3,3,0.0,0.0,4.5,1.0,1.0,1.0,False,False
