site,flag,koeder_a,koeder_b,n_a,n_b,mean_total_a,mean_total_b,u_stat,p_value,p_value_holm,significant_0_05,significant_0_05_holm,sig_label_raw,sig_label_holm
milimani,feeding,control,fischmix,3,1,0.0,12.0,0.0,0.24821307898992362,1.0,False,False,ns,ns
milimani,feeding,control,mackerel,3,3,0.0,4.333333333333333,3.0,0.5049850750938458,1.0,False,False,ns,ns
milimani,feeding,control,sargassum,3,3,0.0,2.0,0.0,0.04685417760387376,0.6559584864542326,True,False,*,ns
milimani,feeding,control,ulva_gutweed,3,3,0.0,0.0,4.5,1.0,1.0,False,False,ns,ns
milimani,feeding,control,ulva_salad,3,4,0.0,0.25,4.5,0.5637028616507731,1.0,False,False,ns,ns
milimani,feeding,fischmix,mackerel,1,3,12.0,4.333333333333333,2.0,1.0,1.0,False,False,ns,ns
milimani,feeding,fischmix,sargassum,1,3,12.0,2.0,3.0,0.24821307898992362,1.0,False,False,ns,ns
milimani,feeding,fischmix,ulva_gutweed,1,3,12.0,0.0,3.0,0.24821307898992362,1.0,False,False,ns,ns
milimani,feeding,fischmix,ulva_salad,1,4,12.0,0.25,4.0,0.2356799134290376,1.0,False,False,ns,ns
milimani,feeding,mackerel,sargassum,3,3,4.333333333333333,2.0,3.0,0.6373518882339371,1.0,False,False,ns,ns
milimani,feeding,mackerel,ulva_gutweed,3,3,4.333333333333333,0.0,6.0,0.5049850750938458,1.0,False,False,ns,ns
milimani,feeding,mackerel,ulva_salad,3,4,4.333333333333333,0.25,7.0,0.8254979107046321,1.0,False,False,ns,ns
milimani,feeding,sargassum,ulva_gutweed,3,3,2.0,0.0,9.0,0.04685417760387376,0.6559584864542326,True,False,*,ns
milimani,feeding,sargassum,ulva_salad,3,4,2.0,0.25,12.0,0.03569831061844619,0.5354746592766928,True,False,*,ns
milimani,feeding,ulva_gutweed,ulva_salad,3,4,0.0,0.25,4.5,0.5637028616507731,1.0,False,False,ns,ns
