koeder,taxon_key
algae_strings,family_label::wrasses interested
mackerel,species::black-lipped (chaetodon kleinii)
mackerel,species::green (amblyglyphidodon indicus)
algaemix,species::honeycomb (siganus stellatus)
mackerel,species::humpback (lutjanus gibbus)
algaemix,species::indian longnose (hipposcarus harid)
algae_strings,species::longbarbel (parupeneus macronemus)
algaemix,species::paletail unicorn (naso brevirostris)
mackerel,species::red (lutjanus bohar)
algaemix,species::sailfin tang (zebrasoma desjardinii)
algaemix,species::threadfin (chaetodon auriga)
algaemix,species::titan (balistoides viridescens)
