koeder,taxon_key,total_flag_events,n_videos_with_flag,mean_maxn,median_maxn,max_maxn,maxn_occurrence_rate
algae_strings,species::longbarbel (parupeneus macronemus),6,2,5.666666666666667,5.0,7.0,1.0
algae_strings,family_label::wrasses interested,1,1,0.3333333333333333,0.0,1.0,0.3333333333333333
algae_strings,species::red-breasted (cheilinus fasciatus),1,1,1.3333333333333333,1.0,2.0,1.0
algaemix,species::paletail unicorn (naso brevirostris),23,1,31.0,32.0,40.0,1.0
algaemix,species::sailfin tang (zebrasoma desjardinii),2,1,2.333333333333333,2.0,3.0,1.0
algaemix,species::honeycomb (siganus stellatus),1,1,4.0,4.0,4.0,1.0
algaemix,species::indian longnose (hipposcarus harid),1,1,1.0,0.0,3.0,0.3333333333333333
algaemix,species::red-breasted (cheilinus fasciatus),1,1,0.6666666666666666,1.0,1.0,0.6666666666666666
algaemix,species::threadfin (chaetodon auriga),1,1,2.6666666666666665,3.0,4.0,1.0
algaemix,species::titan (balistoides viridescens),1,1,1.6666666666666667,1.0,4.0,0.6666666666666666
mackerel,species::humpback (lutjanus gibbus),9,2,14.75,12.0,30.0,1.0
mackerel,species::green (amblyglyphidodon indicus),3,1,3.0,3.0,6.0,0.75
mackerel,species::black-lipped (chaetodon kleinii),1,1,1.75,1.0,5.0,0.75
mackerel,species::red (lutjanus bohar),1,1,1.25,1.5,2.0,0.75
