standort,threshold_occ_rate,n_taxa_before,n_taxa_excluded,n_taxa_after,raw_sig_before,holm_sig_before,raw_sig_after,holm_sig_after_refit,share_removed
milimani,0.5,104,35,69,6,0,5,0,0.33653846153846156
milimani,0.6,104,28,76,6,0,5,0,0.2692307692307692
milimani,0.7,104,24,80,6,0,6,0,0.23076923076923078
milimani,0.8,104,18,86,6,0,6,0,0.17307692307692307
milimani,0.9,104,11,93,6,0,6,0,0.10576923076923077
nursery,0.5,99,18,81,11,0,10,0,0.18181818181818182
nursery,0.6,99,16,83,11,0,10,0,0.16161616161616163
nursery,0.7,99,12,87,11,0,10,0,0.12121212121212122
nursery,0.8,99,7,92,11,0,10,0,0.0707070707070707
nursery,0.9,99,4,95,11,0,11,0,0.04040404040404041
utumbi,0.5,120,41,79,8,0,5,0,0.3416666666666667
utumbi,0.6,120,35,85,8,0,6,0,0.2916666666666667
utumbi,0.7,120,27,93,8,0,6,0,0.225
utumbi,0.8,120,19,101,8,0,6,0,0.15833333333333333
utumbi,0.9,120,11,109,8,0,6,0,0.09166666666666666
