standort,threshold_occ_rate,taxon_key,occ_rate,dominant_koeder_mean
milimani,0.5,family_label::parrotfishes (scaridae),1.0,sargassum
milimani,0.5,species::bird wrasse (gomphosus caeruleus),1.0,fischmix
milimani,0.5,species::brown tang (zebrasoma scopas),1.0,mackerel
milimani,0.5,species::indian half-and-half (pycnochromis dimidiatus),1.0,control
milimani,0.5,species::longbarbel (parupeneus macronemus),1.0,ulva_gutweed
milimani,0.5,species::orange-lined (balistapus undulatus),1.0,fischmix
milimani,0.5,species::redmouth (aethaloperca rogaa),1.0,fischmix
milimani,0.5,species::regal (pygoplites diacanthus),1.0,mackerel
milimani,0.5,species::sixbar (thalassoma hardwicke),1.0,fischmix
milimani,0.5,species::brown pigmy (centropyge multispinis),0.9411764705882353,sargassum
milimani,0.5,species::humpnose bigeye (monotaxis grandoculis),0.9411764705882353,sargassum
milimani,0.5,species::barred (hemigymnus fasciatus),0.8823529411764706,fischmix
milimani,0.5,species::bullethead (chlorurus sordidus),0.8823529411764706,ulva_gutweed
milimani,0.5,species::indian redfin (chaetodon trifasciatus),0.8823529411764706,sargassum
milimani,0.5,species::threadfin (chaetodon auriga),0.8823529411764706,fischmix
milimani,0.5,genus::genus chromis,0.8235294117647058,sargassum
milimani,0.5,species::axilspot hogfish (bodianus axillaris),0.8235294117647058,fischmix
milimani,0.5,species::checkerboard (halichoeres hortulanus),0.8235294117647058,sargassum
milimani,0.5,species::trumpetfish (aulostomus chinensis),0.7647058823529411,control
milimani,0.5,family_label::groupers (serranidae),0.7058823529411765,fischmix
milimani,0.5,family_label::wrasses (labridae),0.7058823529411765,control
milimani,0.5,species::honeycomb (siganus stellatus),0.7058823529411765,fischmix
milimani,0.5,species::mozambique fangblenny (meiacanthus mossambicus),0.7058823529411765,ulva_salad
milimani,0.5,species::spotted (chaetodon guttatissimus),0.7058823529411765,fischmix
milimani,0.5,species::black-backed (chaetodon melannotus),0.6470588235294118,mackerel
milimani,0.5,species::blackeye (hemigymnus melapterus),0.6470588235294118,sargassum
milimani,0.5,species::paletail unicorn (naso brevirostris),0.6470588235294118,mackerel
milimani,0.5,species::peacock (cephalopholis argus),0.6470588235294118,fischmix
milimani,0.5,species::red-breasted (cheilinus fasciatus),0.5882352941176471,mackerel
milimani,0.5,species::swarthy (scarus niger),0.5882352941176471,sargassum
milimani,0.5,species::titan (balistoides viridescens),0.5882352941176471,fischmix
milimani,0.5,species::chevroned (chaetodon trifascialis),0.5294117647058824,ulva_gutweed
milimani,0.5,species::disappearing (pseudocheilinus evanidus),0.5294117647058824,control
milimani,0.5,species::longnose (oxymonacanthus longirostris),0.5294117647058824,ulva_salad
milimani,0.5,species::wirenet (cantherhines pardalis),0.5294117647058824,control
milimani,0.6,family_label::parrotfishes (scaridae),1.0,sargassum
milimani,0.6,species::bird wrasse (gomphosus caeruleus),1.0,fischmix
milimani,0.6,species::brown tang (zebrasoma scopas),1.0,mackerel
milimani,0.6,species::indian half-and-half (pycnochromis dimidiatus),1.0,control
milimani,0.6,species::longbarbel (parupeneus macronemus),1.0,ulva_gutweed
milimani,0.6,species::orange-lined (balistapus undulatus),1.0,fischmix
milimani,0.6,species::redmouth (aethaloperca rogaa),1.0,fischmix
milimani,0.6,species::regal (pygoplites diacanthus),1.0,mackerel
milimani,0.6,species::sixbar (thalassoma hardwicke),1.0,fischmix
milimani,0.6,species::brown pigmy (centropyge multispinis),0.9411764705882353,sargassum
milimani,0.6,species::humpnose bigeye (monotaxis grandoculis),0.9411764705882353,sargassum
milimani,0.6,species::barred (hemigymnus fasciatus),0.8823529411764706,fischmix
milimani,0.6,species::bullethead (chlorurus sordidus),0.8823529411764706,ulva_gutweed
milimani,0.6,species::indian redfin (chaetodon trifasciatus),0.8823529411764706,sargassum
milimani,0.6,species::threadfin (chaetodon auriga),0.8823529411764706,fischmix
milimani,0.6,genus::genus chromis,0.8235294117647058,sargassum
milimani,0.6,species::axilspot hogfish (bodianus axillaris),0.8235294117647058,fischmix
milimani,0.6,species::checkerboard (halichoeres hortulanus),0.8235294117647058,sargassum
milimani,0.6,species::trumpetfish (aulostomus chinensis),0.7647058823529411,control
milimani,0.6,family_label::groupers (serranidae),0.7058823529411765,fischmix
milimani,0.6,family_label::wrasses (labridae),0.7058823529411765,control
milimani,0.6,species::honeycomb (siganus stellatus),0.7058823529411765,fischmix
milimani,0.6,species::mozambique fangblenny (meiacanthus mossambicus),0.7058823529411765,ulva_salad
milimani,0.6,species::spotted (chaetodon guttatissimus),0.7058823529411765,fischmix
milimani,0.6,species::black-backed (chaetodon melannotus),0.6470588235294118,mackerel
milimani,0.6,species::blackeye (hemigymnus melapterus),0.6470588235294118,sargassum
milimani,0.6,species::paletail unicorn (naso brevirostris),0.6470588235294118,mackerel
milimani,0.6,species::peacock (cephalopholis argus),0.6470588235294118,fischmix
milimani,0.7,family_label::parrotfishes (scaridae),1.0,sargassum
milimani,0.7,species::bird wrasse (gomphosus caeruleus),1.0,fischmix
milimani,0.7,species::brown tang (zebrasoma scopas),1.0,mackerel
milimani,0.7,species::indian half-and-half (pycnochromis dimidiatus),1.0,control
milimani,0.7,species::longbarbel (parupeneus macronemus),1.0,ulva_gutweed
milimani,0.7,species::orange-lined (balistapus undulatus),1.0,fischmix
milimani,0.7,species::redmouth (aethaloperca rogaa),1.0,fischmix
milimani,0.7,species::regal (pygoplites diacanthus),1.0,mackerel
milimani,0.7,species::sixbar (thalassoma hardwicke),1.0,fischmix
milimani,0.7,species::brown pigmy (centropyge multispinis),0.9411764705882353,sargassum
milimani,0.7,species::humpnose bigeye (monotaxis grandoculis),0.9411764705882353,sargassum
milimani,0.7,species::barred (hemigymnus fasciatus),0.8823529411764706,fischmix
milimani,0.7,species::bullethead (chlorurus sordidus),0.8823529411764706,ulva_gutweed
milimani,0.7,species::indian redfin (chaetodon trifasciatus),0.8823529411764706,sargassum
milimani,0.7,species::threadfin (chaetodon auriga),0.8823529411764706,fischmix
milimani,0.7,genus::genus chromis,0.8235294117647058,sargassum
