filename,date,standort,koeder,total_feeding_events,feeding_unique_taxa
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel,6,3
20241025-utumbi-ulva_salad.csv,20241025,utumbi,ulva_salad,1,1
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,21,7
20241027-utumbi-ulva_salad.csv,20241027,utumbi,ulva_salad,1,1
20241029-utumbi-ulva_gutweed.csv,20241029,utumbi,ulva_gutweed,1,1
20241030-utumbi-ulva_gutweed.csv,20241030,utumbi,ulva_gutweed,0,0
20241105-utumbi-control.csv,20241105,utumbi,control,1,1
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,5,4
20241111-utumbi-control.csv,20241111,utumbi,control,0,0
20241112-utumbi-ulva_gutweed.csv,20241112,utumbi,ulva_gutweed,0,0
20241114-utumbi-control.csv,20241114,utumbi,control,0,0
20241115-utumbi-control.csv,20241115,utumbi,control,0,0
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,17,7
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum,10,5
20241128-utumbi-sargassum.csv,20241128,utumbi,sargassum,1,1
20241129-utumbi-sargassum.csv,20241129,utumbi,sargassum,2,2
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,31,8
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,16,9
