koeder,taxon_key,total_flag_events,n_videos_with_flag,mean_maxn,median_maxn,max_maxn,maxn_occurrence_rate
control,species::green (amblyglyphidodon indicus),1,1,2.0,2.0,3.0,1.0
fischmix,species::green (amblyglyphidodon indicus),15,2,10.5,10.5,12.0,1.0
fischmix,species::orange-lined (balistapus undulatus),9,2,7.5,7.5,10.0,1.0
fischmix,species::black-lipped (chaetodon kleinii),5,2,2.0,2.0,2.0,1.0
fischmix,species::moon (thalassoma lunare),2,1,7.5,7.5,8.0,1.0
fischmix,species::sulfur (pomacentrus sulfureus),2,1,1.0,1.0,2.0,0.5
fischmix,family_label::groupers interested,1,1,0.5,0.5,1.0,0.5
fischmix,species::freckled (paracirrhites forsteri),1,1,2.0,2.0,2.0,1.0
fischmix,species::undulated (gymnothorax undulatus),1,1,0.5,0.5,1.0,0.5
mackerel,species::green (amblyglyphidodon indicus),15,2,8.333333333333334,6.0,18.0,1.0
mackerel,species::orange-lined (balistapus undulatus),9,1,5.333333333333333,5.0,6.0,1.0
mackerel,species::goldbar (thalassoma hebraicum),4,3,3.333333333333333,2.0,6.0,1.0
mackerel,species::false-eye (abudefduf sparoides),4,1,3.333333333333333,2.0,8.0,0.6666666666666666
mackerel,family_label::groupers interested,3,1,0.6666666666666666,0.0,2.0,0.3333333333333333
mackerel,species::red (lutjanus bohar),2,2,2.333333333333333,3.0,3.0,1.0
mackerel,species::redmouth (aethaloperca rogaa),2,2,2.0,2.0,2.0,1.0
mackerel,species::moon (thalassoma lunare),2,1,2.333333333333333,3.0,3.0,1.0
mackerel,family_label::wrasses interested,1,1,0.3333333333333333,0.0,1.0,0.3333333333333333
mackerel,species::blacktip (epinephelus fasciatus),1,1,1.3333333333333333,2.0,2.0,0.6666666666666666
mackerel,species::leopard (cephalopholis leopardus),1,1,1.3333333333333333,2.0,2.0,0.6666666666666666
mackerel,species::sulfur (pomacentrus sulfureus),1,1,1.3333333333333333,1.0,2.0,1.0
sargassum,species::goldbar (thalassoma hebraicum),2,2,2.6666666666666665,3.0,3.0,1.0
sargassum,species::red (lutjanus bohar),2,2,1.6666666666666667,2.0,2.0,1.0
sargassum,species::green (amblyglyphidodon indicus),2,1,4.0,4.0,5.0,1.0
sargassum,species::redmouth (aethaloperca rogaa),1,1,1.3333333333333333,1.0,2.0,1.0
ulva_gutweed,species::orange-lined (balistapus undulatus),2,2,2.0,2.0,2.0,1.0
ulva_salad,species::orange-lined (balistapus undulatus),3,2,2.0,2.0,2.0,1.0
ulva_salad,species::red (lutjanus bohar),2,2,0.6666666666666666,1.0,1.0,0.6666666666666666
ulva_salad,species::goldbar (thalassoma hebraicum),1,1,2.0,2.0,3.0,1.0
ulva_salad,species::green (amblyglyphidodon indicus),1,1,2.0,2.0,4.0,0.6666666666666666
ulva_salad,species::moon (thalassoma lunare),1,1,3.0,3.0,5.0,1.0
