filename,standort,acanthuridae,aulostomidae,balistidae,blenniidae,caesionidae,carangidae,chaetodontidae,cirrhitidae,diodontidae,fistulariidae,holocentridae,labridae,lethrinidae,lutjanidae,monacanthidae,mullidae,muraenidae,nemipteridae,pinguipedidae,pomacanthidae,pomacentridae,scaridae,scombridae,serranidae,siganidae,tetraodontidae,zanclidae
20240515-milimani-mackerel.csv,milimani,7.0,1.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,5.0,1.0,1.0,3.0,0.0,0.0,2.0,4.0,105.0,16.0,0.0,1.0,2.0,2.0,2.0
20241025-milimani-mackerel.csv,milimani,67.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,82.0,3.0,0.0,2.0,0.0,0.0,3.0
20241124-milimani-mackerel.csv,milimani,38.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,40.0,6.0,0.0,2.0,2.0,0.0,2.0
20240106-nursery-mackerel.csv,nursery,5.0,0.0,2.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,1.0,0.0,2.0,4.0,2.0,5.0,6.0,0.0,0.0,0.0,2.0,0.0
20240223-nursery-mackerel.csv,nursery,3.0,0.0,1.0,0.0,7.0,0.0,5.0,0.0,0.0,6.0,0.0,11.0,2.0,18.0,0.0,4.0,0.0,0.0,3.0,1.0,13.0,3.0,0.0,3.0,0.0,0.0,1.0
20241126-nursery-mackerel.csv,nursery,10.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,30.0,0.0,8.0,0.0,6.0,1.0,0.0,20.0,11.0,0.0,1.0,5.0,1.0,8.0
20251212-nursery-mackerel.csv,nursery,4.0,0.0,1.0,2.0,2.0,6.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,1.0,2.0,0.0,0.0,1.0,0.0,7.0,11.0,0.0,1.0,2.0,2.0,0.0
20240516-utumbi-mackerel.csv,utumbi,12.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,11.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,121.0,7.0,0.0,3.0,1.0,0.0,2.0
20241026-utumbi-mackerel.csv,utumbi,2.0,2.0,6.0,1.0,42.0,3.0,2.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,127.0,12.0,0.0,2.0,0.0,0.0,0.0
20241124-utumbi-mackerel.csv,utumbi,3.0,1.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,6.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,94.0,16.0,1.0,2.0,2.0,0.0,0.0
