Art;Formatiert;Ganz;TestKopie;Gesamt;Max_N
Axilspot Hogfish (Bodianus axillaris);1;1;1;3;1
Barred (Hemigymnus fasciatus);2;2;2;6;2
Bird wrasse (Gomphosus caeruleus);7;7;7;21;7
Black-backed (Chaetodon melannotus);3;3;3;9;3
Black-lipped (Chaetodon kleinii);1;1;1;3;1
Blackeye (Hemigymnus melapterus);1;1;1;3;1
Blennies (Blenniidae);1;1;1;3;1
Blue-streak (Labroides dimidiatus);1;1;1;3;1
Bluefin (Caranx melampygus);3;3;3;9;3
Bridled (Scarus frenatus);1;1;1;3;1
Brown Pigmy (Centropyge multispinis);2;2;2;6;2
Brown Tang (Zebrasoma scopas);10;10;10;30;10
Bullethead (Chlorurus sordidus);6;6;6;18;6
Checkerboard (Halichoeres hortulanus);1;1;1;3;1
Disappearing (Pseudocheilinus evanidus);3;3;3;9;3
Genus Canthigaster;2;2;2;6;2
Goldbar (Thalassoma hebraicum);3;3;3;9;3
Green (Amblyglyphidodon indicus);1;1;1;3;1
Groupers (Serranidae);2;2;2;6;2
Humpback Unicorn (Naso brachycentron);1;1;1;3;1
Humpnose Bigeye (Monotaxis grandoculis);3;3;3;9;3
Indian Half-and-Half (Pycnochromis dimidiatus);128;128;128;384;128
Indian Longnose (Hipposcarus harid);4;4;4;12;4
Indian Redfin (Chaetodon trifasciatus);3;3;3;9;3
Leopard (Cephalopholis leopardus);1;1;1;3;1
Lined Bristletooth (Ctenochaetus striatus);10;10;10;30;10
Linedcheeked (Oxycheilinus digramma);2;2;2;6;2
Longbarbel (Parupeneus macronemus);2;2;2;6;2
Monk (Acanthurus gahhm);3;3;3;9;3
Moon (Thalassoma lunare);4;4;4;12;4
Moorish Idol (Zanclus cornutus);7;7;7;21;7
Orange-lined (Balistapus undulatus);3;3;3;9;3
Paletail Unicorn (Naso brevirostris);3;3;3;9;3
Parrotfishes (Scaridae);12;12;12;36;12
Peacock (Cephalopholis argus);1;1;1;3;1
Red (Lutjanus bohar);5;5;5;15;5
Red-breasted (Cheilinus fasciatus);1;1;1;3;1
Redmouth (Aethaloperca rogaa);2;2;2;6;2
Regal (Pygoplites diacanthus);3;3;3;9;3
Sailfin Tang (Zebrasoma desjardinii);86;86;86;258;86
Scissortail Sergeant (Abudefduf sexfasciatus);6;6;6;18;6
Sixbar (Thalassoma hardwicke);6;6;6;18;6
Spotted (Chaetodon guttatissimus);3;3;3;9;3
Spotted (Diodon hystrix);1;1;1;3;1
Swarthy (Scarus niger);2;2;2;6;2
Ternate (Chromis ternatensis);122;122;122;366;122
Threadfin (Chaetodon auriga);3;3;3;9;3
Thumbprint (Lethrinus harak);4;4;4;12;4
Titan (Balistoides viridescens);1;1;1;3;1
Trumpetfish (Aulostomus chinensis);1;1;1;3;1
Undulated (Gymnothorax undulatus);1;1;1;3;1
Undulated Feeding;1;1;1;3;1
Whiteline (Stethojulis albovittata);1;1;1;3;1
Wrasses (Labridae);4;4;4;12;4
