comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algaemix,occ_algaemix,n_algaemix,mean_mackerel,occ_mackerel,n_mackerel,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,interested_species_by_taxon,humpback (lutjanus gibbus),2,algaemix | mackerel,0.0,0.0,3,2.25,0.5,4,Mann-Whitney U,3.0,0.4,cliffs_delta,-0.5,0.7142857142857143,1.0,0.8571428571428572,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,interested_species_by_taxon,honeycomb (siganus stellatus),1,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Mann-Whitney U,8.0,0.6285714285714286,cliffs_delta,0.3333333333333333,0.42857142857142855,1.0,0.8571428571428572,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,interested_species_by_taxon,paletail unicorn (naso brevirostris),1,algaemix | mackerel,7.666666666666667,0.3333333333333333,3,0.0,0.0,4,Mann-Whitney U,8.0,0.6285714285714286,cliffs_delta,0.3333333333333333,0.42857142857142855,1.0,0.8571428571428572,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,interested_species_by_taxon,indian longnose (hipposcarus harid),1,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Mann-Whitney U,8.0,0.6285714285714286,cliffs_delta,0.3333333333333333,0.42857142857142855,1.0,0.8571428571428572,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,interested_species_by_taxon,red-breasted (cheilinus fasciatus),1,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Mann-Whitney U,8.0,0.6285714285714286,cliffs_delta,0.3333333333333333,0.42857142857142855,1.0,0.8571428571428572,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,interested_species_by_taxon,titan (balistoides viridescens),1,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Mann-Whitney U,8.0,0.6285714285714286,cliffs_delta,0.3333333333333333,0.42857142857142855,1.0,0.8571428571428572,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,interested_species_by_taxon,threadfin (chaetodon auriga),1,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.0,0.0,4,Mann-Whitney U,8.0,0.6285714285714286,cliffs_delta,0.3333333333333333,0.42857142857142855,1.0,0.8571428571428572,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,interested_species_by_taxon,sailfin tang (zebrasoma desjardinii),1,algaemix | mackerel,0.6666666666666666,0.3333333333333333,3,0.0,0.0,4,Mann-Whitney U,8.0,0.6285714285714286,cliffs_delta,0.3333333333333333,0.42857142857142855,1.0,0.8571428571428572,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,interested_species_by_taxon,red (lutjanus bohar),1,algaemix | mackerel,0.0,0.0,3,0.25,0.25,4,Mann-Whitney U,4.5,0.8571428571428571,cliffs_delta,-0.25,1.0,1.0,0.8571428571428572,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,interested_species_by_taxon,black-lipped (chaetodon kleinii),1,algaemix | mackerel,0.0,0.0,3,0.25,0.25,4,Mann-Whitney U,4.5,0.8571428571428571,cliffs_delta,-0.25,1.0,1.0,0.8571428571428572,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,interested_species_by_taxon,green (amblyglyphidodon indicus),1,algaemix | mackerel,0.0,0.0,3,0.75,0.25,4,Mann-Whitney U,4.5,0.8571428571428571,cliffs_delta,-0.25,1.0,1.0,0.8571428571428572,ns,ns,ns,False,False,False
