feature,n_videos,n_fish,n_algae,mean_fish,mean_algae,beta_bait_fish_vs_algae,beta_site_utumbi,beta_interaction,p_perm_bait,p_perm_interaction,r2,direction,feature_type,p_bh_bait,p_bh_interaction,sig_bait_bh,sig_interaction_bh
algae,10,4,6,12.5,23.333333333333332,-0.6154849676902878,0.0,0.0,0.02,1.0,0.439095419623308,algae,diet,0.08,1.0,False,False
fish,10,4,6,15.25,27.0,-0.6468100572506644,0.0,0.0,0.17,1.0,0.26876780174488024,algae,diet,0.22666666666666668,1.0,False,False
invertebrates,10,4,6,15.25,27.0,-0.6468100572506644,0.0,0.0,0.17,1.0,0.26876780174488024,algae,diet,0.22666666666666668,1.0,False,False
plankton,10,4,6,11.25,8.5,0.18442157341867108,0.0,0.0,0.49666666666666665,1.0,0.05001537245978038,fish,diet,0.49666666666666665,1.0,False,False
angelfishes,10,4,6,0.75,0.6666666666666666,0.03378875900901348,0.0,0.0,1.0,1.0,0.0013522546515180034,fish,word_group,1.0,1.0,False,False
butterflyfishes,10,4,6,3.75,4.833333333333333,-0.1598201089749279,0.0,0.0,0.6666666666666666,1.0,0.02525569731934918,algae,word_group,0.8,1.0,False,False
coral_breams,10,4,6,2.0,11.333333333333334,-1.7054879731448342,0.0,0.0,0.006666666666666667,1.0,0.6874083102275481,algae,word_group,0.060000000000000005,1.0,False,False
cornetfishes,10,4,6,1.75,1.3333333333333333,-0.02262642796653539,0.0,0.0,0.93,1.0,0.0002735720301613176,algae,word_group,0.9847058823529413,1.0,False,False
elongate_sand_burrow_dwellers,10,4,6,2.25,0.5,0.7489330683884975,0.0,0.0,0.04666666666666667,1.0,0.4914235964174326,fish,word_group,0.255,1.0,False,False
emperors,10,4,6,1.5,0.5,0.5253326382964062,0.0,0.0,0.15333333333333332,1.0,0.2435170835861291,fish,word_group,0.306,1.0,False,False
fusiliers,10,4,6,2.25,6.333333333333333,-1.0658112994373692,0.0,0.0,0.056666666666666664,1.0,0.35231761470014555,algae,word_group,0.255,1.0,False,False
